GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009834	BP	plant-type secondary cell wall biogenesis	AT1G03870|AT1G09610|AT1G17950|AT1G27440|AT1G32770|AT1G33800|AT1G43790|AT2G28315|AT2G35700|AT2G37090|AT2G38080|AT2G40320|AT2G46770|AT3G50220|AT3G61910|AT4G18780|AT5G03170|AT5G15630|AT5G17420|AT5G44030|AT5G60490|AT5G67210	1.34697081635434e-17	6.10177779808517e-15
GO:0045492	BP	xylan biosynthetic process	AT1G09610|AT1G33800|AT1G73140|AT2G37090|AT2G38320|AT3G50220|AT3G55990|AT5G01360|AT5G54690|AT5G67210	4.94689961684108e-09	1.1204727632145e-06
GO:2000652	BP	regulation of secondary cell wall biogenesis	AT1G17950|AT1G28470|AT1G43790|AT1G62990|AT1G63910|AT3G08500|AT4G17880|AT4G22680|AT4G28500|AT5G16600	3.96851763085882e-07	5.99246162259682e-05
GO:0008150	BP	biological_process	AT1G09310|AT1G13470|AT1G14880|AT1G17620|AT1G19960|AT1G23340|AT1G24147|AT1G30250|AT1G45010|AT1G52270|AT1G52855|AT1G58225|AT1G61260|AT1G62981|AT1G63300|AT1G72600|AT1G76620|AT1G78450|AT1G78460|AT2G15020|AT2G17300|AT2G17710|AT2G22122|AT2G23360|AT2G25510|AT2G27740|AT2G28410|AT2G31940|AT2G32487|AT2G34655|AT2G35290|AT2G36430|AT2G39370|AT2G47360|AT3G06035|AT3G06070|AT3G06145|AT3G14760|AT3G15050|AT3G22120|AT3G22410|AT3G22415|AT3G22540|AT3G26960|AT3G45160|AT3G46890|AT3G47295|AT3G47980|AT3G50350|AT3G53235|AT3G54040|AT3G62630|AT3G62730|AT3G63160|AT4G01390|AT4G11211|AT4G14380|AT4G15990|AT4G21970|AT4G27435|AT4G27654|AT4G30830|AT5G02090|AT5G02640|AT5G03995|AT5G11420|AT5G14410|AT5G19190|AT5G25490|AT5G25840|AT5G28610|AT5G28630|AT5G35480|AT5G41761|AT5G42530|AT5G42710|AT5G47635|AT5G54240|AT5G54585|AT5G54710|AT5G55010|AT5G59050|AT5G60720|AT5G61340|AT5G64850	1.23352113991071e-06	0.000139696269094888
GO:0019761	BP	glucosinolate biosynthetic process	AT1G16410|AT1G62560|AT2G43100|AT3G19710|AT3G58990|AT4G13770|AT5G14200|AT5G23010	7.28053527782916e-06	0.000659616496171322
GO:0042335	BP	cuticle development	AT1G01120|AT1G27950|AT1G64670|AT1G68530|AT2G26250|AT3G43720	5.98093462905569e-05	0.00451560564493705
GO:0045493	BP	xylan catabolic process	AT1G02640|AT1G58370|AT4G08160|AT4G33810	9.89230593498221e-05	0.00560151823568368
GO:0010417	BP	glucuronoxylan biosynthetic process	AT1G19300|AT1G27440|AT2G37090|AT5G54690	9.89230593498221e-05	0.00560151823568368
GO:0009098	BP	leucine biosynthetic process	AT2G43100|AT3G58990|AT5G14200|AT5G23010	0.000445510175214371	0.0224240121524567
GO:1901347	BP	negative regulation of secondary cell wall biogenesis	AT1G17950|AT1G66810|AT1G79620	0.000994604683241571	0.0409596292280392
GO:1900150	BP	regulation of defense response to fungus	AT1G70260|AT3G22231|AT4G14400	0.000994604683241571	0.0409596292280392
GO:0010143	BP	cutin biosynthetic process	AT1G01610|AT1G49430|AT1G64670|AT3G48720	0.00120381398095463	0.0454439777810371
GO:0010025	BP	wax biosynthetic process	AT1G01120|AT1G49430|AT1G57750|AT1G68530|AT4G24510	0.00146840796547456	0.0511683698738442
GO:0009809	BP	lignin biosynthetic process	AT1G32770|AT2G38080|AT2G46770|AT3G16920|AT3G19450|AT4G39330|AT5G60020	0.00192857440041143	0.0624031573847413
GO:0009625	BP	response to insect	AT1G16410|AT4G13770|AT5G07690|AT5G23010|AT5G26000|AT5G65040	0.00382546897281461	0.086646872234251
GO:0045893	BP	positive regulation of DNA-templated transcription	AT1G26960|AT1G28470|AT1G32770|AT1G63910|AT1G66810|AT2G46770|AT3G08500|AT3G55990|AT3G61910|AT4G17880|AT4G22680|AT4G27430|AT4G28500|AT5G16600|AT5G25830	0.00306040194496622	0.086646872234251
GO:0010051	BP	xylem and phloem pattern formation	AT1G19300|AT3G14170|AT4G17220	0.003582726495567	0.086646872234251
GO:0006631	BP	fatty acid metabolic process	AT1G49430|AT2G11810|AT3G10520|AT4G00360|AT4G15440	0.00374472635385464	0.086646872234251
GO:0009827	BP	plant-type cell wall modification	AT4G34980|AT5G01360|AT5G62360	0.003582726495567	0.086646872234251
GO:0019432	BP	triglyceride biosynthetic process	AT3G10520|AT5G16350|AT5G22490	0.003582726495567	0.086646872234251
GO:0071456	BP	cellular response to hypoxia	AT1G73010|AT2G25735|AT2G26560|AT5G19240	0.00406612915393856	0.087712214606389
GO:0030244	BP	cellulose biosynthetic process	AT4G18780|AT5G01360|AT5G17420|AT5G44030	0.00455720324990844	0.0938369578276601
