GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0019761	BP	glucosinolate biosynthetic process	AT1G16400|AT1G16410|AT1G18590|AT1G62560|AT2G43100|AT3G19710|AT3G58990|AT4G13770|AT5G14200|AT5G23010	1.93307276259801e-08	8.79548106982095e-06
GO:0008150	BP	biological_process	AT1G02770|AT1G06540|AT1G09932|AT1G10220|AT1G11170|AT1G13530|AT1G13830|AT1G15772|AT1G20070|AT1G27020|AT1G30250|AT1G49310|AT1G49470|AT1G50590|AT1G55265|AT1G64370|AT1G67920|AT2G07669|AT2G07678|AT2G07795|AT2G07981|AT2G08986|AT2G18680|AT2G18690|AT2G25260|AT2G27390|AT2G29995|AT2G36090|AT2G37750|AT2G38790|AT2G43670|AT3G10815|AT3G11150|AT3G13433|AT3G14060|AT3G18250|AT3G18950|AT3G22235|AT3G22240|AT3G26500|AT3G27410|AT3G29970|AT3G50350|AT3G53235|AT3G55890|AT3G55900|AT3G61340|AT3G62630|AT4G00700|AT4G01390|AT4G08555|AT4G09880|AT4G12735|AT4G15990|AT4G17215|AT4G22370|AT4G24130|AT4G26050|AT4G27654|AT4G28085|AT4G35170|AT4G36500|AT4G37409|AT4G38870|AT4G39580|AT5G03995|AT5G10210|AT5G14560|AT5G25290|AT5G44990|AT5G50560|AT5G50660|AT5G51160|AT5G54710|AT5G61490|AT5G61495|AT5G61660|AT5G65925|ATMG00200|ATMG00260|ATMG00860|ATMG00920|ATMG01210|ATMG01370	7.14260931482302e-07	0.000131802719686684
GO:0032259	BP	methylation	AT1G15125|AT1G21100|AT1G21110|AT1G33030|AT1G66700|AT1G67980|AT1G76790|AT3G44860|AT5G38020|AT5G38780	8.69028921011101e-07	0.000131802719686684
GO:0009617	BP	response to bacterium	AT1G11580|AT1G19020|AT1G20510|AT1G62660|AT1G66700|AT1G72520|AT1G79680|AT2G30750|AT2G45220|AT3G25180|AT3G45140|AT4G10500|AT4G14400|AT5G07690|AT5G57220	1.30919313171057e-05	0.00148920718732078
GO:0009751	BP	response to salicylic acid	AT1G21910|AT1G28480|AT1G66700|AT1G73260|AT1G79680|AT2G14560|AT2G33380|AT3G01420|AT3G04290|AT3G44860|AT4G10500|AT4G14400|AT5G40990	0.000453189522301983	0.0343668721079004
GO:0009098	BP	leucine biosynthetic process	AT2G43100|AT3G58990|AT5G14200|AT5G23010	0.000445510175214371	0.0343668721079004
GO:0009407	BP	toxin catabolic process	AT1G02920|AT1G02930|AT1G17180|AT1G69920|AT1G74590|AT1G78370|AT3G03190|AT3G09270|AT5G62480	0.000678503797565509	0.0354744332762799
GO:0050832	BP	defense response to fungus	AT2G14560|AT2G33380|AT2G36450|AT2G38870|AT3G01420|AT3G13437|AT3G22600|AT3G25180|AT3G26470|AT3G49110|AT3G49120|AT3G52400|AT5G07690|AT5G25910|AT5G40990|AT5G43580|AT5G57220	0.000701692086783559	0.0354744332762799
GO:0009625	BP	response to insect	AT1G16410|AT1G73260|AT4G13770|AT5G07690|AT5G23010|AT5G24770|AT5G44420	0.000661393522057738	0.0354744332762799
GO:0042742	BP	defense response to bacterium	AT1G02920|AT1G02930|AT1G51890|AT1G66700|AT1G73260|AT1G77920|AT2G19990|AT3G01420|AT3G49110|AT3G49120|AT5G01550|AT5G05300|AT5G06740|AT5G24660|AT5G40990|AT5G57220|AT5G65600	0.000936627025085154	0.0411404664431741
GO:1902358	BP	sulfate transmembrane transport	AT1G77990|AT5G10180|AT5G19600	0.000994604683241571	0.0411404664431741
GO:0009611	BP	response to wounding	AT1G19020|AT1G20510|AT1G72520|AT1G73260|AT1G76650|AT2G38870|AT3G15356|AT3G19710|AT3G25250|AT3G44550|AT3G44860|AT3G45140|AT5G07690|AT5G14200|AT5G24770|AT5G43570|AT5G43580	0.00123261938214232	0.0431416783749813
GO:0019438	BP	aromatic compound biosynthetic process	AT1G21100|AT1G21110|AT1G33030|AT1G76790	0.00120381398095463	0.0431416783749813
GO:0006979	BP	response to oxidative stress	AT1G02930|AT1G13340|AT1G19020|AT1G49570|AT1G64360|AT2G38390|AT3G01420|AT3G03190|AT3G25250|AT3G49110|AT3G49120|AT4G04830|AT4G08770|AT4G31870|AT5G19875|AT5G19890|AT5G24770|AT5G44380|ATMG01190	0.00137816796739022	0.044790458940182
GO:0071456	BP	cellular response to hypoxia	AT1G13300|AT1G14200|AT1G19020|AT1G23710|AT1G26380|AT1G26410|AT1G30720|AT1G35140|AT1G68620|AT1G76650|AT2G01180|AT2G25735|AT2G26560|AT3G25250|AT3G46080|AT4G01250|AT4G20860|AT4G31970|AT4G33070|AT4G33560|AT5G25250|AT5G57220	0.00170749189717485	0.0485568008259098
GO:0006468	BP	protein phosphorylation	AT1G21240|AT1G21245|AT1G51890|AT1G61440|AT1G67000|AT1G67520|AT1G69790|AT1G79680|AT2G23030|AT2G26290|AT3G19700|AT3G25250|AT4G00970|AT4G04490|AT4G04570|AT4G14580|AT4G36950|AT5G01550|AT5G06740|AT5G46080|AT5G65600	0.00161417699711088	0.0485568008259098
GO:0009753	BP	response to jasmonic acid	AT1G20510|AT1G21910|AT1G47510|AT3G09940|AT3G15510|AT3G44860|AT3G45140|AT4G19810|AT4G20860|AT5G14200|AT5G24770|AT5G24780|AT5G44420	0.00226344859227588	0.0605805358520898
GO:0009610	BP	response to symbiotic fungus	AT1G37130|AT3G09260|AT3G09940	0.003582726495567	0.0857968713412096
GO:0000103	BP	sulfate assimilation	AT4G04610|AT4G14680|AT4G39940	0.003582726495567	0.0857968713412096
