GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005739	CC	mitochondrion	AT1G05740|AT1G13970|AT1G16515|AT1G21528|AT1G25141|AT1G29500|AT1G29510|AT1G33055|AT1G44414|AT1G47578|AT1G52315|AT1G53920|AT1G68530|AT1G68825|AT1G74010|AT2G07667|AT2G07671|AT2G07678|AT2G07692|AT2G07695|AT2G07698|AT2G07701|AT2G07707|AT2G07713|AT2G07714|AT2G07719|AT2G07722|AT2G07724|AT2G07732|AT2G07777|AT2G07779|AT2G07795|AT2G07798|AT2G07835|AT2G15830|AT2G20921|AT2G21640|AT2G29370|AT2G34238|AT2G34360|AT2G42140|AT2G47485|AT3G02493|AT3G04184|AT3G19274|AT3G26445|AT3G27590|AT3G47440|AT3G52130|AT3G53480|AT3G55900|AT3G58150|AT3G59900|AT3G61340|AT3G61826|AT3G63052|AT3G63088|AT3G63110|AT4G04030|AT4G07408|AT4G08874|AT4G09965|AT4G12220|AT4G12380|AT4G20290|AT4G20470|AT4G25100|AT4G35970|AT4G37295|AT4G38850|AT5G01445|AT5G01881|AT5G04790|AT5G13140|AT5G14360|AT5G14560|AT5G24160|AT5G26970|AT5G27360|AT5G35510|AT5G42965|AT5G50361|AT5G54560|AT5G60260|AT5G64395|AT5G65970|AT5G66340|ATCG00570|ATMG00030|ATMG00040|ATMG00060|ATMG00160|ATMG00170|ATMG00200|ATMG00220|ATMG00400|ATMG00410|ATMG00430|ATMG00470|ATMG00480|ATMG00500|ATMG00513|ATMG00516|ATMG00520|ATMG00530|ATMG00540|ATMG00550|ATMG00610|ATMG00620|ATMG00630|ATMG00640|ATMG00650|ATMG00660|ATMG00665|ATMG00670|ATMG00690|ATMG00740|ATMG00830|ATMG00860|ATMG00870|ATMG00910|ATMG00960|ATMG01000|ATMG01020|ATMG01060|ATMG01080|ATMG01090|ATMG01100|ATMG01120|ATMG01130|ATMG01150|ATMG01190|ATMG01210|ATMG01220|ATMG01230|ATMG01250|ATMG01260|ATMG01280|ATMG01350|ATMG01360|ATMG01370|ATMG01400|ATMG01410	4.95571911437751e-13	4.50970439408353e-11
GO:0000276	CC	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	AT2G07671|AT2G07777|ATMG00040|ATMG00480|ATMG00640|ATMG01080|ATMG01090	9.62730882174916e-08	4.38042551389587e-06
GO:0005886	CC	plasma membrane	AT1G07710|AT1G09380|AT1G12110|AT1G65985|AT1G74010|AT1G77380|AT2G02950|AT2G07698|AT2G16060|AT2G16835|AT2G32660|AT2G38730|AT3G45410|AT3G53480|AT3G58100|AT4G14358|AT4G21230|AT4G25100|AT4G35970|AT4G39330|AT5G07880|AT5G13670|AT5G17860|AT5G23170|AT5G36920|ATMG01190	6.78887303963932e-07	2.05929148869059e-05
GO:0045263	CC	proton-transporting ATP synthase complex, coupling factor F(o)	AT2G07671|AT2G07777|ATMG00040|ATMG01080|ATMG01090	9.82102430694792e-06	0.000223428302983065
GO:0005753	CC	mitochondrial proton-transporting ATP synthase complex	ATMG00410|ATMG00480|ATMG00640|ATMG01080|ATMG01190	5.3086617875394e-05	0.000966176445332171
GO:0005794	CC	Golgi apparatus	AT1G01200|AT3G10780|AT5G36920	0.00058621624378189	0.00889094636402533
GO:0005634	CC	nucleus	AT1G01200|AT1G02340|AT1G03010|AT1G03710|AT1G06160|AT1G08320|AT1G10585|AT1G10586|AT1G12130|AT1G13300|AT1G14490|AT1G14600|AT1G14700|AT1G15772|AT1G17710|AT1G18860|AT1G21326|AT1G23130|AT1G27020|AT1G27045|AT1G28470|AT1G28815|AT1G29500|AT1G31240|AT1G32770|AT1G43160|AT1G44608|AT1G52827|AT1G54575|AT1G62370|AT1G64360|AT1G64670|AT1G65985|AT1G67910|AT1G69810|AT1G73177|AT1G73830|AT1G77160|AT2G02950|AT2G03230|AT2G05330|AT2G11891|AT2G15880|AT2G17740|AT2G18550|AT2G19650|AT2G21640|AT2G21780|AT2G26695|AT2G28710|AT2G32765|AT2G34140|AT2G36080|AT2G36400|AT2G38310|AT2G38823|AT2G39690|AT2G39705|AT2G40200|AT2G42140|AT2G42350|AT2G44340|AT2G46840|AT2G46970|AT3G04070|AT3G09863|AT3G11110|AT3G12820|AT3G12977|AT3G13500|AT3G14210|AT3G16420|AT3G18610|AT3G19850|AT3G20340|AT3G21870|AT3G22961|AT3G25730|AT3G48550|AT3G54990|AT3G57600|AT3G59220|AT3G59900|AT3G60010|AT3G60990|AT3G61111|AT3G61113|AT3G61340|AT3G62050|AT3G63020|AT3G63110|AT4G01390|AT4G01520|AT4G04423|AT4G04450|AT4G04680|AT4G06746|AT4G12350|AT4G17870|AT4G20970|AT4G25707|AT4G26950|AT4G30980|AT4G39070|AT5G03890|AT5G04210|AT5G05040|AT5G05440|AT5G07060|AT5G07310|AT5G07500|AT5G07580|AT5G07880|AT5G08360|AT5G10625|AT5G13330|AT5G17800|AT5G20240|AT5G23000|AT5G24640|AT5G25340|AT5G25840|AT5G37250|AT5G42070|AT5G44260|AT5G44490|AT5G48190|AT5G49700|AT5G53200|AT5G56100|AT5G57570|AT5G60470|AT5G63690|AT5G65030|AT5G65350|AT5G66830|ATCG01060	0.000984613376737739	0.0127999738975906
GO:0009536	CC	plastid	AT3G63110|AT5G21430|AT5G25460|AT5G42070|AT5G56870|AT5G63180|AT5G65350|ATCG00500|ATCG00570|ATCG00640|ATCG00860|ATCG01060|ATCG01280|ATMG00160|ATMG00220|ATMG00280|ATMG01190	0.00231317592965379	0.0263123761998119
GO:0005576	CC	extracellular region	AT1G01200|AT1G11370|AT1G29090|AT1G33811|AT1G48750|AT1G51915|AT1G52180|AT1G54575|AT1G73610|AT1G74010|AT2G15130|AT2G25482|AT2G34060|AT2G37640|AT2G38390|AT2G43386|AT2G43580|AT3G02240|AT3G04320|AT3G05950|AT3G07522|AT3G11640|AT3G14210|AT3G15534|AT3G23450|AT3G44990|AT3G45410|AT3G47440|AT4G00360|AT4G01390|AT4G05430|AT4G11210|AT4G12470|AT4G12480|AT4G21230|AT4G30170|AT4G33220|AT5G02730|AT5G07560|AT5G07990|AT5G24160|AT5G25460|AT5G36920|AT5G43570|AT5G44582|AT5G56870|AT5G63180|AT5G66390	0.00326839677253474	0.0309790998364338
GO:0005747	CC	mitochondrial respiratory chain complex I	ATMG00060|ATMG00513|ATMG00516|ATMG00665|ATMG01120	0.00374472635385464	0.0309790998364338
GO:0005751	CC	mitochondrial respiratory chain complex IV	ATMG00160|ATMG01280|ATMG01360	0.003582726495567	0.0309790998364338
