GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005618	CC	cell wall	AT1G03220|AT1G17860|AT1G26380|AT1G26390|AT1G26410|AT1G26420|AT1G30700|AT1G30720|AT1G30730|AT1G32940|AT1G71380|AT1G74000|AT2G02100|AT2G02120|AT2G02990|AT2G14610|AT2G38870|AT2G41800|AT2G44450|AT3G05950|AT3G12580|AT3G13790|AT3G14060|AT3G16240|AT3G49120|AT4G25810|AT4G36430|AT5G05340|AT5G06860|AT5G20710|AT5G20950|AT5G22460|AT5G44390|AT5G52640|AT5G64100|AT5G64120|ATMG01190	3.28895799424847e-11	2.30227059597393e-09
GO:0005576	CC	extracellular region	AT1G02360|AT1G03220|AT1G04310|AT1G17860|AT1G19610|AT1G32940|AT1G32960|AT1G44130|AT1G45616|AT1G49570|AT1G51860|AT1G51920|AT1G52400|AT1G53830|AT1G54000|AT1G54575|AT1G64160|AT1G71380|AT1G72060|AT1G72260|AT1G73260|AT1G74010|AT1G77145|AT1G79680|AT2G01610|AT2G02100|AT2G02120|AT2G02990|AT2G04160|AT2G14610|AT2G15220|AT2G15780|AT2G19190|AT2G19970|AT2G19990|AT2G31425|AT2G33020|AT2G33080|AT2G34080|AT2G34500|AT2G37870|AT2G38380|AT2G38390|AT2G38530|AT2G38540|AT2G38870|AT2G40113|AT2G43510|AT2G43610|AT2G43620|AT2G44450|AT2G44790|AT2G45220|AT2G47550|AT2G47630|AT3G01420|AT3G02885|AT3G05950|AT3G12500|AT3G13650|AT3G13790|AT3G14210|AT3G18280|AT3G19390|AT3G22600|AT3G23150|AT3G27400|AT3G29250|AT3G46280|AT3G49110|AT3G49120|AT3G53210|AT3G57380|AT4G02330|AT4G08770|AT4G11480|AT4G11650|AT4G12470|AT4G12480|AT4G12500|AT4G18990|AT4G22010|AT4G22520|AT4G25810|AT4G30280|AT4G30290|AT4G36430|AT4G37370|AT4G37800|AT4G38210|AT5G05340|AT5G06720|AT5G06730|AT5G06860|AT5G14180|AT5G19880|AT5G19890|AT5G20230|AT5G20710|AT5G20950|AT5G24080|AT5G24090|AT5G24820|AT5G43570|AT5G43580|AT5G44572|AT5G49665|AT5G51890|AT5G58840|AT5G60270|AT5G64100|AT5G64120	2.40136145599847e-10	8.40476509599466e-09
GO:0005737	CC	cytoplasm	AT1G01480|AT1G02940|AT1G07400|AT1G10585|AT1G14130|AT1G14860|AT1G14870|AT1G15310|AT1G15380|AT1G17020|AT1G17170|AT1G17180|AT1G22440|AT1G26380|AT1G26390|AT1G26410|AT1G26420|AT1G26930|AT1G30730|AT1G47510|AT1G52040|AT1G53540|AT1G53950|AT1G55920|AT1G60740|AT1G64660|AT1G69480|AT1G69880|AT1G69920|AT1G69930|AT1G74590|AT1G78380|AT1G80160|AT2G03760|AT2G18700|AT2G19800|AT2G20560|AT2G22470|AT2G23150|AT2G23170|AT2G25450|AT2G28210|AT2G29420|AT2G29440|AT2G29460|AT2G29470|AT2G29480|AT2G29490|AT2G29500|AT2G30140|AT2G32020|AT2G38240|AT2G39030|AT2G41730|AT3G04220|AT3G09270|AT3G09350|AT3G12580|AT3G13610|AT3G14060|AT3G15340|AT3G16770|AT3G21420|AT3G23530|AT3G23930|AT3G25250|AT3G27415|AT3G29250|AT3G46230|AT3G47340|AT3G49620|AT3G55970|AT3G59900|AT4G11170|AT4G13660|AT4G20860|AT4G22530|AT4G26120|AT4G37390|AT4G37990|AT4G39670|AT5G02780|AT5G05365|AT5G07010|AT5G07440|AT5G12030|AT5G12110|AT5G13370|AT5G13790|AT5G16960|AT5G16970|AT5G19890|AT5G20240|AT5G22140|AT5G24420|AT5G39050|AT5G42830|AT5G43450|AT5G48570|AT5G52640|AT5G54510|AT5G56510|AT5G59390|AT5G59530|AT5G62480|AT5G63750|AT5G64890	4.56183809373158e-09	1.06442888853737e-07
GO:0005829	CC	cytosol	AT1G04580|AT1G15310|AT1G17170|AT1G22440|AT1G23130|AT1G32560|AT1G54100|AT1G55920|AT1G64660|AT1G65690|AT1G71770|AT1G72680|AT1G74010|AT1G78380|AT2G02010|AT2G15490|AT2G18700|AT2G20560|AT2G25450|AT2G29420|AT2G29440|AT2G30140|AT2G38240|AT2G38870|AT2G43820|AT3G09260|AT3G09350|AT3G12500|AT3G12580|AT3G14210|AT3G22600|AT3G27400|AT3G44300|AT3G47340|AT3G49110|AT3G49120|AT3G52340|AT3G53230|AT3G57740|AT3G59140|AT4G01870|AT4G16690|AT4G20860|AT4G22530|AT4G23680|AT4G39670|AT5G05340|AT5G11520|AT5G12030|AT5G12110|AT5G13370|AT5G16970|AT5G17330|AT5G24420|AT5G38530|AT5G38900|AT5G39050|AT5G42830|AT5G49480|AT5G49690|AT5G52640|AT5G59220	1.19600414547911e-08	2.09300725458844e-07
GO:0009505	CC	plant-type cell wall	AT1G32960|AT1G44130|AT1G53830|AT1G71380|AT1G74000|AT1G74010|AT2G02100|AT2G38530|AT2G38540|AT2G41800|AT2G44450|AT3G16240|AT3G49110|AT3G49120|AT4G12480|AT4G20860|AT5G05340|AT5G06860|AT5G20950|AT5G22460|AT5G51890|AT5G64100|AT5G64110|AT5G64120	5.04992578108631e-08	7.06989609352084e-07
GO:0099503	CC	secretory vesicle	AT1G03220|AT1G17860|AT1G30720|AT1G73260|AT2G14610|AT2G38380|AT2G38540|AT2G43510|AT2G43620|AT3G12500|AT3G14210|AT3G49110|AT3G49120|AT4G11650|AT4G12480|AT5G06860|AT5G64110|AT5G64120	1.00279309001893e-06	1.16992527168876e-05
GO:0009506	CC	plasmodesma	AT1G03220|AT1G32560|AT1G43910|AT1G52400|AT1G54000|AT1G60030|AT1G71380|AT1G74020|AT1G74080|AT2G23150|AT2G25450|AT2G35980|AT2G37870|AT2G41800|AT2G42570|AT2G44450|AT2G44790|AT3G02885|AT3G09260|AT3G14210|AT3G16240|AT4G12470|AT4G12480|AT4G12490|AT4G13660|AT4G22010|AT4G22470|AT5G06330|AT5G06860|AT5G20950|AT5G22140|AT5G22460|AT5G51890|AT5G64100|AT5G64110|AT5G64120	3.73563289299877e-06	3.73563289299877e-05
GO:0005774	CC	vacuolar membrane	AT1G54000|AT1G61800|AT1G71140|AT1G74020|AT1G78380|AT2G07698|AT2G23150|AT2G30500|AT3G12500|AT3G12580|AT3G16240|AT3G49120|AT3G59140|AT5G06730|AT5G07440|AT5G13490	6.82119739877042e-06	5.96854772392411e-05
GO:0005794	CC	Golgi apparatus	AT1G03220|AT1G05560|AT1G43910|AT1G44130|AT1G61800|AT1G69480|AT1G71380|AT1G74020|AT1G79450|AT2G03760|AT2G23150|AT2G38530|AT2G38540|AT2G42570|AT2G44450|AT3G12580|AT3G16240|AT3G49120|AT3G53230|AT4G15610|AT4G24000|AT4G25810|AT4G30280|AT5G05340|AT5G06720|AT5G06860|AT5G22140|AT5G59220	2.83486775259723e-05	0.000220489714090896
GO:0005773	CC	vacuole	AT1G52040|AT1G52400|AT1G54000|AT1G74020|AT2G07698|AT2G23150|AT2G25450|AT2G33380|AT2G42570|AT3G09260|AT3G12500|AT3G14210|AT3G16240|AT3G49110|AT3G49120|AT4G08770|AT5G20230|AT5G20710|AT5G22460|AT5G48570|AT5G61820	6.21531402010545e-05	0.000435071981407381
