GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0003674	MF	molecular_function	AT1G02770|AT1G06540|AT1G10220|AT1G13330|AT1G13520|AT1G13530|AT1G13830|AT1G20070|AT1G21390|AT1G23130|AT1G23710|AT1G27020|AT1G30250|AT1G35140|AT1G49310|AT1G49470|AT1G53885|AT1G58420|AT1G64360|AT1G64370|AT1G65690|AT1G67920|AT2G07669|AT2G07678|AT2G07795|AT2G07981|AT2G08986|AT2G14560|AT2G18680|AT2G18690|AT2G19990|AT2G25735|AT2G37750|AT2G38790|AT2G43670|AT3G07195|AT3G11150|AT3G13433|AT3G13437|AT3G13950|AT3G14060|AT3G14700|AT3G18250|AT3G21520|AT3G22235|AT3G26470|AT3G27410|AT3G27660|AT3G29970|AT3G48450|AT3G49570|AT3G50350|AT3G53235|AT3G55900|AT3G58150|AT3G61340|AT3G62630|AT4G01390|AT4G08555|AT4G09880|AT4G12735|AT4G15990|AT4G17215|AT4G19370|AT4G21920|AT4G22370|AT4G27654|AT4G28085|AT4G33560|AT4G35170|AT4G36500|AT4G37409|AT4G38870|AT4G39580|AT4G40020|AT5G03995|AT5G05300|AT5G10210|AT5G14560|AT5G19875|AT5G24920|AT5G25250|AT5G25290|AT5G36970|AT5G48540|AT5G50560|AT5G50660|AT5G55620|AT5G59990|AT5G61490|AT5G61495|AT5G61660|AT5G65925|ATMG00200|ATMG00260|ATMG00860|ATMG00920|ATMG01210|ATMG01370	1.8097224515095e-07	2.56075726888594e-05
GO:0008757	MF	S-adenosylmethionine-dependent methyltransferase activity	AT1G15125|AT1G21100|AT1G21110|AT1G33030|AT1G66700|AT1G67980|AT1G76790|AT3G44860|AT5G38020|AT5G38780	1.65042216822841e-07	2.56075726888594e-05
GO:0071949	MF	FAD binding	AT1G04580|AT1G26380|AT1G26390|AT1G26410|AT1G26420|AT1G30700|AT1G30720|AT1G37130|AT2G46750|AT4G20860|AT5G20960|AT5G44380	3.28404728605214e-06	0.000309795127317585
GO:0004364	MF	glutathione transferase activity	AT1G02920|AT1G02930|AT1G17180|AT1G69920|AT1G74590|AT1G78370|AT3G03190|AT3G09270|AT5G02780|AT5G44990|AT5G62480	6.93808094892235e-05	0.00392695381709005
GO:0005506	MF	iron ion binding	AT1G04580|AT1G13110|AT1G16400|AT1G16410|AT1G19630|AT1G57750|AT2G30750|AT2G45570|AT3G14680|AT3G25180|AT3G26200|AT3G26230|AT3G48310|AT4G13770|AT4G31970|AT5G20960|AT5G57220|AT5G67310	5.79156273630994e-05	0.00392695381709005
GO:0020037	MF	heme binding	AT1G13110|AT1G16400|AT1G16410|AT1G19630|AT1G37130|AT1G49570|AT1G57750|AT2G30750|AT2G38390|AT2G45570|AT2G46650|AT3G01420|AT3G14680|AT3G25180|AT3G26200|AT3G26230|AT3G48310|AT3G49110|AT3G49120|AT4G08770|AT4G13770|AT4G31970|AT5G19890|AT5G57220|AT5G67310	0.000121617834701862	0.00573630787010448
GO:0008171	MF	O-methyltransferase activity	AT1G21100|AT1G21110|AT1G33030|AT1G67980|AT1G76790	0.00016738654953442	0.00676719907403441
GO:0016702	MF	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	AT1G72520|AT3G01420|AT3G45140|AT4G32810	0.00120381398095463	0.0425849195762699
GO:0042910	MF	xenobiotic transmembrane transporter activity	AT1G58340|AT1G73700|AT2G04040|AT2G04050|AT2G04070|AT3G23550|AT5G38030	0.00139127649453923	0.0437479164394002
GO:0106310	MF	protein serine kinase activity	AT1G51890|AT1G61440|AT1G67000|AT1G67520|AT1G69790|AT2G23030|AT2G26290|AT3G19700|AT3G25250|AT4G04490|AT4G14580|AT5G01550|AT5G06740|AT5G59670|AT5G65600	0.00156689808308701	0.0443432157513624
