GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009972	BP	cytidine deamination	Pjv1_00007341|Pjv1_00010682|Pjv1_00016002|Pjv1_00030235	9.89230593498221e-05	0.0259178415496534
GO:0055085	BP	transmembrane transport	Pjv1_00012385	0.000781694646592139	0.0868621423364305
GO:0010951	BP	negative regulation of endopeptidase activity	Pjv1_00004213|Pjv1_00023893|Pjv1_00023894	0.000994604683241571	0.0868621423364305
GO:0008152	BP	metabolic process	Pjv1_00012404|Pjv1_00017977|Pjv1_00023601|Pjv1_00025795|Pjv1_00025800|Pjv1_00026024|Pjv1_00027542	0.00184347487526187	0.0938674341838553
GO:0006412	BP	translation	Pjv1_00003508|Pjv1_00007245|Pjv1_00007865|Pjv1_00009736|Pjv1_00011263|Pjv1_00011282|Pjv1_00011303|Pjv1_00011315|Pjv1_00012304|Pjv1_00012883|Pjv1_00014731|Pjv1_00015950|Pjv1_00016891|Pjv1_00017316|Pjv1_00019629|Pjv1_00020853|Pjv1_00022434|Pjv1_00025019|Pjv1_00025454|Pjv1_00025457|Pjv1_00025832|Pjv1_00027816|Pjv1_00029134	0.00236239394316563	0.0938674341838553
GO:0006468	BP	protein phosphorylation	Pjv1_00021822|Pjv1_00022637|Pjv1_00029729	0.00256044561178559	0.0938674341838553
GO:0007033	BP	vacuole organization	Pjv1_00013073|Pjv1_00015622|Pjv1_00026135	0.003582726495567	0.0938674341838553
GO:0044090	BP	positive regulation of vacuole organization	Pjv1_00013073|Pjv1_00015622|Pjv1_00026135	0.003582726495567	0.0938674341838553
GO:0046907	BP	intracellular transport	Pjv1_00013073|Pjv1_00015622|Pjv1_00026135	0.003582726495567	0.0938674341838553
GO:0090316	BP	positive regulation of intracellular protein transport	Pjv1_00013073|Pjv1_00015622|Pjv1_00026135	0.003582726495567	0.0938674341838553
