GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0048046	CC	apoplast	Pjv1_00000379|Pjv1_00000442|Pjv1_00000443|Pjv1_00001130|Pjv1_00002356|Pjv1_00003120|Pjv1_00005277|Pjv1_00005482|Pjv1_00006828|Pjv1_00006829|Pjv1_00006906|Pjv1_00007746|Pjv1_00007749|Pjv1_00008316|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011279|Pjv1_00011588|Pjv1_00012966|Pjv1_00014540|Pjv1_00014925|Pjv1_00015588|Pjv1_00019889|Pjv1_00022395|Pjv1_00022397|Pjv1_00022670|Pjv1_00022809|Pjv1_00023917|Pjv1_00024241|Pjv1_00024607|Pjv1_00024608|Pjv1_00024609|Pjv1_00025523|Pjv1_00027147|Pjv1_00029606|Pjv1_00029919	5.87209559038593e-10	5.10872316363576e-08
GO:0009523	CC	photosystem II	Pjv1_00000006|Pjv1_00004538|Pjv1_00005739|Pjv1_00007546|Pjv1_00007965|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00013881|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00017687|Pjv1_00019401|Pjv1_00030182	3.89969404703456e-08	1.69636691046003e-06
GO:0009522	CC	photosystem I	Pjv1_00000006|Pjv1_00004538|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00015664|Pjv1_00017363|Pjv1_00030182	1.37059197841149e-06	3.97471673739333e-05
GO:0009534	CC	chloroplast thylakoid	Pjv1_00007546|Pjv1_00007965|Pjv1_00009827|Pjv1_00009830|Pjv1_00015357|Pjv1_00016099|Pjv1_00017363|Pjv1_00024607|Pjv1_00024609|Pjv1_00026294	1.04162048446024e-05	0.000226552455370102
GO:0016020	CC	membrane	Pjv1_00000389|Pjv1_00001637|Pjv1_00003264|Pjv1_00003785|Pjv1_00003810|Pjv1_00003959|Pjv1_00004261|Pjv1_00004657|Pjv1_00004952|Pjv1_00005007|Pjv1_00005197|Pjv1_00005277|Pjv1_00005482|Pjv1_00006260|Pjv1_00006408|Pjv1_00006791|Pjv1_00007887|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00010412|Pjv1_00010439|Pjv1_00010794|Pjv1_00011140|Pjv1_00011300|Pjv1_00011669|Pjv1_00012639|Pjv1_00013712|Pjv1_00013713|Pjv1_00015588|Pjv1_00016591|Pjv1_00017363|Pjv1_00018455|Pjv1_00018720|Pjv1_00020066|Pjv1_00020369|Pjv1_00020957|Pjv1_00021052|Pjv1_00021594|Pjv1_00023181|Pjv1_00023359|Pjv1_00024241|Pjv1_00024988|Pjv1_00025016|Pjv1_00025710|Pjv1_00026045|Pjv1_00026826|Pjv1_00027805|Pjv1_00028331|Pjv1_00029787|Pjv1_00030282	0.000118624069176192	0.0019862819650331
GO:0000139	CC	Golgi membrane	Pjv1_00000389|Pjv1_00000523|Pjv1_00001798|Pjv1_00004952|Pjv1_00006791|Pjv1_00007548|Pjv1_00010435|Pjv1_00011898|Pjv1_00013362|Pjv1_00014510|Pjv1_00017394|Pjv1_00017458|Pjv1_00018560|Pjv1_00022405|Pjv1_00025712|Pjv1_00029021	0.000160841061828288	0.0019862819650331
GO:0005840	CC	ribosome	Pjv1_00005277	0.000182646617474308	0.0019862819650331
GO:0009941	CC	chloroplast envelope	Pjv1_00004715|Pjv1_00005277|Pjv1_00005482|Pjv1_00008197|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00015357|Pjv1_00015588|Pjv1_00016099|Pjv1_00017363	0.000180144103420121	0.0019862819650331
GO:0005886	CC	plasma membrane	Pjv1_00000624|Pjv1_00000953|Pjv1_00000983|Pjv1_00001761|Pjv1_00001849|Pjv1_00001859|Pjv1_00001876|Pjv1_00002101|Pjv1_00002750|Pjv1_00003227|Pjv1_00003264|Pjv1_00003638|Pjv1_00003810|Pjv1_00003811|Pjv1_00004147|Pjv1_00004680|Pjv1_00005387|Pjv1_00006260|Pjv1_00007425|Pjv1_00008197|Pjv1_00009188|Pjv1_00010439|Pjv1_00010854|Pjv1_00011034|Pjv1_00011086|Pjv1_00011395|Pjv1_00011606|Pjv1_00012385|Pjv1_00012639|Pjv1_00012669|Pjv1_00013166|Pjv1_00013478|Pjv1_00013712|Pjv1_00013713|Pjv1_00014510|Pjv1_00015588|Pjv1_00016591|Pjv1_00016864|Pjv1_00017263|Pjv1_00018071|Pjv1_00018387|Pjv1_00020149|Pjv1_00020557|Pjv1_00020790|Pjv1_00021052|Pjv1_00021547|Pjv1_00022013|Pjv1_00022278|Pjv1_00023209|Pjv1_00024030|Pjv1_00024241|Pjv1_00024988|Pjv1_00025710|Pjv1_00026048|Pjv1_00026862|Pjv1_00029771|Pjv1_00030203|Pjv1_00030284	0.00145402538959383	0.0140555787660737
GO:0009654	CC	photosystem II oxygen evolving complex	Pjv1_00007546|Pjv1_00007965|Pjv1_00017687	0.003582726495567	0.0283361095558481
GO:0019898	CC	extrinsic component of membrane	Pjv1_00007546|Pjv1_00007965|Pjv1_00017687	0.003582726495567	0.0283361095558481
GO:0009505	CC	plant-type cell wall	Pjv1_00002356|Pjv1_00002357|Pjv1_00003052|Pjv1_00003913|Pjv1_00006906|Pjv1_00007746|Pjv1_00007749|Pjv1_00015766|Pjv1_00018455	0.00534316493785344	0.0387379457994374
GO:0005794	CC	Golgi apparatus	Pjv1_00000379|Pjv1_00000523|Pjv1_00001798|Pjv1_00004680|Pjv1_00004952|Pjv1_00006791|Pjv1_00007548|Pjv1_00010435|Pjv1_00010854|Pjv1_00011898|Pjv1_00013362|Pjv1_00014510|Pjv1_00014925|Pjv1_00017458|Pjv1_00023917|Pjv1_00027147|Pjv1_00029021	0.00600706622980152	0.0402011355379025
GO:0005739	CC	mitochondrion	Pjv1_00000426|Pjv1_00005197|Pjv1_00013478|Pjv1_00023526|Pjv1_00025795	0.00714729283603197	0.0444153197667701
GO:0005618	CC	cell wall	Pjv1_00000379|Pjv1_00000442|Pjv1_00000443|Pjv1_00003120|Pjv1_00003558|Pjv1_00003959|Pjv1_00007746|Pjv1_00007749|Pjv1_00010439|Pjv1_00013086|Pjv1_00013902|Pjv1_00014925|Pjv1_00019889|Pjv1_00022670|Pjv1_00022809|Pjv1_00023181|Pjv1_00023917|Pjv1_00024607|Pjv1_00024609|Pjv1_00025016|Pjv1_00029560	0.00855682615225447	0.0457070361440709
GO:0010287	CC	plastoglobule	Pjv1_00005277|Pjv1_00005482|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00015357	0.00875861673547174	0.0457070361440709
GO:0010282	CC	senescence-associated vacuole	Pjv1_00001806|Pjv1_00001808	0.00998199639927986	0.0457070361440709
GO:0009344	CC	nitrite reductase complex [NAD(P)H]	Pjv1_00007546|Pjv1_00007965	0.00998199639927986	0.0457070361440709
GO:0005885	CC	Arp2/3 protein complex	Pjv1_00028560|Pjv1_00028561	0.00998199639927986	0.0457070361440709
GO:0005773	CC	vacuole	Pjv1_00004680|Pjv1_00005277	0.0122838683747523	0.0534348274301725
GO:0005634	CC	nucleus	Pjv1_00000076|Pjv1_00000311|Pjv1_00001906|Pjv1_00002641|Pjv1_00003264|Pjv1_00003438|Pjv1_00006404|Pjv1_00006452|Pjv1_00007121|Pjv1_00007141|Pjv1_00008399|Pjv1_00008469|Pjv1_00009593|Pjv1_00010531|Pjv1_00010580|Pjv1_00010760|Pjv1_00010959|Pjv1_00011826|Pjv1_00012596|Pjv1_00012669|Pjv1_00012678|Pjv1_00013474|Pjv1_00013649|Pjv1_00014242|Pjv1_00014771|Pjv1_00014855|Pjv1_00015237|Pjv1_00015817|Pjv1_00016864|Pjv1_00017482|Pjv1_00017700|Pjv1_00018083|Pjv1_00019200|Pjv1_00019336|Pjv1_00019683|Pjv1_00022227|Pjv1_00022602|Pjv1_00022794|Pjv1_00023655|Pjv1_00024062|Pjv1_00024201|Pjv1_00024608|Pjv1_00024697|Pjv1_00024738|Pjv1_00025914|Pjv1_00026899|Pjv1_00027208|Pjv1_00028086|Pjv1_00028219|Pjv1_00028358|Pjv1_00028615|Pjv1_00029228|Pjv1_00029844	0.0215424983723595	0.0892474932569179
