GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005576	CC	extracellular region	Pjv1_00000726|Pjv1_00001047|Pjv1_00001111|Pjv1_00001181|Pjv1_00001228|Pjv1_00001894|Pjv1_00002225|Pjv1_00002374|Pjv1_00003940|Pjv1_00004173|Pjv1_00004892|Pjv1_00005610|Pjv1_00006580|Pjv1_00007193|Pjv1_00007267|Pjv1_00007394|Pjv1_00008332|Pjv1_00011536|Pjv1_00013846|Pjv1_00015758|Pjv1_00016576|Pjv1_00017032|Pjv1_00017753|Pjv1_00017755|Pjv1_00017756|Pjv1_00018140|Pjv1_00018792|Pjv1_00019611|Pjv1_00021861|Pjv1_00022685|Pjv1_00022738|Pjv1_00022855|Pjv1_00024193|Pjv1_00024404|Pjv1_00024903|Pjv1_00025367|Pjv1_00025391|Pjv1_00025782|Pjv1_00025850|Pjv1_00025853|Pjv1_00026297|Pjv1_00026356|Pjv1_00027335|Pjv1_00029702|Pjv1_00029711|Pjv1_00030211|Pjv1_00030333	6.31232289844082e-07	3.21928467820482e-05
GO:0009507	CC	chloroplast	Pjv1_00001384|Pjv1_00002602|Pjv1_00011863|Pjv1_00012255|Pjv1_00015417|Pjv1_00021426|Pjv1_00023596|Pjv1_00027600|Pjv1_00028131	1.29752456853486e-06	3.3086876497639e-05
GO:0005840	CC	ribosome	Pjv1_00014924	0.000182646617474308	0.00310499249706323
GO:0009570	CC	chloroplast stroma	Pjv1_00006800|Pjv1_00006801	0.000305730738875585	0.00389806692066371
GO:0042597	CC	periplasmic space	Pjv1_00004534|Pjv1_00005939|Pjv1_00010978|Pjv1_00028763|Pjv1_00029434	0.000402112130212067	0.00410154372816308
GO:0048046	CC	apoplast	Pjv1_00000267|Pjv1_00000936|Pjv1_00000937|Pjv1_00000938|Pjv1_00000939|Pjv1_00001384|Pjv1_00002589|Pjv1_00006096|Pjv1_00009493|Pjv1_00009788|Pjv1_00010308|Pjv1_00011283|Pjv1_00017933|Pjv1_00019768|Pjv1_00019771|Pjv1_00021014|Pjv1_00023200|Pjv1_00025798|Pjv1_00025853|Pjv1_00026082|Pjv1_00026083|Pjv1_00026275|Pjv1_00026683|Pjv1_00029106	0.000839300430928395	0.00713405366289135
GO:0009705	CC	plant-type vacuole membrane	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00021194|Pjv1_00030116	0.00292784405072715	0.0213314352267264
GO:0005618	CC	cell wall	Pjv1_00001047|Pjv1_00001181|Pjv1_00001384|Pjv1_00002225|Pjv1_00004173|Pjv1_00005610|Pjv1_00005921|Pjv1_00006096|Pjv1_00007193|Pjv1_00007267|Pjv1_00008332|Pjv1_00011536|Pjv1_00019704|Pjv1_00022685|Pjv1_00022738|Pjv1_00024903|Pjv1_00025798|Pjv1_00025853|Pjv1_00026297|Pjv1_00029106|Pjv1_00029711|Pjv1_00030333	0.00462370063581883	0.0287591696554062
GO:0005789	CC	endoplasmic reticulum membrane	Pjv1_00002819|Pjv1_00006170|Pjv1_00007564|Pjv1_00008022|Pjv1_00010211|Pjv1_00016993|Pjv1_00020453|Pjv1_00020455|Pjv1_00020457|Pjv1_00020459|Pjv1_00020461|Pjv1_00020510|Pjv1_00021681|Pjv1_00027100	0.00507514758624816	0.0287591696554062
GO:0005634	CC	nucleus	Pjv1_00000429|Pjv1_00000666|Pjv1_00001184|Pjv1_00001855|Pjv1_00001918|Pjv1_00002036|Pjv1_00002298|Pjv1_00002413|Pjv1_00002602|Pjv1_00002649|Pjv1_00002952|Pjv1_00003270|Pjv1_00003346|Pjv1_00004515|Pjv1_00004529|Pjv1_00004595|Pjv1_00004752|Pjv1_00004974|Pjv1_00005174|Pjv1_00005737|Pjv1_00006151|Pjv1_00006204|Pjv1_00006889|Pjv1_00007086|Pjv1_00007665|Pjv1_00008294|Pjv1_00008940|Pjv1_00010320|Pjv1_00011986|Pjv1_00012388|Pjv1_00012415|Pjv1_00012650|Pjv1_00013276|Pjv1_00013681|Pjv1_00014337|Pjv1_00014389|Pjv1_00014654|Pjv1_00014682|Pjv1_00014924|Pjv1_00015032|Pjv1_00015043|Pjv1_00015154|Pjv1_00015301|Pjv1_00015715|Pjv1_00016358|Pjv1_00016360|Pjv1_00017051|Pjv1_00017673|Pjv1_00018368|Pjv1_00018785|Pjv1_00018875|Pjv1_00019224|Pjv1_00019225|Pjv1_00019422|Pjv1_00019631|Pjv1_00020515|Pjv1_00020660|Pjv1_00021464|Pjv1_00021610|Pjv1_00021656|Pjv1_00022428|Pjv1_00022539|Pjv1_00023136|Pjv1_00023337|Pjv1_00024247|Pjv1_00025387|Pjv1_00025469|Pjv1_00025854|Pjv1_00026155|Pjv1_00026666|Pjv1_00026803|Pjv1_00028839|Pjv1_00029357|Pjv1_00029685|Pjv1_00029748|Pjv1_00029749|Pjv1_00029825|Pjv1_00030315	0.00592818548360351	0.0302337459663779
