GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0052716	MF	hydroquinone:oxygen oxidoreductase activity	Pjv1_00006828|Pjv1_00006829|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011588|Pjv1_00014540|Pjv1_00022395|Pjv1_00022397	9.94029262246147e-06	0.000749966748811373
GO:0016616	MF	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00007395|Pjv1_00019630|Pjv1_00024777|Pjv1_00025578|Pjv1_00026862|Pjv1_00028765|Pjv1_00028898	1.04162048446024e-05	0.000749966748811373
GO:0003854	MF	3-beta-hydroxy-delta5-steroid dehydrogenase activity	Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00007395|Pjv1_00024777|Pjv1_00025578|Pjv1_00026862|Pjv1_00028765|Pjv1_00028898	9.94029262246147e-06	0.000749966748811373
GO:0008271	MF	secondary active sulfate transmembrane transporter activity	Pjv1_00000951|Pjv1_00002037|Pjv1_00006207|Pjv1_00006508|Pjv1_00018289|Pjv1_00018290|Pjv1_00020131	2.09587525636578e-05	0.00113177263843752
GO:0016168	MF	chlorophyll binding	Pjv1_00000006|Pjv1_00004538|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00017363|Pjv1_00030182	3.69715671408741e-05	0.00159717170048576
GO:0015116	MF	sulfate transmembrane transporter activity	Pjv1_00000951|Pjv1_00002037|Pjv1_00006207|Pjv1_00006508|Pjv1_00018290|Pjv1_00020131	5.98093462905569e-05	0.00184554554268004
GO:0000293	MF	ferric-chelate reductase activity	Pjv1_00011395|Pjv1_00013478|Pjv1_00021547|Pjv1_00022013|Pjv1_00022278	5.3086617875394e-05	0.00184554554268004
GO:0005215	MF	transporter activity	Pjv1_00000983|Pjv1_00004261|Pjv1_00005007|Pjv1_00011300|Pjv1_00011669|Pjv1_00012639|Pjv1_00013712|Pjv1_00013713|Pjv1_00023359|Pjv1_00024988|Pjv1_00025710|Pjv1_00026826|Pjv1_00026827|Pjv1_00027805|Pjv1_00030282	0.000161100799667464	0.00434972159102153
GO:0016762	MF	xyloglucan:xyloglucosyl transferase activity	Pjv1_00000379|Pjv1_00000442|Pjv1_00000443|Pjv1_00014925|Pjv1_00019889|Pjv1_00022809|Pjv1_00023917	0.000269521823326374	0.00646852375983297
GO:0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds	Pjv1_00000379|Pjv1_00000442|Pjv1_00000443|Pjv1_00002356|Pjv1_00002357|Pjv1_00007489|Pjv1_00007490|Pjv1_00012690|Pjv1_00012966|Pjv1_00014925|Pjv1_00017134|Pjv1_00019889|Pjv1_00021177|Pjv1_00022809|Pjv1_00023917|Pjv1_00025523	0.000404996476125963	0.0087479238843208
