GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0020037	MF	heme binding	Pjv1_00000172|Pjv1_00000648|Pjv1_00000649|Pjv1_00000697|Pjv1_00002264|Pjv1_00002756|Pjv1_00003155|Pjv1_00003607|Pjv1_00003613|Pjv1_00006740|Pjv1_00007078|Pjv1_00007552|Pjv1_00010072|Pjv1_00010073|Pjv1_00010750|Pjv1_00011611|Pjv1_00011616|Pjv1_00011627|Pjv1_00011717|Pjv1_00015952|Pjv1_00016216|Pjv1_00016481|Pjv1_00016482|Pjv1_00017384|Pjv1_00018864|Pjv1_00019688|Pjv1_00020457|Pjv1_00020459|Pjv1_00020461|Pjv1_00020782|Pjv1_00024737|Pjv1_00025391|Pjv1_00025587|Pjv1_00026342|Pjv1_00026468|Pjv1_00027067|Pjv1_00028483|Pjv1_00028484|Pjv1_00028485	3.10233879012435e-09	6.91821550197729e-07
GO:0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Pjv1_00000172|Pjv1_00000697|Pjv1_00002264|Pjv1_00002756|Pjv1_00003155|Pjv1_00003607|Pjv1_00003613|Pjv1_00006740|Pjv1_00010072|Pjv1_00010073|Pjv1_00010750|Pjv1_00011611|Pjv1_00011616|Pjv1_00011717|Pjv1_00016481|Pjv1_00016482|Pjv1_00019688|Pjv1_00020457|Pjv1_00020459|Pjv1_00020461|Pjv1_00024737|Pjv1_00025587|Pjv1_00026342|Pjv1_00026468|Pjv1_00027067|Pjv1_00028483|Pjv1_00028484|Pjv1_00028485	3.3590118189008e-08	3.74529817807439e-06
GO:0016829	MF	lyase activity	Pjv1_00000697|Pjv1_00004699|Pjv1_00004700|Pjv1_00018680|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684|Pjv1_00022987	1.53119472305926e-05	0.00113818807747405
GO:0010333	MF	terpene synthase activity	Pjv1_00004699|Pjv1_00004700|Pjv1_00018680|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684|Pjv1_00022987	2.09587525636578e-05	0.00116845045542392
GO:0005506	MF	iron ion binding	Pjv1_00000172|Pjv1_00000697|Pjv1_00002264|Pjv1_00002756|Pjv1_00003155|Pjv1_00003607|Pjv1_00003613|Pjv1_00006740|Pjv1_00007552|Pjv1_00010072|Pjv1_00010073|Pjv1_00010750|Pjv1_00011611|Pjv1_00011616|Pjv1_00011627|Pjv1_00011717|Pjv1_00016481|Pjv1_00016482|Pjv1_00018864|Pjv1_00019688|Pjv1_00020457|Pjv1_00020459|Pjv1_00020461|Pjv1_00024737|Pjv1_00025587|Pjv1_00026342|Pjv1_00026468|Pjv1_00027067|Pjv1_00028483|Pjv1_00028484|Pjv1_00028485	2.63910880382469e-05	0.00117704252650581
GO:0010334	MF	sesquiterpene synthase activity	Pjv1_00004699|Pjv1_00018680|Pjv1_00018683|Pjv1_00018684	9.89230593498221e-05	0.00367664037250172
GO:0004497	MF	monooxygenase activity	Pjv1_00000172|Pjv1_00000697|Pjv1_00002756|Pjv1_00006740|Pjv1_00010072|Pjv1_00010073|Pjv1_00010750|Pjv1_00011611|Pjv1_00011616|Pjv1_00011717|Pjv1_00016481|Pjv1_00016482|Pjv1_00026342|Pjv1_00027067|Pjv1_00028483|Pjv1_00028484|Pjv1_00028485	0.000318517138043281	0.00887866522295647
GO:0003735	MF	structural constituent of ribosome	Pjv1_00003508|Pjv1_00025457|Pjv1_00028659	0.00029753184988797	0.00887866522295647
GO:0004601	MF	peroxidase activity	Pjv1_00000648|Pjv1_00000649|Pjv1_00002385|Pjv1_00007078|Pjv1_00013429|Pjv1_00015952|Pjv1_00017384|Pjv1_00020782|Pjv1_00023390|Pjv1_00025391	0.000608813541354534	0.0150850466357846
GO:0004190	MF	aspartic-type endopeptidase activity	Pjv1_00002415|Pjv1_00004697|Pjv1_00015556|Pjv1_00015557|Pjv1_00018792|Pjv1_00025782|Pjv1_00028425	0.000975203408912235	0.0217470360187428
GO:0005199	MF	structural constituent of cell wall	Pjv1_00006649|Pjv1_00017254|Pjv1_00017257|Pjv1_00020635	0.00120381398095463	0.0244045925229892
GO:0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds	Pjv1_00001366|Pjv1_00001384|Pjv1_00002465|Pjv1_00005434|Pjv1_00010259|Pjv1_00014917|Pjv1_00014925|Pjv1_00020946|Pjv1_00021151|Pjv1_00021177|Pjv1_00021574|Pjv1_00022650|Pjv1_00023248|Pjv1_00027832	0.00307845900991751	0.0572080299343004
GO:0003700	MF	DNA-binding transcription factor activity	Pjv1_00000754|Pjv1_00001184|Pjv1_00002791|Pjv1_00002792|Pjv1_00002793|Pjv1_00002879|Pjv1_00004515|Pjv1_00006538|Pjv1_00007575|Pjv1_00007973|Pjv1_00008215|Pjv1_00009044|Pjv1_00009287|Pjv1_00009593|Pjv1_00010422|Pjv1_00010498|Pjv1_00012090|Pjv1_00012571|Pjv1_00013276|Pjv1_00013649|Pjv1_00014771|Pjv1_00014855|Pjv1_00016362|Pjv1_00017034|Pjv1_00017342|Pjv1_00017505|Pjv1_00018329|Pjv1_00018785|Pjv1_00019882|Pjv1_00020321|Pjv1_00020491|Pjv1_00020667|Pjv1_00021464|Pjv1_00024793|Pjv1_00025521|Pjv1_00027188|Pjv1_00027218|Pjv1_00028801|Pjv1_00028837|Pjv1_00028839|Pjv1_00029581|Pjv1_00029749|Pjv1_00030205	0.0048473180010251	0.0831501472483536
