GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0008150	BP	biological_process	AT1G01570|AT1G03820|AT1G09460|AT1G17830|AT1G23150|AT1G23750|AT1G26930|AT1G28400|AT1G33102|AT1G50732|AT1G51920|AT1G52342|AT1G53625|AT1G54575|AT1G69325|AT1G76070|AT1G77145|AT1G80450|AT2G05380|AT2G05510|AT2G07701|AT2G07728|AT2G07775|AT2G07825|AT2G15760|AT2G19970|AT2G28400|AT2G28500|AT2G32880|AT2G40113|AT2G47950|AT3G14060|AT3G16330|AT3G18250|AT3G23970|AT3G27415|AT3G27416|AT3G50570|AT4G01985|AT4G11350|AT4G20000|AT4G23720|AT4G33666|AT4G35720|AT5G10946|AT5G24600|AT5G24640|AT5G44572|AT5G46730|AT5G51390|AT5G52390|AT5G53110|AT5G53820|AT5G54165|AT5G61820|ATMG00030|ATMG00430|ATMG01150	1.36437109300057e-15	6.26246331687263e-13
GO:0006749	BP	glutathione metabolic process	AT1G17170|AT1G17180|AT1G69930|AT1G78380|AT2G29420|AT2G29440|AT2G29450|AT2G29460|AT2G29470|AT2G29480|AT2G29490|AT3G09270	2.04676234624674e-07	4.69731958463626e-05
GO:0006979	BP	response to oxidative stress	AT1G07400|AT1G14870|AT1G21520|AT1G72060|AT1G78380|AT1G78410|AT2G21640|AT2G22420|AT2G29450|AT2G29500|AT2G38380|AT3G28340|AT3G49120|AT4G08770|AT4G23190|AT4G34710|AT4G35770|AT5G05340|AT5G06720|AT5G16960|AT5G16970|AT5G19880|AT5G21280|AT5G39610|AT5G64110|AT5G64120	7.82369220465769e-07	0.000119702490731263
GO:0009407	BP	toxin catabolic process	AT1G17170|AT1G17180|AT1G69930|AT1G78380|AT2G29420|AT2G29440|AT2G29450|AT2G29460|AT2G29470|AT2G29480|AT2G29490|AT3G09270	3.28404728605214e-06	0.000376844426074483
GO:0046686	BP	response to cadmium ion	AT1G77120|AT1G78380|AT2G41380|AT3G09270|AT3G12500|AT3G12580|AT3G44300|AT3G53230|AT4G21680|AT5G07440|AT5G16970|AT5G17330	6.89524978806767e-05	0.00527486608787177
GO:0042631	BP	cellular response to water deprivation	AT1G05680|AT1G15520|AT1G64660|AT1G78380|AT3G20660|AT5G24090	5.98093462905569e-05	0.00527486608787177
GO:0009651	BP	response to salt stress	AT1G07400|AT1G47510|AT1G54050|AT1G54100|AT1G65500|AT1G77120|AT2G03760|AT2G29500|AT2G44450|AT2G47190|AT3G05360|AT3G09350|AT3G23250|AT3G60120|AT3G60140|AT4G12480|AT4G34710|AT5G02020|AT5G13330|AT5G22270|AT5G24090|AT5G39610|AT5G49450	9.94150886952981e-05	0.00651878938730598
GO:0051707	BP	response to other organism	AT2G15480|AT2G15490|AT2G35980|AT3G16770|AT3G53160|AT4G34131|AT4G34135	0.000159517567903292	0.0091523204584514
GO:0042542	BP	response to hydrogen peroxide	AT1G04580|AT1G07400|AT1G54050|AT1G73260|AT1G77120|AT2G29500|AT3G17790|AT3G29035|AT5G39610	0.000258522899757256	0.01318466788762
GO:0050832	BP	defense response to fungus	AT2G38870|AT2G39660|AT2G43510|AT3G04220|AT3G05360|AT3G12500|AT3G13790|AT3G26470|AT3G26830|AT3G49120|AT4G12470|AT4G12480|AT4G12490|AT5G40990|AT5G46350|AT5G61890|AT5G64120	0.000701692086783559	0.0322076667833654
GO:0070301	BP	cellular response to hydrogen peroxide	AT1G05680|AT1G75270|AT5G46350	0.000994604683241571	0.0415021408734437
GO:0010252	BP	auxin homeostasis	AT1G14130|AT2G17500|AT2G23170|AT4G37390|AT5G54510	0.002425031124011	0.0856222527631578
GO:0009058	BP	biosynthetic process	AT1G74000|AT1G74010|AT1G74020|AT3G51440|AT5G11520	0.002425031124011	0.0856222527631578
GO:0009414	BP	response to water deprivation	AT1G04580|AT1G15520|AT1G32560|AT1G52890|AT1G65500|AT1G77120|AT2G14610|AT2G38530|AT2G47190|AT3G15500|AT3G23250|AT3G26830|AT4G02280|AT4G15910|AT5G13330|AT5G59220	0.00266315185051344	0.0873133356704048
GO:0006952	BP	defense response	AT1G19610|AT1G23120|AT2G01530|AT2G02120|AT2G03760|AT2G14610|AT2G28790|AT2G39200|AT2G43510|AT3G23240|AT3G26830|AT3G49120|AT4G11650|AT4G23680	0.00350830984198812	0.0913595256369584
GO:0010216	BP	negative regulation of gene expression via chromosomal DNA cytosine methylation	AT1G57820|AT1G66040|AT1G66050	0.003582726495567	0.0913595256369584
GO:0006538	BP	glutamate catabolic process	AT2G02010|AT5G07440|AT5G17330	0.003582726495567	0.0913595256369584
GO:0002221	BP	pattern recognition receptor signaling pathway	AT2G39660|AT3G49120|AT5G24090	0.003582726495567	0.0913595256369584
