GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009834	BP	plant-type secondary cell wall biogenesis	AT1G09610|AT1G17950|AT1G27440|AT1G32770|AT1G33800|AT2G28315|AT2G35700|AT2G37090|AT2G38080|AT2G40320|AT2G46770|AT3G50220|AT3G61910|AT4G14940|AT4G18780|AT5G03170|AT5G15630|AT5G17420|AT5G44030|AT5G60490|AT5G67210	3.97173607728368e-16	1.74756387400482e-13
GO:0008150	BP	biological_process	AT1G01130|AT1G13470|AT1G14880|AT1G17620|AT1G19960|AT1G21950|AT1G22030|AT1G45010|AT1G52270|AT1G56660|AT1G61260|AT1G62981|AT1G67870|AT1G72600|AT1G76620|AT1G77855|AT1G78170|AT1G78450|AT1G78460|AT1G79420|AT2G05632|AT2G12400|AT2G15042|AT2G17710|AT2G23360|AT2G28410|AT2G32487|AT2G35290|AT2G39370|AT3G06070|AT3G06145|AT3G14760|AT3G15050|AT3G22415|AT3G22540|AT3G26960|AT3G45160|AT3G46890|AT3G47210|AT3G47980|AT3G54040|AT3G62630|AT3G62730|AT3G63160|AT4G09890|AT4G14380|AT4G18260|AT4G21970|AT4G24700|AT4G26490|AT4G27435|AT4G27654|AT4G30830|AT4G35320|AT5G02090|AT5G02440|AT5G13250|AT5G19190|AT5G19250|AT5G22870|AT5G28610|AT5G28630|AT5G35480|AT5G42710|AT5G44060|AT5G45095|AT5G47635|AT5G54240|AT5G54585|AT5G54710|AT5G55010|AT5G59050|AT5G61340|AT5G62960|AT5G64850	2.57125052044235e-09	5.65675114497317e-07
GO:0045492	BP	xylan biosynthetic process	AT1G09610|AT1G33800|AT1G73140|AT2G37090|AT3G50220|AT3G55990|AT5G01360|AT5G54690|AT5G67210	1.51060111857103e-07	2.21554830723751e-05
GO:2000652	BP	regulation of secondary cell wall biogenesis	AT1G17950|AT1G28470|AT1G62990|AT1G63910|AT4G17880|AT4G22680|AT4G28500|AT5G16600	5.33096324573329e-05	0.00586405957030662
GO:0010417	BP	glucuronoxylan biosynthetic process	AT1G19300|AT1G27440|AT2G37090|AT5G54690	9.89230593498221e-05	0.00870522922278435
GO:0009416	BP	response to light stimulus	AT1G01120|AT1G07720|AT1G08810|AT1G31580|AT1G66180|AT1G68530|AT2G26250|AT4G14400|AT4G25420|AT4G27430|AT4G28556|AT5G25830|AT5G49730	0.000144126157714447	0.00877346623468108
GO:0010025	BP	wax biosynthetic process	AT1G01120|AT1G49430|AT1G57750|AT1G68530|AT4G24510|AT4G33790	0.000134723818006729	0.00877346623468108
GO:0048366	BP	leaf development	AT1G19300|AT2G34010|AT2G36400|AT2G42200|AT3G52910|AT4G24150|AT4G25420	0.000159517567903292	0.00877346623468108
GO:0006857	BP	oligopeptide transport	AT2G02020|AT3G45680|AT3G45710|AT4G10770|AT5G13400|AT5G55930	0.000267050146025684	0.0130557849168112
GO:0030244	BP	cellulose biosynthetic process	AT4G18780|AT4G24010|AT5G01360|AT5G17420|AT5G44030	0.000402112130212067	0.017692933729331
