GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005829	CC	cytosol	AT1G04580|AT1G15310|AT1G17170|AT1G22440|AT1G30820|AT1G32560|AT1G54100|AT1G55920|AT1G64660|AT1G72680|AT1G74010|AT1G75270|AT1G77120|AT1G78380|AT2G02010|AT2G15490|AT2G18700|AT2G20560|AT2G22420|AT2G25450|AT2G29420|AT2G29440|AT2G29450|AT2G30140|AT2G38870|AT2G43820|AT2G46140|AT3G07410|AT3G09350|AT3G09480|AT3G09680|AT3G12500|AT3G12580|AT3G14620|AT3G14690|AT3G44300|AT3G49120|AT3G52340|AT3G53230|AT3G57740|AT3G59140|AT4G01870|AT4G16690|AT4G17660|AT4G22530|AT4G23680|AT4G34710|AT4G39670|AT5G05340|AT5G11520|AT5G13370|AT5G16970|AT5G17330|AT5G38530|AT5G39050|AT5G42830|AT5G48180|AT5G49480|AT5G49690|AT5G52640|AT5G59220	2.93423835131666e-08	2.40607544807967e-06
GO:0005794	CC	Golgi apparatus	AT1G01570|AT1G03220|AT1G05560|AT1G44130|AT1G61800|AT1G69480|AT1G71380|AT1G74020|AT1G79450|AT2G03760|AT2G23150|AT2G24180|AT2G38530|AT2G39660|AT2G42570|AT2G44450|AT3G12580|AT3G16240|AT3G28340|AT3G29810|AT3G49120|AT3G53230|AT3G54260|AT3G56000|AT4G11350|AT4G15610|AT4G25810|AT4G30280|AT5G05340|AT5G06720|AT5G06860|AT5G22140|AT5G59220	1.2463164316816e-07	5.10989736989454e-06
GO:0005737	CC	cytoplasm	AT1G01480|AT1G07400|AT1G10585|AT1G14130|AT1G14860|AT1G14870|AT1G15310|AT1G15380|AT1G17020|AT1G17170|AT1G17180|AT1G22440|AT1G23750|AT1G26390|AT1G26930|AT1G30730|AT1G47510|AT1G48605|AT1G53950|AT1G54050|AT1G55920|AT1G64660|AT1G66620|AT1G69480|AT1G69880|AT1G69930|AT1G71890|AT1G72070|AT1G72900|AT1G72920|AT1G72940|AT1G77120|AT1G78380|AT1G80160|AT2G03760|AT2G18700|AT2G20560|AT2G22470|AT2G23150|AT2G23170|AT2G25450|AT2G28210|AT2G29420|AT2G29440|AT2G29450|AT2G29460|AT2G29470|AT2G29480|AT2G29490|AT2G29500|AT2G30140|AT2G39030|AT2G39660|AT2G41730|AT2G47780|AT3G04220|AT3G09270|AT3G09350|AT3G09680|AT3G12580|AT3G13610|AT3G14060|AT3G15340|AT3G16770|AT3G23510|AT3G23530|AT3G25900|AT3G27415|AT3G29250|AT3G55970|AT4G03620|AT4G11170|AT4G13540|AT4G13660|AT4G14370|AT4G18210|AT4G22530|AT4G37390|AT4G37990|AT4G39670|AT5G02430|AT5G05365|AT5G07010|AT5G07440|AT5G13370|AT5G13380|AT5G13790|AT5G16960|AT5G16970|AT5G17760|AT5G22140|AT5G39050|AT5G42830|AT5G43450|AT5G48180|AT5G52640|AT5G54510|AT5G56510|AT5G60180|AT5G60250	4.67611884456999e-07	1.27813915084913e-05
GO:0009506	CC	plasmodesma	AT1G03220|AT1G32560|AT1G54000|AT1G60030|AT1G71380|AT1G71890|AT1G74020|AT1G74080|AT2G23150|AT2G25450|AT2G27080|AT2G28790|AT2G29450|AT2G33130|AT2G35980|AT2G37870|AT2G39210|AT2G42570|AT2G44450|AT2G44790|AT2G46290|AT3G02885|AT3G16240|AT3G60160|AT4G12470|AT4G12480|AT4G12490|AT4G13660|AT4G22470|AT5G06860|AT5G06870|AT5G17980|AT5G20950|AT5G22140|AT5G22460|AT5G64110|AT5G64120	1.41537765108219e-06	2.32121934777479e-05
GO:0005774	CC	vacuolar membrane	AT1G54000|AT1G61800|AT1G64200|AT1G71140|AT1G74020|AT1G78380|AT1G80660|AT2G23150|AT2G30500|AT3G12500|AT3G12580|AT3G16240|AT3G49120|AT3G59140|AT3G60160|AT5G07440|AT5G13490	1.39058225043312e-06	2.32121934777479e-05
GO:0005618	CC	cell wall	AT1G03220|AT1G17860|AT1G26390|AT1G30700|AT1G30720|AT1G30730|AT1G32940|AT1G71380|AT1G74000|AT2G02120|AT2G14610|AT2G33160|AT2G38870|AT2G44450|AT3G12580|AT3G13790|AT3G14060|AT3G16240|AT3G49120|AT4G25810|AT5G05340|AT5G06860|AT5G06870|AT5G20950|AT5G22460|AT5G44390|AT5G52640|AT5G64120	4.25580357062098e-06	5.81626487984868e-05
GO:0009505	CC	plant-type cell wall	AT1G32960|AT1G44130|AT1G53830|AT1G71380|AT1G74000|AT1G74010|AT2G22420|AT2G28790|AT2G38530|AT2G44450|AT3G16240|AT3G49120|AT4G12480|AT5G05340|AT5G06860|AT5G06870|AT5G20950|AT5G22460|AT5G64110|AT5G64120	1.37015095606039e-05	0.000160503397709932
GO:0005886	CC	plasma membrane	AT1G02220|AT1G03220|AT1G08050|AT1G14870|AT1G15520|AT1G47510|AT1G58360|AT1G60030|AT1G63440|AT1G65500|AT1G69325|AT1G69480|AT1G71380|AT1G71890|AT1G74010|AT1G74020|AT1G74790|AT1G75270|AT1G76070|AT1G77120|AT1G78380|AT1G79450|AT1G80660|AT2G04070|AT2G15760|AT2G18500|AT2G22470|AT2G24180|AT2G29450|AT2G38530|AT2G39200|AT2G39210|AT2G39660|AT2G46140|AT2G47630|AT3G05360|AT3G07410|AT3G12580|AT3G13790|AT3G15340|AT3G16240|AT3G16770|AT3G20660|AT3G27416|AT3G29810|AT3G44300|AT3G51670|AT3G53210|AT3G53230|AT3G54030|AT3G54820|AT3G59700|AT4G09030|AT4G11480|AT4G15610|AT4G21390|AT4G21680|AT4G22470|AT4G23190|AT4G23720|AT4G24040|AT4G27970|AT4G28040|AT4G37370|AT4G37990|AT5G04770|AT5G07440|AT5G11210|AT5G11520|AT5G17760|AT5G17860|AT5G17980|AT5G19230|AT5G20150|AT5G22140|AT5G24600|AT5G40000|AT5G49665|AT5G52640|AT5G53320|AT5G60270|AT5G64080	4.21547546829715e-05	0.000432086235500458
GO:0099503	CC	secretory vesicle	AT1G03220|AT1G17860|AT1G30720|AT1G73260|AT2G14610|AT2G28790|AT2G38380|AT2G43510|AT3G12500|AT3G49120|AT4G11650|AT4G12480|AT5G06860|AT5G64110|AT5G64120	8.26819307530981e-05	0.000753324257972672
GO:0005576	CC	extracellular region	AT1G02360|AT1G03220|AT1G04310|AT1G08050|AT1G17860|AT1G19610|AT1G32940|AT1G32960|AT1G44130|AT1G45616|AT1G51860|AT1G51920|AT1G53830|AT1G54000|AT1G54575|AT1G71380|AT1G72060|AT1G73260|AT1G74010|AT1G77145|AT2G01610|AT2G02120|AT2G04160|AT2G05380|AT2G14610|AT2G15780|AT2G19190|AT2G19970|AT2G22420|AT2G28790|AT2G33020|AT2G33130|AT2G33160|AT2G34080|AT2G34500|AT2G37870|AT2G38380|AT2G38530|AT2G38870|AT2G40113|AT2G43510|AT2G44450|AT2G44790|AT2G47550|AT2G47630|AT3G02885|AT3G12500|AT3G12700|AT3G13650|AT3G13790|AT3G18280|AT3G19390|AT3G23150|AT3G29250|AT3G49120|AT3G53210|AT3G57380|AT4G02330|AT4G08770|AT4G11480|AT4G11650|AT4G12470|AT4G12480|AT4G12500|AT4G21390|AT4G25810|AT4G30280|AT4G30290|AT4G37370|AT4G38210|AT5G05340|AT5G06720|AT5G06860|AT5G06870|AT5G14180|AT5G19230|AT5G19880|AT5G20950|AT5G24090|AT5G24820|AT5G44572|AT5G49665|AT5G58840|AT5G60270|AT5G64120	0.00115072909891646	0.00943597861111501
GO:0005575	CC	cellular_component	AT1G13520|AT1G15040|AT1G50732|AT1G53625|AT1G80820|AT2G07825|AT2G32880|AT2G44070|AT3G16330|AT4G35720|AT4G35770|AT4G37540|AT5G53110	0.00225995384754162	0.0168469286816739
