GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005634	CC	nucleus	AT1G01370|AT1G03010|AT1G04020|AT1G04250|AT1G07490|AT1G08180|AT1G09812|AT1G12060|AT1G13600|AT1G13670|AT1G14280|AT1G15570|AT1G15580|AT1G18370|AT1G18400|AT1G19050|AT1G21060|AT1G27670|AT1G28360|AT1G29500|AT1G30280|AT1G30814|AT1G31760|AT1G32510|AT1G33170|AT1G33612|AT1G43160|AT1G44110|AT1G44608|AT1G47655|AT1G49660|AT1G50280|AT1G51170|AT1G51960|AT1G52240|AT1G53060|AT1G54385|AT1G55260|AT1G59850|AT1G63100|AT1G64625|AT1G65710|AT1G66390|AT1G68330|AT1G72490|AT1G73830|AT1G74150|AT1G75150|AT1G75770|AT1G78090|AT1G79170|AT2G04450|AT2G05635|AT2G13960|AT2G14160|AT2G17620|AT2G19960|AT2G20480|AT2G20670|AT2G25880|AT2G26760|AT2G27830|AT2G32100|AT2G32590|AT2G32765|AT2G33793|AT2G34440|AT2G36030|AT2G36650|AT2G37380|AT2G39705|AT2G39880|AT2G40085|AT2G40200|AT2G40350|AT2G42260|AT2G43040|AT2G44580|AT2G46810|AT2G46970|AT3G02120|AT3G02820|AT3G03130|AT3G05770|AT3G06020|AT3G13677|AT3G14190|AT3G15440|AT3G15540|AT3G17460|AT3G21600|AT3G21680|AT3G22760|AT3G23740|AT3G23890|AT3G25980|AT3G27440|AT3G44960|AT3G46320|AT3G47180|AT3G48100|AT3G48490|AT3G51230|AT3G54560|AT3G54710|AT3G55660|AT3G57040|AT3G57500|AT3G57860|AT3G59220|AT3G60490|AT4G01580|AT4G01670|AT4G02060|AT4G04450|AT4G08590|AT4G15660|AT4G15690|AT4G15710|AT4G16146|AT4G16807|AT4G17440|AT4G17760|AT4G18500|AT4G18501|AT4G19865|AT4G20970|AT4G21320|AT4G21720|AT4G23060|AT4G26960|AT4G27950|AT4G28180|AT4G28310|AT4G28950|AT4G30860|AT4G31290|AT4G32830|AT4G33260|AT4G33270|AT4G35350|AT4G35620|AT4G36410|AT4G37610|AT4G39070|AT4G39600|AT4G39780|AT5G01840|AT5G02220|AT5G02510|AT5G03870|AT5G04190|AT5G04200|AT5G05330|AT5G05510|AT5G05770|AT5G05965|AT5G07500|AT5G08020|AT5G10140|AT5G10390|AT5G10400|AT5G11510|AT5G13060|AT5G14070|AT5G14510|AT5G17160|AT5G17260|AT5G19040|AT5G23800|AT5G24580|AT5G36000|AT5G37010|AT5G43080|AT5G44210|AT5G44260|AT5G46370|AT5G46590|AT5G47160|AT5G49100|AT5G49120|AT5G50335|AT5G50915|AT5G51795|AT5G53905|AT5G54970|AT5G55090|AT5G56780|AT5G57390|AT5G57980|AT5G59870|AT5G59970|AT5G61280|AT5G62920|AT5G65130|AT5G65140|AT5G65350|AT5G66660	0.000128823656711224	0.0139129549248122
GO:0016020	CC	membrane	AT2G38540|AT3G25190|AT3G51740|AT5G41160	0.00112563832471639	0.0274207793035252
GO:0000785	CC	chromatin	AT1G01370|AT2G44580|AT4G30860	0.000994604683241571	0.0274207793035252
GO:0000307	CC	cyclin-dependent protein kinase holoenzyme complex	AT1G15570|AT1G44110|AT2G17620|AT2G26760|AT4G35620|AT5G43080	0.00126948052331135	0.0274207793035252
GO:0005874	CC	microtubule	AT1G59850|AT2G28620|AT3G19050|AT3G23670|AT4G26660|AT4G32830|AT5G55520	0.000661393522057738	0.0274207793035252
GO:0005886	CC	plasma membrane	AT1G04020|AT1G07150|AT1G08560|AT1G14280|AT1G18650|AT1G28290|AT1G31335|AT1G33612|AT1G51170|AT1G73066|AT1G80050|AT2G02990|AT2G13820|AT2G16850|AT2G25060|AT2G32190|AT2G37925|AT2G38540|AT2G39510|AT2G39530|AT2G44300|AT3G10190|AT3G13520|AT3G21600|AT3G51740|AT3G54720|AT4G20940|AT4G28950|AT4G31840|AT4G37450|AT4G38840|AT5G10260|AT5G10390|AT5G10400|AT5G14920|AT5G24105|AT5G40730|AT5G44130|AT5G62670	0.0024298816037771	0.0390330777549101
GO:0005871	CC	kinesin complex	AT3G19050|AT3G23670|AT4G26660|AT5G55520	0.00252992170633676	0.0390330777549101
GO:0005783	CC	endoplasmic reticulum	AT1G05210|AT3G57010|AT4G10250|AT5G27330|AT5G48485	0.00476895712571344	0.0606733260596992
GO:0005829	CC	cytosol	AT1G08630|AT1G47840|AT1G49660|AT1G53070|AT1G80050|AT2G01755|AT2G04450|AT2G17280|AT2G44300|AT3G02910|AT3G46320|AT3G51030|AT3G53140|AT4G01130|AT4G15660|AT4G15690|AT4G23670|AT4G26520|AT5G65690	0.00505611050497493	0.0606733260596992
GO:0009507	CC	chloroplast	AT1G15000|AT1G19150|AT1G21060|AT1G47840|AT1G48280|AT1G50750|AT1G51170|AT1G53520|AT1G70680|AT1G73530|AT1G79760|AT2G01755|AT2G01918|AT2G04515|AT2G20670|AT2G34000|AT2G36870|AT2G39510|AT2G39530|AT2G39800|AT3G08920|AT3G14550|AT3G17220|AT3G23890|AT3G48540|AT3G57010|AT3G63510|AT4G01130|AT4G01575|AT4G10250|AT4G11640|AT4G26520|AT4G26660|AT4G35295|AT4G38840|AT5G02510|AT5G13060|AT5G14070|AT5G16250|AT5G18080|AT5G19870|AT5G21950|AT5G36710|AT5G36800|AT5G38060|AT5G41080|AT5G45680|AT5G49170|AT5G51795|AT5G55520|AT5G65140|AT5G66230|ATCG00210	0.00647742103787769	0.0699561472090791
GO:0009524	CC	phragmoplast	AT1G08560|AT1G18370|AT3G19050|AT3G23670	0.00738792757629387	0.0725360162036126
GO:0005635	CC	nuclear envelope	AT1G09470|AT1G54385|AT3G25980	0.00806579588848874	0.0725921629963987
GO:0033597	CC	mitotic checkpoint complex	AT4G33260|AT4G33270	0.00998199639927986	0.0829273547017096
