GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0003674	MF	molecular_function	AT1G03820|AT1G09460|AT1G10530|AT1G13520|AT1G14630|AT1G14870|AT1G17830|AT1G19610|AT1G21510|AT1G21520|AT1G23120|AT1G23150|AT1G26930|AT1G28400|AT1G32560|AT1G33102|AT1G50732|AT1G51920|AT1G52342|AT1G53625|AT1G54575|AT1G63530|AT1G65500|AT1G71150|AT1G77145|AT1G80450|AT2G05510|AT2G07701|AT2G07728|AT2G07775|AT2G07825|AT2G14610|AT2G19970|AT2G21640|AT2G27080|AT2G28400|AT2G28790|AT2G32880|AT2G35070|AT2G35950|AT2G40113|AT2G41730|AT2G44070|AT2G44080|AT2G46140|AT2G47780|AT2G47950|AT3G14060|AT3G16330|AT3G18250|AT3G23970|AT3G26470|AT3G27415|AT3G27416|AT3G29810|AT3G43250|AT3G50570|AT4G01870|AT4G01895|AT4G01985|AT4G03620|AT4G15910|AT4G20000|AT4G22470|AT4G23680|AT4G23720|AT4G33666|AT4G35720|AT4G35770|AT4G37290|AT5G10946|AT5G18920|AT5G19230|AT5G21280|AT5G24640|AT5G44572|AT5G46730|AT5G50360|AT5G51390|AT5G52390|AT5G53820|AT5G54165|AT5G57640|AT5G61820|AT5G64910|ATMG00030|ATMG00430|ATMG01150	1.74857715714196e-10	5.12333107042594e-08
GO:0004364	MF	glutathione transferase activity	AT1G17170|AT1G17180|AT1G69930|AT1G75270|AT1G78380|AT2G29420|AT2G29440|AT2G29450|AT2G29460|AT2G29470|AT2G29480|AT2G29490|AT3G09270	1.80646254074114e-06	0.000264646762218577
GO:0035251	MF	UDP-glucosyltransferase activity	AT1G05560|AT1G05680|AT2G15480|AT2G15490|AT2G43820|AT4G34131|AT4G34135	2.81513851243744e-06	0.000274945194714724
GO:0016881	MF	acid-amino acid ligase activity	AT2G23170|AT4G37390|AT5G13370|AT5G13380|AT5G54510	0.00016738654953442	0.0122610647533963
GO:0008194	MF	UDP-glycosyltransferase activity	AT1G05560|AT2G15480|AT2G15490|AT2G30140|AT2G36770|AT2G36780|AT3G53160|AT5G49690	0.00070972788745541	0.0208156551564129
GO:0080043	MF	quercetin 3-O-glucosyltransferase activity	AT1G05560|AT1G05680|AT1G22400|AT2G15480|AT2G15490|AT2G43820|AT3G46690|AT4G34131|AT4G34138	0.000364083602985357	0.0208156551564129
GO:0004673	MF	protein histidine kinase activity	AT1G04310|AT2G40940|AT3G23150	0.000994604683241571	0.0208156551564129
GO:0038199	MF	ethylene receptor activity	AT1G04310|AT2G40940|AT3G23150	0.000994604683241571	0.0208156551564129
GO:0051740	MF	ethylene binding	AT1G04310|AT2G40940|AT3G23150	0.000994604683241571	0.0208156551564129
GO:0020037	MF	heme binding	AT2G22420|AT2G24180|AT2G30750|AT2G34500|AT2G38380|AT2G42850|AT2G45570|AT3G14610|AT3G14620|AT3G14690|AT3G26830|AT3G28740|AT3G30180|AT3G49120|AT4G08770|AT4G37370|AT5G05340|AT5G06720|AT5G19880|AT5G64110|AT5G64120|ATMG00830|ATMG00900	0.000698810255596853	0.0208156551564129
GO:0080044	MF	quercetin 7-O-glucosyltransferase activity	AT1G05560|AT1G05680|AT1G22400|AT2G15490|AT2G43820|AT3G46690|AT4G34135|AT4G34138	0.00070972788745541	0.0208156551564129
GO:0003724	MF	RNA helicase activity	AT1G71280|AT1G71370|AT4G16680	0.000994604683241571	0.0208156551564129
GO:0047893	MF	flavonol 3-O-glucosyltransferase activity	AT2G15480|AT2G15490|AT4G34131|AT4G34135	0.000445510175214371	0.0208156551564129
GO:0010279	MF	indole-3-acetic acid amido synthetase activity	AT2G23170|AT4G37390|AT5G54510	0.000994604683241571	0.0208156551564129
GO:0016757	MF	glycosyltransferase activity	AT1G01570|AT1G05560|AT1G05680|AT1G22400|AT2G15480|AT2G15490|AT2G18700|AT2G30140|AT2G36770|AT2G36780|AT2G43820|AT3G46690|AT3G53160|AT3G56000|AT3G57380|AT4G02280|AT4G11350|AT5G49690	0.00312128271452691	0.0499875649143395
GO:0000155	MF	phosphorelay sensor kinase activity	AT1G04310|AT2G40940|AT3G23150	0.003582726495567	0.0499875649143395
GO:0008327	MF	methyl-CpG binding	AT1G57820|AT1G66040|AT1G66050	0.003582726495567	0.0499875649143395
GO:0010428	MF	methyl-CpNpG binding	AT1G57820|AT1G66040|AT1G66050	0.003582726495567	0.0499875649143395
GO:0010429	MF	methyl-CpNpN binding	AT1G57820|AT1G66040|AT1G66050	0.003582726495567	0.0499875649143395
GO:0102360	MF	daphnetin 3-O-glucosyltransferase activity	AT2G15480|AT2G15490|AT4G34131	0.003582726495567	0.0499875649143395
GO:0102425	MF	myricetin 3-O-glucosyltransferase activity	AT2G15480|AT2G15490|AT4G34131	0.003582726495567	0.0499875649143395
GO:0005506	MF	iron ion binding	AT1G04580|AT2G24180|AT2G30750|AT2G34500|AT2G42850|AT2G45570|AT3G14610|AT3G14620|AT3G14690|AT3G26830|AT3G28740|AT3G30180|AT4G37370|AT5G52570	0.00398262218534977	0.0530412863776129
GO:0004601	MF	peroxidase activity	AT2G22420|AT2G38380|AT3G17790|AT3G49120|AT4G08770|AT5G05340|AT5G06720|AT5G19880|AT5G64110|AT5G64120	0.00491110934463974	0.0625632625208454
GO:0030170	MF	pyridoxal phosphate binding	AT1G01480|AT1G64660|AT2G02010|AT5G11520|AT5G17330|AT5G38530	0.00516933480402313	0.0631089623991157
GO:0004497	MF	monooxygenase activity	AT2G24180|AT2G42850|AT3G14610|AT3G14620|AT3G14690|AT3G26830|AT3G30180	0.00567386032256204	0.0664976429804271
GO:0016616	MF	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	AT1G09500|AT1G72680|AT1G76470|AT1G80820|AT4G37990	0.00768014344877384	0.0803672153746691
GO:0050135	MF	NAD(P)+ nucleosidase activity	AT1G72900|AT1G72940|AT3G04220|AT4G11170|AT4G14370	0.00768014344877384	0.0803672153746691
GO:0061809	MF	NAD+ nucleotidase, cyclic ADP-ribose generating	AT1G72900|AT1G72940|AT3G04220|AT4G11170|AT4G14370	0.00768014344877384	0.0803672153746691
GO:0080002	MF	UDP-glucose:4-aminobenzoate acylglucosyltransferase activity	AT1G05560|AT2G43820	0.00998199639927986	0.0812423595830278
GO:0051082	MF	unfolded protein binding	AT1G07400|AT1G54050|AT2G20560|AT2G29500|AT3G12580|AT5G52640	0.00875861673547174	0.0812423595830278
GO:0004024	MF	alcohol dehydrogenase activity, zinc-dependent	AT1G22440|AT1G77120	0.00998199639927986	0.0812423595830278
GO:0051903	MF	S-(hydroxymethyl)glutathione dehydrogenase activity	AT1G22440|AT1G77120	0.00998199639927986	0.0812423595830278
GO:0042393	MF	histone binding	AT1G57820|AT1G66040|AT1G66050	0.00806579588848874	0.0812423595830278
GO:0016844	MF	strictosidine synthase activity	AT1G74000|AT1G74010	0.00998199639927986	0.0812423595830278
GO:0004351	MF	glutamate decarboxylase activity	AT2G02010|AT5G17330	0.00998199639927986	0.0812423595830278
GO:0090353	MF	polygalacturonase inhibitor activity	AT5G06860|AT5G06870	0.00998199639927986	0.0812423595830278
GO:0008422	MF	beta-glucosidase activity	AT2G44450|AT3G60120|AT3G60140|AT5G20950|AT5G24090	0.0103765115007351	0.0821707532355507
GO:0008270	MF	zinc ion binding	AT1G22440|AT1G66620|AT1G72680|AT1G77120|AT2G28210|AT2G28510|AT3G25900|AT4G37990|AT5G07440|AT5G08565|ATMG00070	0.0113330923509938	0.0851434886882357
GO:0043295	MF	glutathione binding	AT1G17170|AT1G75270|AT1G78380|AT2G29450	0.0110895393225943	0.0851434886882357
