GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0003674	MF	molecular_function	AT1G01130|AT1G07120|AT1G13470|AT1G17620|AT1G19960|AT1G21950|AT1G22030|AT1G22690|AT1G31580|AT1G45010|AT1G52270|AT1G56660|AT1G61260|AT1G61795|AT1G62981|AT1G65486|AT1G70830|AT1G70850|AT1G70880|AT1G72600|AT1G74450|AT1G76620|AT1G77700|AT1G77855|AT1G79130|AT1G79420|AT2G05632|AT2G12400|AT2G15042|AT2G17710|AT2G17840|AT2G22000|AT2G23360|AT2G25625|AT2G26020|AT2G28410|AT2G31930|AT2G32487|AT2G35290|AT2G41610|AT3G01860|AT3G06070|AT3G06145|AT3G12955|AT3G14760|AT3G22415|AT3G22540|AT3G26960|AT3G45160|AT3G46890|AT3G47980|AT3G54040|AT3G62630|AT3G62730|AT4G00880|AT4G09890|AT4G14380|AT4G21970|AT4G23496|AT4G24700|AT4G26490|AT4G27435|AT4G27654|AT4G28556|AT4G29110|AT4G29780|AT4G30830|AT4G35320|AT5G02090|AT5G02440|AT5G13250|AT5G14090|AT5G19190|AT5G19250|AT5G22870|AT5G24655|AT5G24920|AT5G28630|AT5G35480|AT5G40630|AT5G42235|AT5G44060|AT5G44568|AT5G45095|AT5G47635|AT5G52310|AT5G54240|AT5G54585|AT5G55010|AT5G59050|AT5G59305|AT5G61340|AT5G62960|AT5G64850	9.53412566158394e-09	2.51700917465816e-06
GO:0102336	MF	3-oxo-arachidoyl-CoA synthase activity	AT1G01120|AT1G07720|AT1G68530|AT2G26250	0.00252992170633676	0.0507333366165772
GO:0102337	MF	3-oxo-cerotoyl-CoA synthase activity	AT1G01120|AT1G07720|AT1G68530|AT2G26250	0.00252992170633676	0.0507333366165772
GO:0102338	MF	3-oxo-lignoceronyl-CoA synthase activity	AT1G01120|AT1G07720|AT1G68530|AT2G26250	0.00252992170633676	0.0507333366165772
GO:0102756	MF	very-long-chain 3-ketoacyl-CoA synthase activity	AT1G01120|AT1G07720|AT1G68530|AT2G26250	0.00252992170633676	0.0507333366165772
GO:0016757	MF	glycosyltransferase activity	AT1G01390|AT1G01420|AT1G19300|AT1G30530|AT1G32900|AT1G38065|AT1G38131|AT1G78580|AT2G31790|AT2G37090|AT2G37580|AT3G03650|AT3G21190|AT3G50740|AT4G18780|AT4G24010|AT5G03760|AT5G44030|AT5G54690	0.00137816796739022	0.0507333366165772
GO:0003700	MF	DNA-binding transcription factor activity	AT1G08810|AT1G12610|AT1G14580|AT1G14920|AT1G16060|AT1G17950|AT1G27660|AT1G28470|AT1G31050|AT1G32770|AT1G54160|AT1G62990|AT1G63910|AT1G67030|AT1G68200|AT1G68810|AT1G74650|AT2G03710|AT2G04038|AT2G18380|AT2G23760|AT2G26580|AT2G34010|AT2G35700|AT2G36450|AT2G38090|AT2G42200|AT2G44745|AT2G44940|AT2G45120|AT2G46770|AT3G15210|AT3G24520|AT3G26790|AT3G28917|AT3G49930|AT3G50750|AT3G61830|AT3G61910|AT4G01640|AT4G16750|AT4G17880|AT4G18770|AT4G22680|AT4G25470|AT4G25480|AT4G28500|AT4G29080|AT4G34610|AT4G36570|AT5G07580|AT5G15150|AT5G16600|AT5G25830|AT5G39690|AT5G47640|AT5G52020|AT5G56840|AT5G58900|AT5G62380	0.000951589852774771	0.0507333366165772
GO:0000976	MF	transcription cis-regulatory region binding	AT1G12610|AT1G14580|AT1G17950|AT1G28470|AT1G62990|AT1G67030|AT2G26580|AT2G36400|AT2G44940|AT3G15210|AT3G28917|AT3G49930|AT3G61830|AT4G16750|AT4G17880|AT4G18770|AT4G22680|AT4G28500|AT4G34610|AT5G16600|AT5G47640|AT5G52020|AT5G58900	0.00258483069738151	0.0507333366165772
GO:0003729	MF	mRNA binding	AT1G14880|AT1G20010|AT1G75040|AT3G14310|AT3G23450|AT3G63160|AT4G26530|AT4G33010|AT5G12250|AT5G15970|AT5G23860|AT5G38420|AT5G38430	0.00165078663596312	0.0507333366165772
GO:0022857	MF	transmembrane transporter activity	AT1G70260|AT2G02020|AT2G16990|AT2G28780|AT2G34360|AT2G37460|AT3G01550|AT3G28080|AT3G30340|AT3G45870|AT3G56620|AT4G08300|AT5G13400|AT5G42210	0.00269040421451546	0.0507333366165772
GO:0005524	MF	ATP binding	AT1G67510|AT1G79620|AT2G36400|AT2G40120|AT2G43930|AT3G03770|AT3G52910|AT4G24150|AT4G30250|AT5G03640|AT5G52882	0.00189733899100736	0.0507333366165772
GO:0016413	MF	O-acetyltransferase activity	AT1G73140|AT2G30010|AT2G40320|AT3G55990|AT5G01360	0.002425031124011	0.0507333366165772
GO:1990538	MF	xylan O-acetyltransferase activity	AT1G73140|AT2G40320|AT3G55990|AT5G01360	0.000445510175214371	0.0507333366165772
GO:0016760	MF	cellulose synthase (UDP-forming) activity	AT4G18780|AT4G24010|AT5G17420|AT5G44030	0.00252992170633676	0.0507333366165772
GO:0005200	MF	structural constituent of cytoskeleton	AT1G20010|AT5G12250|AT5G23860	0.003582726495567	0.0630559863219791
