GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0008152	BP	metabolic process	Pjv1_00001594|Pjv1_00001974|Pjv1_00002223|Pjv1_00003654|Pjv1_00003690|Pjv1_00004699|Pjv1_00004700|Pjv1_00005010|Pjv1_00005838|Pjv1_00006662|Pjv1_00006689|Pjv1_00007326|Pjv1_00007461|Pjv1_00007463|Pjv1_00008538|Pjv1_00009100|Pjv1_00009153|Pjv1_00010517|Pjv1_00011016|Pjv1_00011043|Pjv1_00011045|Pjv1_00011863|Pjv1_00013681|Pjv1_00013870|Pjv1_00013872|Pjv1_00013873|Pjv1_00015917|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684|Pjv1_00019020|Pjv1_00019786|Pjv1_00019792|Pjv1_00020271|Pjv1_00020492|Pjv1_00020515|Pjv1_00020918|Pjv1_00022280|Pjv1_00022658|Pjv1_00023589|Pjv1_00027158|Pjv1_00027323|Pjv1_00027540|Pjv1_00027541|Pjv1_00029093	4.73446557456209e-10	1.42980860351775e-07
GO:0009607	BP	response to biotic stimulus	Pjv1_00004905|Pjv1_00004906|Pjv1_00004907|Pjv1_00004908|Pjv1_00004909|Pjv1_00004910|Pjv1_00005032|Pjv1_00005042|Pjv1_00007394|Pjv1_00008574|Pjv1_00010787|Pjv1_00010788|Pjv1_00011779|Pjv1_00020084|Pjv1_00026917|Pjv1_00028250|Pjv1_00028251|Pjv1_00028252|Pjv1_00029714	1.94480503989049e-08	2.93665561023464e-06
GO:0006468	BP	protein phosphorylation	Pjv1_00000886|Pjv1_00002481|Pjv1_00003866|Pjv1_00004129|Pjv1_00005229|Pjv1_00006002|Pjv1_00006639|Pjv1_00007387|Pjv1_00009189|Pjv1_00010527|Pjv1_00011640|Pjv1_00011874|Pjv1_00012845|Pjv1_00016898|Pjv1_00016993|Pjv1_00017021|Pjv1_00018620|Pjv1_00019422|Pjv1_00019530|Pjv1_00019566|Pjv1_00019757|Pjv1_00022177|Pjv1_00026194|Pjv1_00027100|Pjv1_00028015|Pjv1_00028131|Pjv1_00028578|Pjv1_00028915|Pjv1_00029728	4.31770835583895e-07	4.34649307821121e-05
GO:0006952	BP	defense response	Pjv1_00001970|Pjv1_00003346|Pjv1_00004905|Pjv1_00004906|Pjv1_00004907|Pjv1_00004908|Pjv1_00004909|Pjv1_00004910|Pjv1_00005032|Pjv1_00005042|Pjv1_00007394|Pjv1_00008574|Pjv1_00010787|Pjv1_00010788|Pjv1_00011779|Pjv1_00012455|Pjv1_00013870|Pjv1_00013872|Pjv1_00013873|Pjv1_00017641|Pjv1_00019117|Pjv1_00019273|Pjv1_00019767|Pjv1_00020084|Pjv1_00022073|Pjv1_00026917|Pjv1_00027322|Pjv1_00028250|Pjv1_00028251|Pjv1_00028252|Pjv1_00029714	4.00616813707297e-06	0.000302465694349009
GO:0010231	BP	maintenance of seed dormancy	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00021194|Pjv1_00024448|Pjv1_00030116	9.94029262246147e-06	0.000600393674396673
GO:0006412	BP	translation	Pjv1_00028362	1.38493497949595e-05	0.000697083939679626
GO:0010023	BP	proanthocyanidin biosynthetic process	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00021194|Pjv1_00024448|Pjv1_00030116	1.79216513987948e-05	0.000742450253759722
GO:0085030	BP	symbiotic process benefiting host	Pjv1_00004425|Pjv1_00004534|Pjv1_00005939|Pjv1_00010978|Pjv1_00028763|Pjv1_00029434	2.21260009398593e-05	0.000742450253759722
GO:2000899	BP	xyloglucan catabolic process	Pjv1_00004425|Pjv1_00004534|Pjv1_00005939|Pjv1_00010978|Pjv1_00028763|Pjv1_00029434	2.21260009398593e-05	0.000742450253759722
GO:0006355	BP	regulation of DNA-templated transcription	Pjv1_00001227|Pjv1_00001918|Pjv1_00002298|Pjv1_00002413|Pjv1_00003270|Pjv1_00003346|Pjv1_00004974|Pjv1_00005174|Pjv1_00006204|Pjv1_00007525|Pjv1_00007665|Pjv1_00008581|Pjv1_00008940|Pjv1_00009647|Pjv1_00009822|Pjv1_00010320|Pjv1_00011061|Pjv1_00011986|Pjv1_00012388|Pjv1_00012415|Pjv1_00012650|Pjv1_00014337|Pjv1_00014389|Pjv1_00014503|Pjv1_00014654|Pjv1_00015032|Pjv1_00015043|Pjv1_00015879|Pjv1_00016358|Pjv1_00016360|Pjv1_00017051|Pjv1_00017673|Pjv1_00018368|Pjv1_00018495|Pjv1_00018785|Pjv1_00018875|Pjv1_00019273|Pjv1_00019631|Pjv1_00021656|Pjv1_00022428|Pjv1_00022725|Pjv1_00023136|Pjv1_00023337|Pjv1_00023434|Pjv1_00023776|Pjv1_00024126|Pjv1_00024190|Pjv1_00025469|Pjv1_00025854|Pjv1_00026666|Pjv1_00027632|Pjv1_00028474|Pjv1_00028839|Pjv1_00029685|Pjv1_00029825	3.12117799983632e-05	0.00094259575595057
GO:1902600	BP	proton transmembrane transport	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00021194|Pjv1_00024448|Pjv1_00030116	5.0308117666686e-05	0.00138118650321265
GO:0006855	BP	xenobiotic transmembrane transport	Pjv1_00004437|Pjv1_00004439|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00018607|Pjv1_00021194|Pjv1_00024448|Pjv1_00030116	6.37734846165656e-05	0.0016049660295169
GO:0045339	BP	farnesyl diphosphate catabolic process	Pjv1_00004699|Pjv1_00018680|Pjv1_00018683|Pjv1_00018684	9.89230593498221e-05	0.00213391170883188
GO:1901940	BP	(-)-exo-alpha-bergamotene biosynthetic process	Pjv1_00004699|Pjv1_00018680|Pjv1_00018683|Pjv1_00018684	9.89230593498221e-05	0.00213391170883188
GO:0009813	BP	flavonoid biosynthetic process	Pjv1_00004437|Pjv1_00004439|Pjv1_00005838|Pjv1_00006609|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00017641|Pjv1_00021194|Pjv1_00024448|Pjv1_00030116	0.000124459807412764	0.00250579078924364
GO:0009410	BP	response to xenobiotic stimulus	Pjv1_00007525|Pjv1_00016358|Pjv1_00016360|Pjv1_00028839|Pjv1_00029825	0.00016738654953442	0.00315942112246218
GO:0042742	BP	defense response to bacterium	Pjv1_00002298|Pjv1_00002952|Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608|Pjv1_00005002|Pjv1_00006889|Pjv1_00009973|Pjv1_00011110|Pjv1_00018495|Pjv1_00018785|Pjv1_00021656	0.000453189522301983	0.00805077857265876
GO:0055085	BP	transmembrane transport	Pjv1_00001060|Pjv1_00002589|Pjv1_00004437|Pjv1_00004439|Pjv1_00004530|Pjv1_00004970|Pjv1_00009186|Pjv1_00011009|Pjv1_00012533|Pjv1_00012534|Pjv1_00013025|Pjv1_00014382|Pjv1_00015975|Pjv1_00018607|Pjv1_00021194|Pjv1_00023305|Pjv1_00024448|Pjv1_00027853|Pjv1_00030116	0.000643661724549864	0.0107992133785588
GO:0016114	BP	terpenoid biosynthetic process	Pjv1_00004699|Pjv1_00004700|Pjv1_00018680|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684	0.000805176225843845	0.0117210266004513
GO:0000162	BP	tryptophan biosynthetic process	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608|Pjv1_00012455	0.000815038273541317	0.0117210266004513
GO:0006325	BP	chromatin organization	Pjv1_00006151|Pjv1_00015154|Pjv1_00015301|Pjv1_00015305|Pjv1_00017840|Pjv1_00029357	0.000805176225843845	0.0117210266004513
GO:0010120	BP	camalexin biosynthetic process	Pjv1_00002298|Pjv1_00017673|Pjv1_00018495|Pjv1_00025469	0.00120381398095463	0.0134648823054925
GO:0009641	BP	shade avoidance	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608	0.00120381398095463	0.0134648823054925
GO:0009682	BP	induced systemic resistance	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608	0.00120381398095463	0.0134648823054925
GO:0009684	BP	indoleacetic acid biosynthetic process	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608	0.00120381398095463	0.0134648823054925
GO:0009759	BP	indole glucosinolate biosynthetic process	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608	0.00120381398095463	0.0134648823054925
GO:0048830	BP	adventitious root development	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608	0.00120381398095463	0.0134648823054925
GO:0010150	BP	leaf senescence	Pjv1_00006151|Pjv1_00015154|Pjv1_00015301|Pjv1_00015305|Pjv1_00017673|Pjv1_00021426|Pjv1_00025469|Pjv1_00027600|Pjv1_00029357	0.00151620576329116	0.0163533621612118
GO:0006950	BP	response to stress	Pjv1_00002380|Pjv1_00002402|Pjv1_00006424|Pjv1_00008949|Pjv1_00009656|Pjv1_00030335	0.00190617278737618	0.0198504890271589
GO:0034605	BP	cellular response to heat	Pjv1_00002298|Pjv1_00009647|Pjv1_00018495	0.003582726495567	0.0360661133887078
GO:0052544	BP	defense response by callose deposition in cell wall	Pjv1_00003602|Pjv1_00003606|Pjv1_00003607|Pjv1_00003608	0.00455720324990844	0.0443959800474951
GO:0009414	BP	response to water deprivation	Pjv1_00001970|Pjv1_00002298|Pjv1_00002952|Pjv1_00005174|Pjv1_00005906|Pjv1_00009973|Pjv1_00018495|Pjv1_00019117|Pjv1_00027322|Pjv1_00029061	0.00491110934463974	0.0463485944400376
GO:0045893	BP	positive regulation of DNA-templated transcription	Pjv1_00005174|Pjv1_00007525|Pjv1_00009647|Pjv1_00016358|Pjv1_00016360|Pjv1_00018785|Pjv1_00021656|Pjv1_00024190|Pjv1_00025854|Pjv1_00028839|Pjv1_00029825	0.00515200097154077	0.0471486149516761
GO:0009851	BP	auxin biosynthetic process	Pjv1_00008294|Pjv1_00012455|Pjv1_00013816|Pjv1_00020660|Pjv1_00024247	0.00548129815563091	0.0486868247941333
GO:0009408	BP	response to heat	Pjv1_00002036|Pjv1_00002298|Pjv1_00007665|Pjv1_00012415|Pjv1_00018495|Pjv1_00018875|Pjv1_00023776|Pjv1_00029685	0.00564668981190229	0.0487228663769855
GO:0042538	BP	hyperosmotic salinity response	Pjv1_00005906|Pjv1_00011110|Pjv1_00017673|Pjv1_00025469	0.00738792757629387	0.0619765035566875
GO:0006351	BP	DNA-templated transcription	Pjv1_00000429|Pjv1_00001227|Pjv1_00001918|Pjv1_00002036|Pjv1_00002298|Pjv1_00002413|Pjv1_00002952|Pjv1_00003270|Pjv1_00003346|Pjv1_00004529|Pjv1_00004974|Pjv1_00005174|Pjv1_00005737|Pjv1_00006204|Pjv1_00007525|Pjv1_00007665|Pjv1_00008581|Pjv1_00008940|Pjv1_00009647|Pjv1_00009822|Pjv1_00011986|Pjv1_00012388|Pjv1_00012415|Pjv1_00012537|Pjv1_00014337|Pjv1_00014389|Pjv1_00014503|Pjv1_00014654|Pjv1_00015032|Pjv1_00015043|Pjv1_00015879|Pjv1_00016358|Pjv1_00016360|Pjv1_00017051|Pjv1_00017673|Pjv1_00018368|Pjv1_00018495|Pjv1_00018785|Pjv1_00018875|Pjv1_00019273|Pjv1_00019631|Pjv1_00021656|Pjv1_00022428|Pjv1_00023136|Pjv1_00023337|Pjv1_00023776|Pjv1_00024126|Pjv1_00024190|Pjv1_00025469|Pjv1_00025854|Pjv1_00026666|Pjv1_00027632|Pjv1_00028474|Pjv1_00028839|Pjv1_00029685|Pjv1_00029825	0.00759399453503664	0.0619834148535423
GO:0002679	BP	respiratory burst involved in defense response	Pjv1_00001970|Pjv1_00019117|Pjv1_00027322	0.00806579588848874	0.0641018515348316
GO:0010508	BP	positive regulation of autophagy	Pjv1_00002298|Pjv1_00018495	0.00998199639927986	0.0735259246971346
GO:0070370	BP	cellular heat acclimation	Pjv1_00002298|Pjv1_00018495	0.00998199639927986	0.0735259246971346
GO:0071497	BP	cellular response to freezing	Pjv1_00005174|Pjv1_00009647	0.00998199639927986	0.0735259246971346
GO:0009734	BP	auxin-activated signaling pathway	Pjv1_00000145|Pjv1_00000149|Pjv1_00001060|Pjv1_00006719|Pjv1_00008294|Pjv1_00011863|Pjv1_00012455|Pjv1_00013816|Pjv1_00020660|Pjv1_00024247|Pjv1_00027136|Pjv1_00029470	0.0133863136285641	0.0962539694244372
