GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009765	BP	photosynthesis, light harvesting	Pjv1_00000006|Pjv1_00004538|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00030182	1.23365163057371e-15	4.60152058203994e-13
GO:0009834	BP	plant-type secondary cell wall biogenesis	Pjv1_00000523|Pjv1_00001798|Pjv1_00002750|Pjv1_00003638|Pjv1_00003810|Pjv1_00004952|Pjv1_00006828|Pjv1_00006829|Pjv1_00008399|Pjv1_00010439|Pjv1_00011898|Pjv1_00013166|Pjv1_00014540|Pjv1_00017458|Pjv1_00021052|Pjv1_00022227|Pjv1_00024030|Pjv1_00029021|Pjv1_00029771	1.30685712094293e-12	2.43728853055857e-10
GO:0010417	BP	glucuronoxylan biosynthetic process	Pjv1_00000521|Pjv1_00001798|Pjv1_00004952|Pjv1_00007548|Pjv1_00010170|Pjv1_00011898|Pjv1_00017458|Pjv1_00029021	7.71206538470584e-08	9.58866796165093e-06
GO:0046274	BP	lignin catabolic process	Pjv1_00006828|Pjv1_00006829|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011588|Pjv1_00014482|Pjv1_00014540|Pjv1_00022395|Pjv1_00022397	8.69028921011101e-07	8.10369468842852e-05
GO:0009809	BP	lignin biosynthetic process	Pjv1_00006828|Pjv1_00006829|Pjv1_00014132|Pjv1_00014482|Pjv1_00014540|Pjv1_00022227|Pjv1_00022395|Pjv1_00022397|Pjv1_00024777|Pjv1_00027147|Pjv1_00028898	1.13673504985638e-06	8.4800434719286e-05
GO:0045492	BP	xylan biosynthetic process	Pjv1_00000523|Pjv1_00007548|Pjv1_00010170|Pjv1_00011898|Pjv1_00017458	0.00016738654953442	0.0056759257251217
GO:0008272	BP	sulfate transport	Pjv1_00000951|Pjv1_00002037|Pjv1_00006207|Pjv1_00006508|Pjv1_00018071|Pjv1_00018290	0.000134723818006729	0.0056759257251217
GO:0010025	BP	wax biosynthetic process	Pjv1_00001667|Pjv1_00001671|Pjv1_00006408|Pjv1_00010755|Pjv1_00010756|Pjv1_00011059|Pjv1_00027161	0.000159517567903292	0.0056759257251217
GO:0030244	BP	cellulose biosynthetic process	Pjv1_00003810|Pjv1_00003811|Pjv1_00010439|Pjv1_00014510|Pjv1_00016984|Pjv1_00021052|Pjv1_00027147	0.000159517567903292	0.0056759257251217
GO:0006694	BP	steroid biosynthetic process	Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00007395|Pjv1_00024777|Pjv1_00025578|Pjv1_00026862|Pjv1_00028898	0.000147230737375586	0.0056759257251217
GO:0030833	BP	regulation of actin filament polymerization	Pjv1_00020790|Pjv1_00028560|Pjv1_00028561|Pjv1_00028562	9.89230593498221e-05	0.0056759257251217
GO:0006857	BP	oligopeptide transport	Pjv1_00004261|Pjv1_00011669|Pjv1_00023359|Pjv1_00026826|Pjv1_00026827|Pjv1_00027805|Pjv1_00030282	0.000269521823326374	0.00837763667506145
GO:0071555	BP	cell wall organization	Pjv1_00000442|Pjv1_00000443|Pjv1_00000521|Pjv1_00001798|Pjv1_00003810|Pjv1_00003811|Pjv1_00004952|Pjv1_00007395|Pjv1_00007548|Pjv1_00010170|Pjv1_00010439|Pjv1_00011898|Pjv1_00016984|Pjv1_00017458|Pjv1_00019889|Pjv1_00021661|Pjv1_00022809|Pjv1_00025712|Pjv1_00029021	0.000314130628065424	0.00901313263603101
GO:0006096	BP	glycolytic process	Pjv1_00005482|Pjv1_00008316|Pjv1_00009331|Pjv1_00009333|Pjv1_00028380	0.000815038273541317	0.0217149482879222
GO:0006508	BP	proteolysis	Pjv1_00001194|Pjv1_00003913|Pjv1_00005330|Pjv1_00007746|Pjv1_00007749|Pjv1_00014818|Pjv1_00014819|Pjv1_00014821|Pjv1_00015289|Pjv1_00015857|Pjv1_00018844|Pjv1_00019017|Pjv1_00026484	0.00226344859227588	0.0562844216612603
GO:0010214	BP	seed coat development	Pjv1_00002356|Pjv1_00007746|Pjv1_00007749|Pjv1_00026484	0.00252992170633676	0.0589787997789758
GO:0010413	BP	glucuronoxylan metabolic process	Pjv1_00004952|Pjv1_00007548|Pjv1_00010170	0.003582726495567	0.0742420546025827
GO:0006636	BP	unsaturated fatty acid biosynthetic process	Pjv1_00006163|Pjv1_00021236|Pjv1_00029982	0.003582726495567	0.0742420546025827
GO:0016068	BP	type I hypersensitivity	Pjv1_00006214|Pjv1_00013062|Pjv1_00015625|Pjv1_00029904	0.00455720324990844	0.0809446101055166
GO:0006006	BP	glucose metabolic process	Pjv1_00010391|Pjv1_00010392|Pjv1_00021832|Pjv1_00029992	0.00455720324990844	0.0809446101055166
GO:0042742	BP	defense response to bacterium	Pjv1_00001761|Pjv1_00001859|Pjv1_00003810|Pjv1_00005007|Pjv1_00005277|Pjv1_00006163|Pjv1_00010439|Pjv1_00011300|Pjv1_00015588|Pjv1_00020613|Pjv1_00024201	0.00443319874899128	0.0809446101055166
GO:0008610	BP	lipid biosynthetic process	Pjv1_00004354|Pjv1_00006408|Pjv1_00011059|Pjv1_00022927|Pjv1_00026045	0.00548129815563091	0.0929329187295604
