GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0045261	CC	proton-transporting ATP synthase complex, catalytic core F(1)	Pjv1_00002668|Pjv1_00002994|Pjv1_00003072|Pjv1_00004528|Pjv1_00006006|Pjv1_00006326|Pjv1_00008389|Pjv1_00014802|Pjv1_00014803|Pjv1_00019096|Pjv1_00020007|Pjv1_00021701|Pjv1_00022350|Pjv1_00022634|Pjv1_00023040|Pjv1_00023314|Pjv1_00024172|Pjv1_00026078|Pjv1_00029663|Pjv1_00029664|Pjv1_00029818	1.69451876954622e-13	1.33866982794151e-11
GO:0009535	CC	chloroplast thylakoid membrane	Pjv1_00000670|Pjv1_00001866|Pjv1_00002668|Pjv1_00002685|Pjv1_00002994|Pjv1_00003072|Pjv1_00004528|Pjv1_00004792|Pjv1_00006006|Pjv1_00006326|Pjv1_00006777|Pjv1_00007552|Pjv1_00008389|Pjv1_00009776|Pjv1_00011627|Pjv1_00011851|Pjv1_00012308|Pjv1_00012475|Pjv1_00013051|Pjv1_00014240|Pjv1_00014465|Pjv1_00014500|Pjv1_00014802|Pjv1_00014803|Pjv1_00014910|Pjv1_00018223|Pjv1_00018781|Pjv1_00018782|Pjv1_00018861|Pjv1_00018863|Pjv1_00018864|Pjv1_00019096|Pjv1_00020007|Pjv1_00022350|Pjv1_00022351|Pjv1_00022634|Pjv1_00023040|Pjv1_00023312|Pjv1_00023314|Pjv1_00024160|Pjv1_00024172|Pjv1_00026078|Pjv1_00028069|Pjv1_00029660|Pjv1_00029663|Pjv1_00029664|Pjv1_00029665|Pjv1_00029666|Pjv1_00029777|Pjv1_00029818|Pjv1_00029826|Pjv1_00030115|Pjv1_00030273	2.83547612730086e-09	1.12001307028384e-07
GO:0045263	CC	proton-transporting ATP synthase complex, coupling factor F(o)	Pjv1_00012475|Pjv1_00014240|Pjv1_00014498|Pjv1_00022351|Pjv1_00023312|Pjv1_00028528|Pjv1_00029660|Pjv1_00029665|Pjv1_00029666	5.0308117666686e-05	0.0013247804318894
GO:0005622	CC	intracellular anatomical structure	Pjv1_00003508|Pjv1_00006538|Pjv1_00007590|Pjv1_00007593|Pjv1_00011282|Pjv1_00012222|Pjv1_00014910|Pjv1_00025364|Pjv1_00028017|Pjv1_00029668|Pjv1_00029778|Pjv1_00029779	0.000442694785042269	0.00874322200458482
GO:0009570	CC	chloroplast stroma	Pjv1_00001658|Pjv1_00003105|Pjv1_00004402|Pjv1_00006746|Pjv1_00006782|Pjv1_00009148|Pjv1_00009777|Pjv1_00012298|Pjv1_00012301|Pjv1_00012529|Pjv1_00013429|Pjv1_00015085|Pjv1_00019099|Pjv1_00019347|Pjv1_00021232|Pjv1_00021436|Pjv1_00021779|Pjv1_00023035|Pjv1_00023043|Pjv1_00023758|Pjv1_00025453|Pjv1_00030208	0.00154288618039128	0.0203146680418185
GO:0015935	CC	small ribosomal subunit	Pjv1_00011282|Pjv1_00014218|Pjv1_00017497|Pjv1_00025364|Pjv1_00029668|Pjv1_00029778|Pjv1_00029779|Pjv1_00029939	0.00132561951838181	0.0203146680418185
GO:0009522	CC	photosystem I	Pjv1_00001866|Pjv1_00004792|Pjv1_00012308|Pjv1_00013051|Pjv1_00014465|Pjv1_00014500|Pjv1_00014910|Pjv1_00018223|Pjv1_00028069|Pjv1_00029826|Pjv1_00030273	0.00889050508440993	0.0943485729620377
GO:0009507	CC	chloroplast	Pjv1_00000593|Pjv1_00001229|Pjv1_00003508|Pjv1_00004679|Pjv1_00007590|Pjv1_00007593|Pjv1_00009108|Pjv1_00009735|Pjv1_00009905|Pjv1_00010160|Pjv1_00010301|Pjv1_00011282|Pjv1_00011462|Pjv1_00012301|Pjv1_00012304|Pjv1_00013404|Pjv1_00013429|Pjv1_00014218|Pjv1_00015330|Pjv1_00015750|Pjv1_00017436|Pjv1_00017497|Pjv1_00017577|Pjv1_00017642|Pjv1_00018021|Pjv1_00021009|Pjv1_00021232|Pjv1_00021775|Pjv1_00023035|Pjv1_00025364|Pjv1_00025453|Pjv1_00025457|Pjv1_00026402|Pjv1_00027229|Pjv1_00028659|Pjv1_00029668|Pjv1_00029778|Pjv1_00029779|Pjv1_00029939|Pjv1_00030102	0.0119428573369668	0.0943485729620377
GO:0009579	CC	thylakoid	Pjv1_00001866|Pjv1_00012308|Pjv1_00014465|Pjv1_00014500|Pjv1_00014910|Pjv1_00018223|Pjv1_00028069|Pjv1_00030273	0.0115424816981806	0.0943485729620377
GO:0009521	CC	photosystem	Pjv1_00009776|Pjv1_00018781|Pjv1_00018782|Pjv1_00018861	0.0110895393225943	0.0943485729620377
GO:0005840	CC	ribosome	Pjv1_00003508|Pjv1_00004209|Pjv1_00004365|Pjv1_00005248|Pjv1_00007590|Pjv1_00007593|Pjv1_00010160|Pjv1_00010301|Pjv1_00012304|Pjv1_00014910|Pjv1_00015750|Pjv1_00021009|Pjv1_00022449|Pjv1_00026402|Pjv1_00028659|Pjv1_00028854|Pjv1_00029668	0.013887886675087	0.0997402770301704
