GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009523	CC	photosystem II	Pjv1_00000006|Pjv1_00004538|Pjv1_00005739|Pjv1_00007546|Pjv1_00007965|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00010885|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00017687|Pjv1_00021717|Pjv1_00030182	3.89969404703456e-08	1.7158653806952e-06
GO:0000139	CC	Golgi membrane	Pjv1_00000389|Pjv1_00000521|Pjv1_00000523|Pjv1_00000690|Pjv1_00001798|Pjv1_00004952|Pjv1_00006791|Pjv1_00007548|Pjv1_00008975|Pjv1_00010170|Pjv1_00010435|Pjv1_00011898|Pjv1_00013362|Pjv1_00014510|Pjv1_00016984|Pjv1_00017394|Pjv1_00017458|Pjv1_00018339|Pjv1_00018560|Pjv1_00022405|Pjv1_00025712|Pjv1_00029021	2.78551589015972e-08	1.7158653806952e-06
GO:0048046	CC	apoplast	Pjv1_00000442|Pjv1_00000443|Pjv1_00002356|Pjv1_00005277|Pjv1_00005482|Pjv1_00006163|Pjv1_00006828|Pjv1_00006829|Pjv1_00006906|Pjv1_00007746|Pjv1_00007749|Pjv1_00008316|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011279|Pjv1_00011588|Pjv1_00012966|Pjv1_00014482|Pjv1_00014540|Pjv1_00015588|Pjv1_00016468|Pjv1_00019889|Pjv1_00022395|Pjv1_00022397|Pjv1_00022809|Pjv1_00023917|Pjv1_00024607|Pjv1_00024608|Pjv1_00024609|Pjv1_00026484|Pjv1_00027147|Pjv1_00029992	1.02304296928287e-07	3.00092604322975e-06
GO:0009534	CC	chloroplast thylakoid	Pjv1_00007546|Pjv1_00007965|Pjv1_00009827|Pjv1_00009830|Pjv1_00014328|Pjv1_00015357|Pjv1_00016099|Pjv1_00017363|Pjv1_00024607|Pjv1_00024609|Pjv1_00026355	1.13673504985638e-06	2.50081710968404e-05
GO:0009522	CC	photosystem I	Pjv1_00000006|Pjv1_00004538|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00017363|Pjv1_00030182	6.33508611139474e-06	0.000111497515560547
GO:0016020	CC	membrane	Pjv1_00000389|Pjv1_00000521|Pjv1_00000690|Pjv1_00001637|Pjv1_00003264|Pjv1_00003785|Pjv1_00003810|Pjv1_00003959|Pjv1_00004261|Pjv1_00004354|Pjv1_00004952|Pjv1_00005007|Pjv1_00005197|Pjv1_00005277|Pjv1_00005482|Pjv1_00006260|Pjv1_00006408|Pjv1_00006791|Pjv1_00007887|Pjv1_00008316|Pjv1_00008437|Pjv1_00008604|Pjv1_00008975|Pjv1_00009827|Pjv1_00009830|Pjv1_00010412|Pjv1_00010439|Pjv1_00010794|Pjv1_00011059|Pjv1_00011140|Pjv1_00011300|Pjv1_00011669|Pjv1_00012934|Pjv1_00013712|Pjv1_00013713|Pjv1_00015588|Pjv1_00016591|Pjv1_00016984|Pjv1_00017363|Pjv1_00019579|Pjv1_00020066|Pjv1_00020988|Pjv1_00021052|Pjv1_00021594|Pjv1_00023181|Pjv1_00023359|Pjv1_00023405|Pjv1_00024988|Pjv1_00025710|Pjv1_00026045|Pjv1_00026826|Pjv1_00027805|Pjv1_00028331|Pjv1_00029992|Pjv1_00030282	8.41232976980973e-06	0.000123380836623876
GO:0009941	CC	chloroplast envelope	Pjv1_00005277|Pjv1_00005482|Pjv1_00006163|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00014328|Pjv1_00015357|Pjv1_00015588|Pjv1_00016099|Pjv1_00017363|Pjv1_00029992	3.6056974484514e-05	0.000453287679233891
GO:0005840	CC	ribosome	Pjv1_00005277	0.000182646617474308	0.00200911279221739
GO:0010287	CC	plastoglobule	Pjv1_00004048|Pjv1_00005277|Pjv1_00005482|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00015357|Pjv1_00026648	0.000344257835679503	0.00336607661553292
GO:0042995	CC	cell projection	Pjv1_00028560|Pjv1_00028561|Pjv1_00028562	0.000994604683241571	0.00875252121252582
GO:0009505	CC	plant-type cell wall	Pjv1_00002356|Pjv1_00002357|Pjv1_00003913|Pjv1_00006906|Pjv1_00007746|Pjv1_00007749|Pjv1_00008604|Pjv1_00021661|Pjv1_00026484|Pjv1_00029815	0.0015832440228235	0.012665952182588
GO:0005794	CC	Golgi apparatus	Pjv1_00000521|Pjv1_00000523|Pjv1_00001462|Pjv1_00001798|Pjv1_00004680|Pjv1_00004952|Pjv1_00006791|Pjv1_00007548|Pjv1_00010170|Pjv1_00010435|Pjv1_00011898|Pjv1_00013362|Pjv1_00014510|Pjv1_00017458|Pjv1_00018339|Pjv1_00023917|Pjv1_00027147|Pjv1_00029021	0.00280551537262091	0.02057377939922
GO:0009579	CC	thylakoid	Pjv1_00005482|Pjv1_00006163|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00015357|Pjv1_00015588|Pjv1_00017363|Pjv1_00026355	0.00366608133788022	0.0210400793504804
GO:0005856	CC	cytoskeleton	Pjv1_00002733|Pjv1_00010412|Pjv1_00011367|Pjv1_00028560|Pjv1_00028561|Pjv1_00028562	0.00382546897281461	0.0210400793504804
GO:0009654	CC	photosystem II oxygen evolving complex	Pjv1_00007546|Pjv1_00007965|Pjv1_00017687	0.003582726495567	0.0210400793504804
GO:0019898	CC	extrinsic component of membrane	Pjv1_00007546|Pjv1_00007965|Pjv1_00017687	0.003582726495567	0.0210400793504804
GO:0005886	CC	plasma membrane	Pjv1_00000569|Pjv1_00000953|Pjv1_00000983|Pjv1_00001676|Pjv1_00001761|Pjv1_00001849|Pjv1_00001859|Pjv1_00001876|Pjv1_00002101|Pjv1_00002750|Pjv1_00003227|Pjv1_00003264|Pjv1_00003638|Pjv1_00003810|Pjv1_00003811|Pjv1_00004147|Pjv1_00004680|Pjv1_00005387|Pjv1_00005916|Pjv1_00006260|Pjv1_00006693|Pjv1_00007425|Pjv1_00008437|Pjv1_00008446|Pjv1_00010439|Pjv1_00011034|Pjv1_00011086|Pjv1_00011395|Pjv1_00011606|Pjv1_00012385|Pjv1_00012669|Pjv1_00013166|Pjv1_00013712|Pjv1_00013713|Pjv1_00014510|Pjv1_00015588|Pjv1_00016591|Pjv1_00016864|Pjv1_00018071|Pjv1_00019897|Pjv1_00020462|Pjv1_00020557|Pjv1_00020790|Pjv1_00021052|Pjv1_00021661|Pjv1_00022356|Pjv1_00024030|Pjv1_00024988|Pjv1_00025710|Pjv1_00026048|Pjv1_00026862|Pjv1_00029573|Pjv1_00029771|Pjv1_00029815|Pjv1_00030203	0.00481032182747839	0.0235171289343388
GO:0010319	CC	stromule	Pjv1_00005277|Pjv1_00006163|Pjv1_00015588|Pjv1_00029992	0.00455720324990844	0.0235171289343388
GO:0005739	CC	mitochondrion	Pjv1_00005197|Pjv1_00017630|Pjv1_00021020|Pjv1_00023526|Pjv1_00025795	0.00714729283603197	0.0331032510300428
GO:0005874	CC	microtubule	Pjv1_00004824|Pjv1_00005264|Pjv1_00006260|Pjv1_00008154|Pjv1_00019200|Pjv1_00020370	0.00875861673547174	0.0385379136360757
GO:0009344	CC	nitrite reductase complex [NAD(P)H]	Pjv1_00007546|Pjv1_00007965	0.00998199639927986	0.0399279855971194
GO:0005885	CC	Arp2/3 protein complex	Pjv1_00028560|Pjv1_00028561	0.00998199639927986	0.0399279855971194
GO:0005576	CC	extracellular region	Pjv1_00001165|Pjv1_00001265|Pjv1_00002282|Pjv1_00002456|Pjv1_00003180|Pjv1_00003558|Pjv1_00003913|Pjv1_00003959|Pjv1_00004808|Pjv1_00006819|Pjv1_00007113|Pjv1_00007746|Pjv1_00007749|Pjv1_00008325|Pjv1_00008604|Pjv1_00012800|Pjv1_00013086|Pjv1_00014818|Pjv1_00014819|Pjv1_00014821|Pjv1_00015360|Pjv1_00015857|Pjv1_00018844|Pjv1_00019285|Pjv1_00019286|Pjv1_00021661|Pjv1_00023181|Pjv1_00023405|Pjv1_00024237|Pjv1_00025773|Pjv1_00026484|Pjv1_00027431	0.0127418661814595	0.0487514879986276
GO:0043231	CC	intracellular membrane-bounded organelle	Pjv1_00021020|Pjv1_00021251|Pjv1_00027239	0.014526506469038	0.0532638570531393
GO:0009507	CC	chloroplast	Pjv1_00000351|Pjv1_00001382|Pjv1_00002037|Pjv1_00004048|Pjv1_00004344|Pjv1_00005277|Pjv1_00005482|Pjv1_00007546|Pjv1_00007965|Pjv1_00008170|Pjv1_00008316|Pjv1_00009827|Pjv1_00009830|Pjv1_00009916|Pjv1_00010391|Pjv1_00010392|Pjv1_00011063|Pjv1_00011550|Pjv1_00012802|Pjv1_00014328|Pjv1_00014934|Pjv1_00015357|Pjv1_00015588|Pjv1_00016099|Pjv1_00016468|Pjv1_00017363|Pjv1_00018083|Pjv1_00018273|Pjv1_00019897|Pjv1_00021020|Pjv1_00021052|Pjv1_00021236|Pjv1_00021872|Pjv1_00024607|Pjv1_00024609|Pjv1_00026355|Pjv1_00026648|Pjv1_00029982|Pjv1_00029992	0.0167659989903801	0.059016316446138
GO:0005618	CC	cell wall	Pjv1_00000442|Pjv1_00000443|Pjv1_00003558|Pjv1_00003959|Pjv1_00007746|Pjv1_00007749|Pjv1_00008325|Pjv1_00008604|Pjv1_00010439|Pjv1_00013086|Pjv1_00013902|Pjv1_00019889|Pjv1_00022809|Pjv1_00023181|Pjv1_00023405|Pjv1_00023917|Pjv1_00024607|Pjv1_00024609|Pjv1_00026484	0.0245746860700413	0.0831758605447551
