GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0046933	MF	proton-transporting ATP synthase activity, rotational mechanism	Pjv1_00002668|Pjv1_00002994|Pjv1_00003072|Pjv1_00004528|Pjv1_00006006|Pjv1_00006326|Pjv1_00008389|Pjv1_00012475|Pjv1_00014240|Pjv1_00014802|Pjv1_00014803|Pjv1_00019096|Pjv1_00020007|Pjv1_00021701|Pjv1_00022350|Pjv1_00022351|Pjv1_00022634|Pjv1_00023040|Pjv1_00023312|Pjv1_00023314|Pjv1_00024172|Pjv1_00026078|Pjv1_00029660|Pjv1_00029663|Pjv1_00029664|Pjv1_00029665|Pjv1_00029818	1.42974046688197e-15	3.14542902714034e-13
GO:0046961	MF	proton-transporting ATPase activity, rotational mechanism	Pjv1_00002668|Pjv1_00003072|Pjv1_00004528|Pjv1_00006006|Pjv1_00008389|Pjv1_00021701|Pjv1_00022350|Pjv1_00023314|Pjv1_00024172|Pjv1_00029663|Pjv1_00029664|Pjv1_00029818	4.90068308908463e-08	5.39075139799309e-06
GO:0005524	MF	ATP binding	Pjv1_00000862|Pjv1_00001320|Pjv1_00001632|Pjv1_00001658|Pjv1_00001915|Pjv1_00002668|Pjv1_00002994|Pjv1_00003072|Pjv1_00004402|Pjv1_00004528|Pjv1_00004679|Pjv1_00006006|Pjv1_00006326|Pjv1_00006746|Pjv1_00006782|Pjv1_00008389|Pjv1_00008709|Pjv1_00009009|Pjv1_00009148|Pjv1_00009777|Pjv1_00010135|Pjv1_00011821|Pjv1_00011851|Pjv1_00012301|Pjv1_00012529|Pjv1_00013309|Pjv1_00013653|Pjv1_00014498|Pjv1_00014802|Pjv1_00014803|Pjv1_00014885|Pjv1_00015085|Pjv1_00015402|Pjv1_00016015|Pjv1_00017436|Pjv1_00017566|Pjv1_00018950|Pjv1_00019096|Pjv1_00019099|Pjv1_00019347|Pjv1_00019551|Pjv1_00020007|Pjv1_00021232|Pjv1_00021436|Pjv1_00021701|Pjv1_00021775|Pjv1_00021779|Pjv1_00022076|Pjv1_00022350|Pjv1_00022634|Pjv1_00023035|Pjv1_00023040|Pjv1_00023043|Pjv1_00023183|Pjv1_00023314|Pjv1_00023758|Pjv1_00023807|Pjv1_00024099|Pjv1_00024172|Pjv1_00024797|Pjv1_00024963|Pjv1_00025453|Pjv1_00025747|Pjv1_00025894|Pjv1_00025956|Pjv1_00026078|Pjv1_00027110|Pjv1_00027232|Pjv1_00027618|Pjv1_00028528|Pjv1_00028550|Pjv1_00029663|Pjv1_00029664|Pjv1_00029818|Pjv1_00030208|Pjv1_00030329	9.29555885095182e-08	6.81674315736467e-06
GO:0051539	MF	4 iron, 4 sulfur cluster binding	Pjv1_00001866|Pjv1_00004792|Pjv1_00011821|Pjv1_00012308|Pjv1_00013051|Pjv1_00014465|Pjv1_00014500|Pjv1_00014910|Pjv1_00018223|Pjv1_00028069|Pjv1_00029826|Pjv1_00030115|Pjv1_00030273	8.53765264387247e-05	0.00469570895412986
GO:0016168	MF	chlorophyll binding	Pjv1_00001866|Pjv1_00004792|Pjv1_00009776|Pjv1_00012308|Pjv1_00013051|Pjv1_00014465|Pjv1_00014500|Pjv1_00014910|Pjv1_00018223|Pjv1_00018781|Pjv1_00018782|Pjv1_00018861|Pjv1_00024160|Pjv1_00028069|Pjv1_00029826|Pjv1_00030273	0.000131541072065031	0.00578780717086137
GO:0005506	MF	iron ion binding	Pjv1_00000172|Pjv1_00000614|Pjv1_00000670|Pjv1_00000697|Pjv1_00002756|Pjv1_00003155|Pjv1_00003613|Pjv1_00004027|Pjv1_00004275|Pjv1_00005306|Pjv1_00007552|Pjv1_00010750|Pjv1_00011616|Pjv1_00011627|Pjv1_00016482|Pjv1_00016620|Pjv1_00016723|Pjv1_00018864|Pjv1_00019502|Pjv1_00019688|Pjv1_00019959|Pjv1_00019986|Pjv1_00024373|Pjv1_00024737|Pjv1_00025587|Pjv1_00026468|Pjv1_00030115	0.000728903425676118	0.0229083933783923
GO:0019843	MF	rRNA binding	Pjv1_00007590|Pjv1_00007593|Pjv1_00010301|Pjv1_00011282|Pjv1_00012304|Pjv1_00014218|Pjv1_00015750|Pjv1_00021009|Pjv1_00025364|Pjv1_00025457|Pjv1_00026402|Pjv1_00028659|Pjv1_00029778|Pjv1_00029779|Pjv1_00029939	0.000723554072021235	0.0229083933783923
GO:0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Pjv1_00000172|Pjv1_00000614|Pjv1_00000697|Pjv1_00002756|Pjv1_00003155|Pjv1_00003613|Pjv1_00004027|Pjv1_00005306|Pjv1_00010750|Pjv1_00011616|Pjv1_00016482|Pjv1_00016620|Pjv1_00016723|Pjv1_00019502|Pjv1_00019688|Pjv1_00019959|Pjv1_00024737|Pjv1_00025587|Pjv1_00026468	0.00108129567389682	0.026431672028589
GO:0003735	MF	structural constituent of ribosome	Pjv1_00003508|Pjv1_00004209|Pjv1_00004365|Pjv1_00005248|Pjv1_00007590|Pjv1_00007593|Pjv1_00009735|Pjv1_00010160|Pjv1_00010301|Pjv1_00011282|Pjv1_00012304|Pjv1_00014218|Pjv1_00014910|Pjv1_00015750|Pjv1_00017497|Pjv1_00021009|Pjv1_00025364|Pjv1_00025457|Pjv1_00026402|Pjv1_00028659|Pjv1_00028854|Pjv1_00029668|Pjv1_00029778|Pjv1_00029779|Pjv1_00029939	0.000984126029677066	0.026431672028589
GO:0009055	MF	electron transfer activity	Pjv1_00000172|Pjv1_00000670|Pjv1_00001866|Pjv1_00004275|Pjv1_00004792|Pjv1_00008359|Pjv1_00012308|Pjv1_00013051|Pjv1_00014465|Pjv1_00014500|Pjv1_00014910|Pjv1_00018223|Pjv1_00018864|Pjv1_00028069|Pjv1_00029826|Pjv1_00030273	0.00266315185051344	0.0585893407112956
GO:0046872	MF	metal ion binding	Pjv1_00000219|Pjv1_00000262|Pjv1_00000593|Pjv1_00000782|Pjv1_00003388|Pjv1_00005714|Pjv1_00006538|Pjv1_00007575|Pjv1_00009125|Pjv1_00010642|Pjv1_00011821|Pjv1_00013169|Pjv1_00013896|Pjv1_00016146|Pjv1_00016216|Pjv1_00017008|Pjv1_00017256|Pjv1_00017642|Pjv1_00018287|Pjv1_00021965|Pjv1_00022496|Pjv1_00026848|Pjv1_00028297|Pjv1_00028854|Pjv1_00029896	0.00336226021780815	0.0672452043561631
GO:0020037	MF	heme binding	Pjv1_00000172|Pjv1_00000614|Pjv1_00000670|Pjv1_00000697|Pjv1_00002756|Pjv1_00003155|Pjv1_00003613|Pjv1_00004027|Pjv1_00005306|Pjv1_00007552|Pjv1_00010750|Pjv1_00011616|Pjv1_00011627|Pjv1_00016216|Pjv1_00016482|Pjv1_00016620|Pjv1_00016723|Pjv1_00018864|Pjv1_00019502|Pjv1_00019688|Pjv1_00019959|Pjv1_00024737|Pjv1_00025587|Pjv1_00026468	0.0046388927919271	0.0850463678519969
