GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0052716	MF	hydroquinone:oxygen oxidoreductase activity	Pjv1_00006828|Pjv1_00006829|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011588|Pjv1_00014482|Pjv1_00014540|Pjv1_00022395|Pjv1_00022397	8.69028921011101e-07	0.000193793449385476
GO:0016168	MF	chlorophyll binding	Pjv1_00000006|Pjv1_00004538|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00017363|Pjv1_00030182	3.69715671408741e-05	0.00274821982413831
GO:0046872	MF	metal ion binding	Pjv1_00000006|Pjv1_00000351|Pjv1_00000390|Pjv1_00000953|Pjv1_00001859|Pjv1_00002282|Pjv1_00003227|Pjv1_00003810|Pjv1_00003894|Pjv1_00004048|Pjv1_00004344|Pjv1_00004538|Pjv1_00006653|Pjv1_00006693|Pjv1_00006728|Pjv1_00007141|Pjv1_00008044|Pjv1_00008170|Pjv1_00008423|Pjv1_00008604|Pjv1_00008704|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00009950|Pjv1_00010439|Pjv1_00010580|Pjv1_00011090|Pjv1_00011348|Pjv1_00011395|Pjv1_00011749|Pjv1_00011898|Pjv1_00012562|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00015316|Pjv1_00016468|Pjv1_00017001|Pjv1_00017178|Pjv1_00017458|Pjv1_00017630|Pjv1_00018497|Pjv1_00018609|Pjv1_00020627|Pjv1_00021020|Pjv1_00021251|Pjv1_00023042|Pjv1_00023689|Pjv1_00024145|Pjv1_00024146|Pjv1_00024147|Pjv1_00024697|Pjv1_00026648|Pjv1_00028219|Pjv1_00028343|Pjv1_00030182	3.39867558522722e-05	0.00274821982413831
GO:0003854	MF	3-beta-hydroxy-delta5-steroid dehydrogenase activity	Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00007395|Pjv1_00024777|Pjv1_00025578|Pjv1_00026862|Pjv1_00028898	9.07556797969451e-05	0.00505962914867969
GO:0005507	MF	copper ion binding	Pjv1_00006828|Pjv1_00006829|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011588|Pjv1_00012216|Pjv1_00014482|Pjv1_00014540|Pjv1_00020462|Pjv1_00022395|Pjv1_00022397	0.000124459807412764	0.00555090741060926
GO:0016491	MF	oxidoreductase activity	Pjv1_00002072|Pjv1_00004236|Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00006163|Pjv1_00006208|Pjv1_00006828|Pjv1_00006829|Pjv1_00007395|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00009916|Pjv1_00009950|Pjv1_00010734|Pjv1_00010885|Pjv1_00011140|Pjv1_00011395|Pjv1_00011588|Pjv1_00012516|Pjv1_00012562|Pjv1_00012698|Pjv1_00013402|Pjv1_00014482|Pjv1_00014540|Pjv1_00016099|Pjv1_00018316|Pjv1_00021717|Pjv1_00022395|Pjv1_00022397|Pjv1_00024145|Pjv1_00024146|Pjv1_00024147|Pjv1_00024777|Pjv1_00025578|Pjv1_00025795|Pjv1_00028898|Pjv1_00028937	0.000171478228846278	0.00637327417212
GO:0008271	MF	secondary active sulfate transmembrane transporter activity	Pjv1_00000951|Pjv1_00002037|Pjv1_00006207|Pjv1_00006508|Pjv1_00018289|Pjv1_00018290	0.000267050146025684	0.00850745465196108
GO:0005215	MF	transporter activity	Pjv1_00000983|Pjv1_00004261|Pjv1_00005007|Pjv1_00011300|Pjv1_00011669|Pjv1_00013712|Pjv1_00013713|Pjv1_00023359|Pjv1_00024988|Pjv1_00025710|Pjv1_00026826|Pjv1_00026827|Pjv1_00027805|Pjv1_00030282	0.000540883443629093	0.0134018897699209
GO:0016616	MF	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00007395|Pjv1_00024777|Pjv1_00025578|Pjv1_00026862|Pjv1_00028898	0.000501167940950288	0.0134018897699209
GO:0015116	MF	sulfate transmembrane transporter activity	Pjv1_00000951|Pjv1_00002037|Pjv1_00006207|Pjv1_00006508|Pjv1_00018290	0.000815038273541317	0.0165230486363376
GO:0016760	MF	cellulose synthase (UDP-forming) activity	Pjv1_00003810|Pjv1_00003811|Pjv1_00010439|Pjv1_00016984|Pjv1_00021052	0.000815038273541317	0.0165230486363376
GO:0016707	MF	gibberellin 3-beta-dioxygenase activity	Pjv1_00024145|Pjv1_00024146|Pjv1_00024147	0.000994604683241571	0.0184830703635725
GO:0016746	MF	acyltransferase activity	Pjv1_00004354|Pjv1_00005197|Pjv1_00006408|Pjv1_00011059|Pjv1_00026044|Pjv1_00026045	0.00190617278737618	0.0326981947372991
GO:0015020	MF	glucuronosyltransferase activity	Pjv1_00001798|Pjv1_00011898|Pjv1_00017458	0.003582726495567	0.0443860004728578
GO:0046556	MF	alpha-L-arabinofuranosidase activity	Pjv1_00002356|Pjv1_00007489|Pjv1_00007490	0.003582726495567	0.0443860004728578
