GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009834	BP	plant-type secondary cell wall biogenesis	AT1G03870|AT1G09610|AT1G27440|AT1G32770|AT1G33800|AT1G43790|AT2G04780|AT2G28315|AT2G35700|AT2G37090|AT2G38080|AT2G40320|AT2G46770|AT3G50220|AT3G61910|AT4G18780|AT5G03170|AT5G15630|AT5G17420|AT5G44030|AT5G48920|AT5G60490|AT5G67210	3.73662746172491e-19	1.65158933808241e-16
GO:0045492	BP	xylan biosynthetic process	AT1G09610|AT1G33800|AT1G73140|AT2G37090|AT2G38320|AT3G50220|AT3G55990|AT5G01360|AT5G54690|AT5G67210	4.94689961684108e-09	1.09326481532188e-06
GO:0042335	BP	cuticle development	AT1G01120|AT1G17840|AT1G27950|AT1G64670|AT1G68530|AT2G26250|AT3G43720	2.81513851243744e-06	0.00041476374083245
GO:2000652	BP	regulation of secondary cell wall biogenesis	AT1G28470|AT1G43790|AT1G62990|AT1G63910|AT4G17880|AT4G22680|AT4G28500|AT5G16600|AT5G48920	5.18897824645899e-06	0.000573382096233718
GO:0008150	BP	biological_process	AT1G04778|AT1G09310|AT1G12090|AT1G13470|AT1G14880|AT1G17620|AT1G19960|AT1G24147|AT1G45010|AT1G52270|AT1G52855|AT1G55330|AT1G61260|AT1G62981|AT1G63300|AT1G67870|AT1G72600|AT1G76620|AT1G77270|AT1G78450|AT2G15020|AT2G17300|AT2G17710|AT2G22122|AT2G23360|AT2G25510|AT2G27740|AT2G28410|AT2G31940|AT2G32487|AT2G34655|AT2G36430|AT2G36854|AT2G47360|AT3G06035|AT3G06070|AT3G06145|AT3G08490|AT3G15050|AT3G16070|AT3G18050|AT3G22070|AT3G22120|AT3G22410|AT3G22415|AT3G22540|AT3G24535|AT3G26960|AT3G27027|AT3G45160|AT3G46890|AT3G47295|AT3G47980|AT3G50350|AT3G52900|AT3G54040|AT3G55420|AT3G62630|AT3G62730|AT3G63160|AT4G11211|AT4G14380|AT4G16880|AT4G21620|AT4G27435|AT4G27654|AT4G30830|AT5G02090|AT5G02640|AT5G03995|AT5G11420|AT5G14410|AT5G18460|AT5G19190|AT5G22580|AT5G25490|AT5G25840|AT5G28630|AT5G41761|AT5G42530|AT5G42710|AT5G47635|AT5G54240|AT5G54585|AT5G54710|AT5G55010|AT5G59050|AT5G60720|AT5G61340	9.43201149291159e-06	0.000833789815973385
GO:0071456	BP	cellular response to hypoxia	AT1G73010	4.15711356975237e-05	0.00306240699638424
GO:0045493	BP	xylan catabolic process	AT1G02640|AT1G58370|AT4G08160|AT4G33810	9.89230593498221e-05	0.00437239922326214
GO:0019761	BP	glucosinolate biosynthetic process	AT1G16410|AT1G62560|AT2G43100|AT3G19710|AT3G58990|AT4G13770|AT5G23010	8.85084680834133e-05	0.00437239922326214
GO:0010417	BP	glucuronoxylan biosynthetic process	AT1G19300|AT1G27440|AT2G37090|AT5G54690	9.89230593498221e-05	0.00437239922326214
GO:0009827	BP	plant-type cell wall modification	AT2G47670|AT4G34980|AT5G01360|AT5G62360	9.89230593498221e-05	0.00437239922326214
GO:1905177	BP	tracheary element differentiation	AT1G43790|AT2G40470|AT5G25830|AT5G48920	0.000445510175214371	0.0164096247870627
GO:2000012	BP	regulation of auxin polar transport	AT1G25250|AT5G11790|AT5G14090|AT5G64770	0.000445510175214371	0.0164096247870627
GO:1900150	BP	regulation of defense response to fungus	AT1G70260|AT3G22231|AT4G14400	0.000994604683241571	0.0338165592302134
GO:0010025	BP	wax biosynthetic process	AT1G01120|AT1G51500|AT1G57750|AT1G68530|AT4G24510	0.00146840796547456	0.0463597371956968
GO:0055085	BP	transmembrane transport	AT1G17840|AT1G18880|AT1G51500|AT1G52190|AT1G77690|AT2G28780|AT2G34360|AT2G40460|AT3G01550|AT3G16180|AT3G28345|AT4G10770|AT4G23400|AT4G25960|AT5G16530|AT5G18840|AT5G27360|AT5G42210|AT5G60660	0.00217045417170618	0.063956049592942
GO:0045893	BP	positive regulation of DNA-templated transcription	AT1G26960|AT1G28470|AT1G32770|AT1G63910|AT2G46770|AT3G12890|AT3G55990|AT3G61910|AT4G00220|AT4G17880|AT4G22680|AT4G27430|AT4G28500|AT5G16600|AT5G25830	0.00306040194496622	0.0845436037296919
GO:0010051	BP	xylem and phloem pattern formation	AT1G19300|AT3G14170|AT4G17220	0.003582726495567	0.0879758395022562
GO:0019432	BP	triglyceride biosynthetic process	AT3G10520|AT5G16350|AT5G22490	0.003582726495567	0.0879758395022562
