GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0019761	BP	glucosinolate biosynthetic process	AT1G16400|AT1G16410|AT1G18590|AT1G62560|AT2G43100|AT3G19710|AT3G58990|AT4G13770|AT5G14200|AT5G23010	1.93307276259801e-08	9.18209562234055e-06
GO:0008150	BP	biological_process	AT1G02770|AT1G06540|AT1G07901|AT1G09932|AT1G10220|AT1G11170|AT1G11700|AT1G13470|AT1G13530|AT1G13830|AT1G14880|AT1G15772|AT1G20070|AT1G20310|AT1G27020|AT1G30250|AT1G49310|AT1G49470|AT1G50590|AT1G55265|AT1G64370|AT1G67920|AT1G68238|AT2G07678|AT2G07981|AT2G08986|AT2G17710|AT2G18680|AT2G25260|AT2G27390|AT2G29995|AT2G36090|AT2G37750|AT2G38790|AT2G39370|AT2G43290|AT2G43670|AT3G06070|AT3G10815|AT3G11150|AT3G13433|AT3G14060|AT3G18950|AT3G19690|AT3G22235|AT3G22240|AT3G26500|AT3G27410|AT3G27650|AT3G29970|AT3G45160|AT3G50350|AT3G53235|AT3G55890|AT3G55900|AT3G62630|AT4G00700|AT4G01390|AT4G08555|AT4G09880|AT4G12735|AT4G15990|AT4G17215|AT4G22370|AT4G24130|AT4G26050|AT4G27654|AT4G28085|AT4G35170|AT4G36500|AT4G39580|AT5G03995|AT5G09480|AT5G10210|AT5G14560|AT5G25290|AT5G28610|AT5G44990|AT5G50560|AT5G50660|AT5G54710|AT5G61660|AT5G65925|ATMG00260|ATMG00860|ATMG01210	2.0980263420409e-06	0.000498281256234715
GO:0009617	BP	response to bacterium	AT1G11580|AT1G19020|AT1G20510|AT1G62660|AT1G66700|AT1G72520|AT1G79680|AT2G45220|AT3G22231|AT3G25180|AT3G45140|AT4G10500|AT4G14400|AT5G07690|AT5G57220	1.30919313171057e-05	0.00207288912520841
GO:0032259	BP	methylation	AT1G15125|AT1G21100|AT1G21110|AT1G66700|AT1G67980|AT1G76790|AT5G38020|AT5G38780	9.07556797969451e-05	0.0107772369758872
GO:0071456	BP	cellular response to hypoxia	AT1G13300|AT1G14200|AT1G19020|AT1G23710|AT1G26380|AT1G26410|AT1G35140|AT1G68620|AT1G76650|AT2G01180|AT2G25735|AT2G26560|AT3G25250|AT4G01250|AT4G19520|AT4G22780|AT4G31970|AT4G33070|AT4G33560|AT4G34150|AT5G25250|AT5G27420|AT5G45340|AT5G57220|AT5G57560	0.000138982989850255	0.0131704074442836
GO:0009611	BP	response to wounding	AT1G17380|AT1G19020|AT1G20510|AT1G72450|AT1G72520|AT1G76650|AT2G20340|AT3G15356|AT3G19710|AT3G25250|AT3G45140|AT4G32940|AT5G07690|AT5G07700|AT5G13930|AT5G14200|AT5G24770|AT5G43570|AT5G43580	0.000166363041401477	0.0131704074442836
GO:0009753	BP	response to jasmonic acid	AT1G06160|AT1G17380|AT1G20510|AT1G21910|AT1G72450|AT3G09940|AT3G15510|AT3G45140|AT4G19810|AT4G32940|AT5G13930|AT5G14200|AT5G24770|AT5G24780|AT5G44420	0.000242915375567733	0.0164835433420961
GO:0009098	BP	leucine biosynthetic process	AT2G43100|AT3G58990|AT5G14200|AT5G23010	0.000445510175214371	0.0264521666533533
GO:0009625	BP	response to insect	AT1G16410|AT4G13770|AT5G07690|AT5G07700|AT5G23010|AT5G24770|AT5G44420	0.000661393522057738	0.0349068803308251
GO:0009414	BP	response to water deprivation	AT1G04580|AT1G12110|AT1G12610|AT1G17950|AT1G62660|AT1G73330|AT2G21490|AT2G35930|AT3G09940|AT3G13437|AT3G45140|AT5G07690|AT5G07700|AT5G23010|AT5G45340|AT5G49630|AT5G61590	0.00107633043800673	0.0393274583117844
GO:1905582	BP	response to mannose	AT1G22160|AT4G17670|AT4G39795	0.000994604683241571	0.0393274583117844
GO:1900150	BP	regulation of defense response to fungus	AT1G70260|AT3G22231|AT4G14400	0.000994604683241571	0.0393274583117844
GO:1902358	BP	sulfate transmembrane transport	AT1G77990|AT5G10180|AT5G19600	0.000994604683241571	0.0393274583117844
GO:0009901	BP	anther dehiscence	AT1G72520|AT2G46770|AT3G61910|AT5G50800	0.00252992170633676	0.0801141873673308
GO:0042343	BP	indole glucosinolate metabolic process	AT1G21100|AT3G09260|AT4G37400|AT5G57220	0.00252992170633676	0.0801141873673308
GO:0009863	BP	salicylic acid mediated signaling pathway	AT1G28480|AT3G22231|AT3G52400|AT5G17490|AT5G36970	0.00374472635385464	0.093618158846366
GO:0006952	BP	defense response	AT1G23130|AT1G58420|AT1G70880|AT1G72520|AT1G79680|AT2G01520|AT2G35930|AT4G11650|AT4G31970|AT5G15130|AT5G24780|AT5G43570|AT5G43580|AT5G44420	0.00350830984198812	0.093618158846366
GO:0009610	BP	response to symbiotic fungus	AT1G37130|AT3G09260|AT3G09940	0.003582726495567	0.093618158846366
GO:0000103	BP	sulfate assimilation	AT4G04610|AT4G14680|AT4G39940	0.003582726495567	0.093618158846366
