GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005886	CC	plasma membrane	AT1G01590|AT1G02630|AT1G03870|AT1G03920|AT1G08340|AT1G17200|AT1G17620|AT1G17840|AT1G18880|AT1G20010|AT1G25530|AT1G27950|AT1G29720|AT1G31720|AT1G35710|AT1G43650|AT1G43790|AT1G51500|AT1G52190|AT1G53660|AT1G55330|AT1G58070|AT1G63295|AT1G64780|AT1G68725|AT1G68740|AT1G69160|AT1G70260|AT1G75280|AT1G77690|AT1G77870|AT1G79620|AT1G80760|AT2G02950|AT2G04780|AT2G26330|AT2G26910|AT2G28250|AT2G28315|AT2G28780|AT2G35760|AT2G37460|AT2G47930|AT3G01550|AT3G06035|AT3G14170|AT3G16180|AT3G16920|AT3G22231|AT3G28345|AT3G28960|AT3G43720|AT3G45860|AT3G45870|AT3G62740|AT3G63280|AT4G08300|AT4G18780|AT4G23400|AT4G25100|AT4G26540|AT4G27430|AT4G28556|AT4G30110|AT4G30250|AT4G34950|AT4G34980|AT4G35985|AT4G36250|AT4G39330|AT5G01360|AT5G03170|AT5G07460|AT5G09220|AT5G10430|AT5G11420|AT5G14090|AT5G15630|AT5G15970|AT5G16350|AT5G16490|AT5G16530|AT5G17420|AT5G22490|AT5G36920|AT5G44030|AT5G44568|AT5G45970|AT5G48920|AT5G58580|AT5G60490|AT5G60660|AT5G62360	5.30422664517851e-08	4.13729678323923e-06
GO:0005794	CC	Golgi apparatus	AT1G09610|AT1G19300|AT1G24070|AT1G33800|AT1G53660|AT1G63120|AT1G68740|AT1G73140|AT2G28315|AT2G30010|AT2G37090|AT2G38320|AT2G40320|AT3G01550|AT3G03650|AT3G21190|AT3G48970|AT3G50220|AT3G55990|AT5G01360|AT5G03760|AT5G23860|AT5G25610|AT5G36920|AT5G54690|AT5G67210	0.000179597468057605	0.0070043012542466
GO:0005576	CC	extracellular region	AT1G02335|AT1G02640|AT1G02900|AT1G03870|AT1G05310|AT1G09310|AT1G09440|AT1G09610|AT1G10460|AT1G13470|AT1G14880|AT1G19630|AT1G19940|AT1G22480|AT1G22690|AT1G24147|AT1G29660|AT1G29670|AT1G34040|AT1G35290|AT1G45010|AT1G45201|AT1G47485|AT1G52855|AT1G57750|AT1G58370|AT1G60060|AT1G62981|AT1G63300|AT1G66940|AT1G67870|AT1G72610|AT1G73330|AT1G75040|AT1G75900|AT1G80170|AT2G03090|AT2G03200|AT2G15050|AT2G26020|AT2G27920|AT2G29130|AT2G32680|AT2G35860|AT2G38080|AT2G39850|AT2G43050|AT3G16530|AT3G16920|AT3G17070|AT3G23450|AT3G26960|AT3G44990|AT3G51600|AT3G52370|AT3G57240|AT3G61750|AT3G62020|AT3G62730|AT4G00230|AT4G00360|AT4G08160|AT4G14130|AT4G19820|AT4G21620|AT4G21640|AT4G21650|AT4G27430|AT4G27435|AT4G33220|AT4G33810|AT4G34980|AT5G03170|AT5G10760|AT5G11420|AT5G18460|AT5G25610|AT5G26000|AT5G35960|AT5G36920|AT5G40020|AT5G42180|AT5G44020|AT5G47635|AT5G59310|AT5G59320|AT5G60020|AT5G60490	0.000357989076670287	0.00930771599342747
GO:0009579	CC	thylakoid	AT2G39470|AT3G63160|AT4G25100|AT5G26000|AT5G38420	0.000815038273541317	0.0158932463340557
GO:0005739	CC	mitochondrion	AT1G02820|AT1G06090|AT1G19630|AT1G22160|AT1G31580|AT1G33800|AT1G47485|AT1G66940|AT1G68530|AT1G69160|AT1G70830|AT1G70890|AT1G72200|AT1G72610|AT1G75040|AT1G75280|AT1G78370|AT1G78476|AT1G79620|AT2G04780|AT2G12461|AT2G15318|AT2G16385|AT2G17300|AT2G17710|AT2G18890|AT2G25510|AT2G26330|AT2G31930|AT2G31940|AT2G32487|AT2G34360|AT2G41610|AT2G47360|AT3G06145|AT3G12955|AT3G22415|AT3G28345|AT3G28960|AT3G29633|AT3G45870|AT3G47295|AT3G51325|AT3G55130|AT4G00880|AT4G25100|AT4G27654|AT5G02090|AT5G03995|AT5G11930|AT5G14410|AT5G22200|AT5G27360|AT5G37478|AT5G40630|AT5G42530|AT5G43150|AT5G51720|AT5G55010|AT5G59305|AT5G61340|AT5G64770	0.0012369034087117	0.0192956931759025
GO:0009505	CC	plant-type cell wall	AT1G02640|AT1G27950|AT1G43790|AT1G64670|AT2G38080|AT3G17070|AT3G20470|AT3G62020|AT4G21960|AT5G11420|AT5G22200|AT5G42180|AT5G44410|AT5G48920|AT5G60020	0.00306040194496622	0.0397852252845609
GO:0005618	CC	cell wall	AT1G02335|AT1G10460|AT1G20010|AT1G20850|AT1G29670|AT1G30760|AT1G31580|AT1G58370|AT1G72610|AT1G75040|AT3G16530|AT3G51600|AT3G57240|AT3G62020|AT4G00230|AT4G18780|AT4G33810|AT4G38770|AT5G11420|AT5G59320	0.00535542108780788	0.0596746921212878
GO:0048046	CC	apoplast	AT1G02900|AT1G09310|AT1G29660|AT1G29670|AT1G47485|AT1G75040|AT1G78370|AT3G16370|AT3G16530|AT3G57240|AT4G39330|AT5G10760|AT5G26000|AT5G38420|AT5G59320	0.00747597837621289	0.0728907891680756
GO:0045298	CC	tubulin complex	AT1G20010|AT5G23860	0.00998199639927986	0.0865106354604255
GO:0016020	CC	membrane	AT1G01120|AT1G01610|AT1G16410|AT1G30840|AT1G31720|AT1G62981|AT1G76800|AT2G15050|AT2G34360|AT3G22231|AT3G26300|AT3G26310|AT3G51600|AT4G10770|AT4G14400|AT4G31730|AT4G34950|AT5G54710|AT5G55930|AT5G59310|AT5G59320	0.0128360987028645	0.0970104282166684
GO:0005802	CC	trans-Golgi network	AT1G53660|AT3G21190|AT4G18780|AT5G17420|AT5G25610|AT5G44030	0.0136809578254276	0.0970104282166684
