GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005515	MF	protein binding	AT1G04250|AT1G04310|AT1G05560|AT1G06180|AT1G07370|AT1G07400|AT1G07430|AT1G15580|AT1G18400|AT1G19050|AT1G20610|AT1G20850|AT1G28360|AT1G43790|AT1G44110|AT1G47485|AT1G52240|AT1G68360|AT1G69600|AT1G71380|AT1G73530|AT1G73830|AT2G02100|AT2G16850|AT2G17620|AT2G26760|AT2G43610|AT2G46810|AT2G47270|AT3G01970|AT3G04000|AT3G10190|AT3G11520|AT3G12830|AT3G13175|AT3G16770|AT3G19050|AT3G19390|AT3G21510|AT3G23050|AT3G23670|AT3G25980|AT3G46230|AT3G48100|AT3G54180|AT3G54560|AT3G54710|AT3G54720|AT3G54820|AT3G57040|AT3G57860|AT3G59220|AT4G00220|AT4G02060|AT4G12470|AT4G15660|AT4G15670|AT4G15690|AT4G20970|AT4G27950|AT4G30860|AT4G31730|AT4G32830|AT4G33260|AT4G33270|AT4G34530|AT4G35620|AT4G36540|AT4G37580|AT4G37770|AT4G38850|AT4G39070|AT5G01840|AT5G02220|AT5G04190|AT5G05510|AT5G07310|AT5G10140|AT5G11420|AT5G11510|AT5G13060|AT5G13490|AT5G14070|AT5G14920|AT5G15160|AT5G16690|AT5G18600|AT5G20820|AT5G22310|AT5G25190|AT5G25350|AT5G43080|AT5G43250|AT5G44210|AT5G44260|AT5G44560|AT5G45680|AT5G45820|AT5G46590|AT5G48485|AT5G48570|AT5G49690|AT5G50915|AT5G51440|AT5G52640|AT5G56580|AT5G59220|AT5G59720|AT5G59970|AT5G62920|AT5G67070	2.89518447379076e-12	7.03529827131155e-10
GO:0003677	MF	DNA binding	AT1G04020|AT1G18400|AT1G28360|AT1G32510|AT1G36060|AT1G43160|AT1G53250|AT1G69600|AT2G33810|AT3G02820|AT3G04070|AT3G16770|AT3G54560|AT3G54710|AT4G17980|AT4G34530|AT4G36540|AT5G44210|AT5G46590|AT5G57980|AT5G58360|AT5G59870|AT5G63690	6.28016888415931e-05	0.00305216207770143
GO:0051082	MF	unfolded protein binding	AT1G07400|AT2G29500|AT2G32120|AT3G12580|AT3G46230|AT5G12020|AT5G12030|AT5G52640|AT5G59720	5.0308117666686e-05	0.00305216207770143
GO:0016538	MF	cyclin-dependent protein serine/threonine kinase regulator activity	AT1G20610|AT1G44110|AT2G17620|AT2G26760|AT3G11520|AT4G35620|AT5G43080	4.53303915940856e-05	0.00305216207770143
GO:0003777	MF	microtubule motor activity	AT1G18370|AT2G28620|AT3G10310|AT3G19050|AT3G23670|AT4G26660|AT5G55520	4.53303915940856e-05	0.00305216207770143
GO:0003674	MF	molecular_function	AT1G03820|AT1G04778|AT1G05210|AT1G06475|AT1G07485|AT1G07490|AT1G07985|AT1G12090|AT1G13670|AT1G15010|AT1G19610|AT1G21520|AT1G26762|AT1G29440|AT1G29450|AT1G29460|AT1G29500|AT1G29510|AT1G30814|AT1G44608|AT1G56150|AT1G64690|AT1G74670|AT1G75150|AT1G75590|AT1G77270|AT1G79170|AT1G79760|AT2G01755|AT2G04515|AT2G05510|AT2G14900|AT2G28140|AT2G28690|AT2G30230|AT2G35070|AT2G39560|AT2G39705|AT2G41800|AT2G41810|AT3G02120|AT3G02500|AT3G03130|AT3G06020|AT3G08030|AT3G12835|AT3G14190|AT3G15550|AT3G16330|AT3G21600|AT3G21680|AT3G22120|AT3G23740|AT3G23930|AT3G24100|AT3G25717|AT3G48490|AT3G55515|AT3G59900|AT3G63088|AT4G01870|AT4G12545|AT4G16240|AT4G16807|AT4G17240|AT4G18500|AT4G19095|AT4G20420|AT4G20690|AT4G22470|AT4G23870|AT4G24030|AT4G24180|AT4G24275|AT4G26290|AT4G26960|AT4G28180|AT4G28310|AT4G34760|AT4G37220|AT4G38840|AT4G38860|AT4G39320|AT4G39675|AT5G01881|AT5G01910|AT5G05965|AT5G13140|AT5G14360|AT5G14410|AT5G17160|AT5G18080|AT5G24105|AT5G25340|AT5G25750|AT5G27247|AT5G35740|AT5G36710|AT5G36800|AT5G37010|AT5G38300|AT5G40020|AT5G44130|AT5G44572|AT5G44575|AT5G44578|AT5G44582|AT5G50610|AT5G50710|AT5G52390|AT5G52900|AT5G53820|AT5G54970|AT5G56100|AT5G59845|AT5G64910	0.000336897918146061	0.0136443656849155
GO:0046983	MF	protein dimerization activity	AT1G10585|AT1G18400|AT1G73830|AT2G34440|AT2G40200|AT2G46810|AT2G47270|AT3G53140|AT4G20970|AT4G34530|AT4G36540|AT5G10140|AT5G15160|AT5G50915|AT5G65640	0.000429706862494772	0.0149169667980328
GO:0043621	MF	protein self-association	AT1G07400|AT2G29500|AT3G46230|AT4G12470|AT5G12020|AT5G12030|AT5G48485|AT5G59720	0.000501167940950288	0.015222976206365
GO:0016762	MF	xyloglucan:xyloglucosyl transferase activity	AT1G11545|AT2G06850|AT2G36870|AT3G23730|AT3G44990|AT4G14130|AT4G37800	0.000661393522057738	0.0178576250955589
GO:0008017	MF	microtubule binding	AT1G18370|AT2G28620|AT3G10310|AT3G19050|AT3G23670|AT4G26660|AT5G55520|AT5G67270	0.000980692432996846	0.0238308261218234
GO:0000156	MF	phosphorelay response regulator activity	AT1G19050|AT3G48100|AT3G57040|AT5G62920	0.00120381398095463	0.026593345215634
