GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0003674	MF	molecular_function	AT1G03660|AT1G13520|AT1G14870|AT1G17830|AT1G19610|AT1G21520|AT1G23130|AT1G24095|AT1G26930|AT1G32560|AT1G51920|AT1G53625|AT1G62510|AT1G65346|AT1G65481|AT1G65690|AT1G71150|AT1G76600|AT1G77145|AT2G03230|AT2G05510|AT2G07676|AT2G07678|AT2G07701|AT2G07705|AT2G07721|AT2G07722|AT2G07738|AT2G07798|AT2G07825|AT2G14610|AT2G19990|AT2G21640|AT2G32880|AT2G40113|AT2G41730|AT2G41800|AT2G44070|AT2G47950|AT3G11150|AT3G13950|AT3G14060|AT3G18250|AT3G19615|AT3G26470|AT3G27415|AT3G27416|AT3G48020|AT3G48450|AT3G51660|AT4G01870|AT4G01895|AT4G01985|AT4G08555|AT4G12735|AT4G15120|AT4G17215|AT4G20000|AT4G22470|AT4G23680|AT4G25200|AT4G37290|AT4G38870|AT4G40020|AT5G12930|AT5G19230|AT5G24640|AT5G36970|AT5G44572|AT5G52390|AT5G53820|AT5G54560|AT5G57510|AT5G61490|AT5G61495|AT5G61820|AT5G64890|AT5G64905|ATMG00030|ATMG00050|ATMG00140|ATMG00170|ATMG00260|ATMG00430|ATMG00620|ATMG00670|ATMG00920|ATMG00970|ATMG01150	3.5307058116166e-10	1.02743539118043e-07
GO:0004364	MF	glutathione transferase activity	AT1G02940|AT1G17170|AT1G17180|AT1G69920|AT1G69930|AT1G74590|AT2G29440|AT2G29450|AT2G29460|AT2G29470|AT2G29480|AT2G29490|AT3G09270|AT5G02780|AT5G44990|AT5G62480	2.79106206860859e-09	4.0609953098255e-07
GO:0004601	MF	peroxidase activity	AT1G49570|AT2G38380|AT2G38390|AT3G17790|AT3G49110|AT3G49120|AT4G08770|AT4G36430|AT5G05340|AT5G06720|AT5G06730|AT5G19880|AT5G19890|AT5G64100|AT5G64110	5.1015098847975e-06	0.000494846458825357
GO:0020037	MF	heme binding	AT1G49570|AT2G30750|AT2G30770|AT2G34500|AT2G38380|AT2G38390|AT2G45570|AT3G01420|AT3G14680|AT3G26830|AT3G28740|AT3G48310|AT3G49110|AT3G49120|AT4G08770|AT4G31970|AT4G36430|AT4G37370|AT5G05340|AT5G06720|AT5G06730|AT5G19880|AT5G19890|AT5G64100|AT5G64110|ATMG00900	4.68769008093217e-05	0.00341029453387815
GO:0035251	MF	UDP-glucosyltransferase activity	AT1G05680|AT2G15480|AT2G15490|AT2G43820|AT4G34131|AT4G34135	5.98093462905569e-05	0.00348090395411041
GO:0071949	MF	FAD binding	AT1G04580|AT1G26380|AT1G26390|AT1G26410|AT1G26420|AT1G30700|AT1G30720|AT2G46750|AT4G20860|AT5G20960	0.000133763474523399	0.00648752851438483
GO:0051082	MF	unfolded protein binding	AT1G07400|AT1G53540|AT2G20560|AT2G29500|AT3G12580|AT3G46230|AT5G12030|AT5G52640	0.000344257835679503	0.014311290026105
GO:0046933	MF	proton-transporting ATP synthase activity, rotational mechanism	AT2G07671|AT2G07777|ATMG00640|ATMG01080|ATMG01090	0.000402112130212067	0.014404828998598
GO:0047893	MF	flavonol 3-O-glucosyltransferase activity	AT2G15480|AT2G15490|AT4G34131|AT4G34135	0.000445510175214371	0.014404828998598
GO:0008194	MF	UDP-glycosyltransferase activity	AT1G22360|AT2G15480|AT2G15490|AT2G30140|AT2G36770|AT2G36780|AT3G53160|AT5G49690	0.00070972788745541	0.0192953308548865
