GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009765	BP	photosynthesis, light harvesting	Pjv1_00000006|Pjv1_00004538|Pjv1_00008423|Pjv1_00008850|Pjv1_00009827|Pjv1_00009830|Pjv1_00011348|Pjv1_00014661|Pjv1_00014665|Pjv1_00014666|Pjv1_00015035|Pjv1_00015036|Pjv1_00015039|Pjv1_00015040|Pjv1_00015041|Pjv1_00030182	1.23365163057371e-15	4.67553967987436e-13
GO:0009834	BP	plant-type secondary cell wall biogenesis	Pjv1_00000523|Pjv1_00001798|Pjv1_00002750|Pjv1_00003638|Pjv1_00003810|Pjv1_00004952|Pjv1_00006828|Pjv1_00006829|Pjv1_00008399|Pjv1_00010439|Pjv1_00011898|Pjv1_00013166|Pjv1_00014540|Pjv1_00017458|Pjv1_00021052|Pjv1_00022227|Pjv1_00024030|Pjv1_00029021|Pjv1_00029771	1.30685712094293e-12	2.47649424418686e-10
GO:0009809	BP	lignin biosynthetic process	Pjv1_00006828|Pjv1_00006829|Pjv1_00013401|Pjv1_00014130|Pjv1_00014132|Pjv1_00014482|Pjv1_00014540|Pjv1_00022227|Pjv1_00022395|Pjv1_00022397|Pjv1_00024777|Pjv1_00027147|Pjv1_00028898	7.75752244314783e-09	9.80033668651009e-07
GO:0046274	BP	lignin catabolic process	Pjv1_00006828|Pjv1_00006829|Pjv1_00009222|Pjv1_00009223|Pjv1_00009224|Pjv1_00011588|Pjv1_00013401|Pjv1_00014482|Pjv1_00014540|Pjv1_00022395|Pjv1_00022397	6.02979568529366e-08	5.71323141181574e-06
GO:0010417	BP	glucuronoxylan biosynthetic process	Pjv1_00000521|Pjv1_00001798|Pjv1_00004952|Pjv1_00007548|Pjv1_00010170|Pjv1_00011898|Pjv1_00017458|Pjv1_00029021	7.71206538470584e-08	5.84574556160703e-06
GO:0006694	BP	steroid biosynthetic process	Pjv1_00006130|Pjv1_00006131|Pjv1_00006133|Pjv1_00007395|Pjv1_00024777|Pjv1_00025578|Pjv1_00026862|Pjv1_00027742|Pjv1_00028765|Pjv1_00028898	1.76304046151544e-06	0.000111365389152392
GO:0006412	BP	translation	Pjv1_00006967	1.38493497949595e-05	0.000725403500049322
GO:0010025	BP	wax biosynthetic process	Pjv1_00001667|Pjv1_00001671|Pjv1_00006408|Pjv1_00010755|Pjv1_00010756|Pjv1_00011059|Pjv1_00023897|Pjv1_00027161	1.53119472305926e-05	0.000725403500049322
GO:0006508	BP	proteolysis	Pjv1_00001194|Pjv1_00001806|Pjv1_00001808|Pjv1_00003120|Pjv1_00003913|Pjv1_00005330|Pjv1_00007746|Pjv1_00007749|Pjv1_00014818|Pjv1_00014819|Pjv1_00015232|Pjv1_00015289|Pjv1_00015857|Pjv1_00018844|Pjv1_00019017|Pjv1_00022670|Pjv1_00026484	1.81523984992617e-05	0.000764417670135575
GO:0030833	BP	regulation of actin filament polymerization	Pjv1_00020790|Pjv1_00028560|Pjv1_00028561|Pjv1_00028562	9.89230593498221e-05	0.00374918394935826
GO:0006811	BP	monoatomic ion transport	Pjv1_00007091|Pjv1_00011395|Pjv1_00012385|Pjv1_00013478|Pjv1_00020059|Pjv1_00021547|Pjv1_00022013|Pjv1_00022278	0.000147230737375586	0.00507276813321336
GO:0045492	BP	xylan biosynthetic process	Pjv1_00000523|Pjv1_00007548|Pjv1_00010170|Pjv1_00011898|Pjv1_00017458	0.00016738654953442	0.0052866251894621
GO:0006857	BP	oligopeptide transport	Pjv1_00004261|Pjv1_00011669|Pjv1_00023359|Pjv1_00026826|Pjv1_00026827|Pjv1_00027805|Pjv1_00030282	0.000269521823326374	0.00785759777236121
GO:0055072	BP	iron ion homeostasis	Pjv1_00011395|Pjv1_00020059|Pjv1_00021547|Pjv1_00022013|Pjv1_00022278|Pjv1_00026899	0.000481214835191602	0.0130271730384012
GO:0006096	BP	glycolytic process	Pjv1_00005482|Pjv1_00008316|Pjv1_00009331|Pjv1_00009333|Pjv1_00028380	0.000815038273541317	0.0205933003781439
GO:0006177	BP	GMP biosynthetic process	Pjv1_00007902|Pjv1_00015928|Pjv1_00017377	0.000994604683241571	0.0235596984342847
GO:0030244	BP	cellulose biosynthetic process	Pjv1_00003810|Pjv1_00003811|Pjv1_00010439|Pjv1_00014510|Pjv1_00021052|Pjv1_00027147	0.00126948052331135	0.0283019481373531
GO:0008272	BP	sulfate transport	Pjv1_00000951|Pjv1_00002037|Pjv1_00006207|Pjv1_00018071|Pjv1_00018290	0.00146840796547456	0.0298681251394433
GO:0042742	BP	defense response to bacterium	Pjv1_00001761|Pjv1_00001859|Pjv1_00003810|Pjv1_00005007|Pjv1_00005277|Pjv1_00010439|Pjv1_00011300|Pjv1_00013649|Pjv1_00015588|Pjv1_00020613|Pjv1_00024201|Pjv1_00027208	0.00149734664287446	0.0298681251394433
GO:0006073	BP	cellular glucan metabolic process	Pjv1_00000379|Pjv1_00000442|Pjv1_00000443|Pjv1_00019889|Pjv1_00022809|Pjv1_00023917	0.00190617278737618	0.0361219743207787
GO:0071555	BP	cell wall organization	Pjv1_00000442|Pjv1_00000443|Pjv1_00000521|Pjv1_00001798|Pjv1_00003810|Pjv1_00003811|Pjv1_00004952|Pjv1_00007395|Pjv1_00007548|Pjv1_00010170|Pjv1_00010439|Pjv1_00011898|Pjv1_00017458|Pjv1_00019889|Pjv1_00022809|Pjv1_00025712|Pjv1_00029021	0.00205216744781015	0.0370367363200023
GO:0010214	BP	seed coat development	Pjv1_00002356|Pjv1_00007746|Pjv1_00007749|Pjv1_00026484	0.00252992170633676	0.0435836512137106
GO:0009617	BP	response to bacterium	Pjv1_00011395|Pjv1_00021547|Pjv1_00022013|Pjv1_00022278|Pjv1_00025712	0.00374472635385464	0.049994922092991
GO:0009664	BP	plant-type cell wall organization	Pjv1_00000379|Pjv1_00003959|Pjv1_00008325|Pjv1_00023181|Pjv1_00023917|Pjv1_00025016	0.00382546897281461	0.049994922092991
GO:0010413	BP	glucuronoxylan metabolic process	Pjv1_00004952|Pjv1_00007548|Pjv1_00010170	0.003582726495567	0.049994922092991
GO:0050832	BP	defense response to fungus	Pjv1_00001859|Pjv1_00003810|Pjv1_00008399|Pjv1_00010439|Pjv1_00013649|Pjv1_00021290|Pjv1_00021291|Pjv1_00024201|Pjv1_00026844|Pjv1_00027208|Pjv1_00029560	0.00322226320858999	0.049994922092991
GO:0006629	BP	lipid metabolic process	Pjv1_00001009|Pjv1_00007284|Pjv1_00014934|Pjv1_00019902|Pjv1_00027161|Pjv1_00027742	0.00382546897281461	0.049994922092991
GO:0006529	BP	asparagine biosynthetic process	Pjv1_00007902|Pjv1_00015928|Pjv1_00017377	0.003582726495567	0.049994922092991
GO:0006284	BP	base-excision repair	Pjv1_00007902|Pjv1_00015928|Pjv1_00017377	0.003582726495567	0.049994922092991
GO:0016068	BP	type I hypersensitivity	Pjv1_00006214|Pjv1_00013062|Pjv1_00015625|Pjv1_00029904	0.00455720324990844	0.0575726677238433
GO:0008610	BP	lipid biosynthetic process	Pjv1_00004354|Pjv1_00006408|Pjv1_00011059|Pjv1_00022927|Pjv1_00026045	0.00548129815563091	0.0670132903543263
GO:0009409	BP	response to cold	Pjv1_00000379|Pjv1_00005277|Pjv1_00006408|Pjv1_00011059|Pjv1_00015588|Pjv1_00018560|Pjv1_00023917|Pjv1_00024777|Pjv1_00028898|Pjv1_00029844	0.00672529833451304	0.0796527521493889
GO:0009611	BP	response to wounding	Pjv1_00004261|Pjv1_00005007|Pjv1_00005277|Pjv1_00011300|Pjv1_00011669|Pjv1_00027208|Pjv1_00027239	0.00709961030335764	0.0815379486355317
GO:0009058	BP	biosynthetic process	Pjv1_00002161|Pjv1_00004354|Pjv1_00004687|Pjv1_00006408|Pjv1_00007395|Pjv1_00026044|Pjv1_00026045|Pjv1_00026862	0.00823782048908247	0.0843819990638447
GO:0006541	BP	glutamine metabolic process	Pjv1_00007902|Pjv1_00015928|Pjv1_00017377	0.00806579588848874	0.0843819990638447
GO:0048359	BP	mucilage metabolic process involved in seed coat development	Pjv1_00007746|Pjv1_00007749|Pjv1_00026484	0.00806579588848874	0.0843819990638447
GO:0080001	BP	mucilage extrusion from seed coat	Pjv1_00007746|Pjv1_00007749|Pjv1_00026484	0.00806579588848874	0.0843819990638447
GO:0016042	BP	lipid catabolic process	Pjv1_00001265|Pjv1_00006819|Pjv1_00014934|Pjv1_00015360|Pjv1_00015766|Pjv1_00024607|Pjv1_00024608|Pjv1_00024609	0.00979703694687112	0.0859812871665243
GO:1902358	BP	sulfate transmembrane transport	Pjv1_00002037|Pjv1_00018290	0.00998199639927986	0.0859812871665243
GO:0010161	BP	red light signaling pathway	Pjv1_00010531|Pjv1_00010760	0.00998199639927986	0.0859812871665243
GO:0052325	BP	cell wall pectin biosynthetic process	Pjv1_00013269|Pjv1_00027539	0.00998199639927986	0.0859812871665243
GO:0015746	BP	citrate transport	Pjv1_00013712|Pjv1_00013713	0.00998199639927986	0.0859812871665243
GO:0046471	BP	phosphatidylglycerol metabolic process	Pjv1_00021236|Pjv1_00029982	0.00998199639927986	0.0859812871665243
GO:0034314	BP	Arp2/3 complex-mediated actin nucleation	Pjv1_00028560|Pjv1_00028561	0.00998199639927986	0.0859812871665243
