GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005576	CC	extracellular region	Pjv1_00000759|Pjv1_00001047|Pjv1_00001111|Pjv1_00002374|Pjv1_00002717|Pjv1_00003558|Pjv1_00003959|Pjv1_00004892|Pjv1_00005187|Pjv1_00005968|Pjv1_00006580|Pjv1_00006581|Pjv1_00006582|Pjv1_00007267|Pjv1_00008052|Pjv1_00012058|Pjv1_00014818|Pjv1_00019325|Pjv1_00020612|Pjv1_00020734|Pjv1_00020843|Pjv1_00022685|Pjv1_00022738|Pjv1_00022855|Pjv1_00024193|Pjv1_00025016|Pjv1_00025367|Pjv1_00025391|Pjv1_00025451|Pjv1_00025773|Pjv1_00025850|Pjv1_00026035|Pjv1_00027335|Pjv1_00028357|Pjv1_00028492|Pjv1_00029711|Pjv1_00030211|Pjv1_00030333	0.000590100155949577	0.0289149076415293
GO:0009507	CC	chloroplast	Pjv1_00001384|Pjv1_00005014|Pjv1_00007115|Pjv1_00008197|Pjv1_00009195|Pjv1_00010098|Pjv1_00011993|Pjv1_00015588|Pjv1_00015750|Pjv1_00016996|Pjv1_00021880|Pjv1_00025451|Pjv1_00025622|Pjv1_00028492|Pjv1_00028830	0.0005161500159631	0.0289149076415293
GO:0009570	CC	chloroplast stroma	Pjv1_00007115|Pjv1_00015588|Pjv1_00022515	0.00134256581705548	0.0438571500238124
GO:0009535	CC	chloroplast thylakoid membrane	Pjv1_00004548|Pjv1_00005014|Pjv1_00006325|Pjv1_00008087|Pjv1_00009457|Pjv1_00010218|Pjv1_00015588|Pjv1_00017381|Pjv1_00021880|Pjv1_00022868|Pjv1_00025658|Pjv1_00026837	0.00255894188608015	0.050155260967171
GO:0005618	CC	cell wall	Pjv1_00000442|Pjv1_00000443|Pjv1_00001047|Pjv1_00001384|Pjv1_00003558|Pjv1_00003959|Pjv1_00005339|Pjv1_00005382|Pjv1_00005968|Pjv1_00007267|Pjv1_00008052|Pjv1_00010731|Pjv1_00015441|Pjv1_00020612|Pjv1_00020734|Pjv1_00021952|Pjv1_00022685|Pjv1_00022738|Pjv1_00025016|Pjv1_00025521|Pjv1_00029106|Pjv1_00029711|Pjv1_00030333	0.00236239394316563	0.050155260967171
GO:0030659	CC	cytoplasmic vesicle membrane	Pjv1_00021309|Pjv1_00023204|Pjv1_00023205	0.003582726495567	0.0585178660942609
GO:0042597	CC	periplasmic space	Pjv1_00004425|Pjv1_00010900|Pjv1_00010978|Pjv1_00027403	0.00455720324990844	0.0638008454987181
GO:0005871	CC	kinesin complex	Pjv1_00011044|Pjv1_00011883|Pjv1_00021624	0.00806579588848874	0.0978235647129426
GO:0000785	CC	chromatin	Pjv1_00005064|Pjv1_00029065	0.00998199639927986	0.0978235647129426
GO:0009514	CC	glyoxysome	Pjv1_00017813|Pjv1_00019630	0.00998199639927986	0.0978235647129426
GO:0043078	CC	polar nucleus	Pjv1_00013615|Pjv1_00024473|Pjv1_00029172|Pjv1_00029202	0.0110895393225943	0.0987977139649313
