GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0048038	MF	quinone binding	Pjv1_00001796|Pjv1_00002553|Pjv1_00002670|Pjv1_00002671|Pjv1_00002682|Pjv1_00002683|Pjv1_00002976|Pjv1_00004891|Pjv1_00006027|Pjv1_00008090|Pjv1_00010217|Pjv1_00011937|Pjv1_00012297|Pjv1_00013214|Pjv1_00013940|Pjv1_00014317|Pjv1_00018293|Pjv1_00019093|Pjv1_00019097|Pjv1_00021243|Pjv1_00022099|Pjv1_00025272|Pjv1_00025803|Pjv1_00029642|Pjv1_00029828|Pjv1_00030176	1.99044586516147e-11	3.78184714380679e-09
GO:0008137	MF	NADH dehydrogenase (ubiquinone) activity	Pjv1_00001796|Pjv1_00002553|Pjv1_00002670|Pjv1_00002671|Pjv1_00002682|Pjv1_00002683|Pjv1_00002976|Pjv1_00004891|Pjv1_00006027|Pjv1_00008090|Pjv1_00010217|Pjv1_00011937|Pjv1_00012297|Pjv1_00013214|Pjv1_00013940|Pjv1_00014300|Pjv1_00014317|Pjv1_00018293|Pjv1_00019093|Pjv1_00019097|Pjv1_00021243|Pjv1_00022099|Pjv1_00025803|Pjv1_00029642|Pjv1_00029828|Pjv1_00030176	1.63202284581258e-10	1.55042170352195e-08
GO:0009055	MF	electron transfer activity	Pjv1_00000494|Pjv1_00000670|Pjv1_00001777|Pjv1_00001795|Pjv1_00002059|Pjv1_00007586|Pjv1_00007588|Pjv1_00010721|Pjv1_00018222|Pjv1_00018223|Pjv1_00018865|Pjv1_00020715|Pjv1_00020716|Pjv1_00020717|Pjv1_00021438|Pjv1_00023036|Pjv1_00027381|Pjv1_00030004|Pjv1_00030006|Pjv1_00030056|Pjv1_00030325	1.38690927441437e-05	0.000878375873795769
GO:0016706	MF	2-oxoglutarate-dependent dioxygenase activity	Pjv1_00006656|Pjv1_00009124|Pjv1_00009125|Pjv1_00009950|Pjv1_00011774|Pjv1_00014632|Pjv1_00014634|Pjv1_00017005|Pjv1_00017008|Pjv1_00017011|Pjv1_00020225|Pjv1_00023342|Pjv1_00023343|Pjv1_00026848	4.45017912260464e-05	0.0021138350832372
GO:0020037	MF	heme binding	Pjv1_00000537|Pjv1_00000670|Pjv1_00001749|Pjv1_00002267|Pjv1_00003155|Pjv1_00003576|Pjv1_00003606|Pjv1_00003613|Pjv1_00003940|Pjv1_00005306|Pjv1_00005312|Pjv1_00006740|Pjv1_00007420|Pjv1_00007586|Pjv1_00007588|Pjv1_00010721|Pjv1_00010750|Pjv1_00020190|Pjv1_00020455|Pjv1_00020715|Pjv1_00020716|Pjv1_00020717|Pjv1_00023036|Pjv1_00026356|Pjv1_00027067|Pjv1_00027790|Pjv1_00029799|Pjv1_00030004|Pjv1_00030006	0.000120047326367512	0.00456179840196546
GO:0016491	MF	oxidoreductase activity	Pjv1_00000494|Pjv1_00000938|Pjv1_00001014|Pjv1_00001795|Pjv1_00002059|Pjv1_00002170|Pjv1_00003449|Pjv1_00004673|Pjv1_00006519|Pjv1_00006656|Pjv1_00008747|Pjv1_00009124|Pjv1_00009125|Pjv1_00009950|Pjv1_00011623|Pjv1_00011774|Pjv1_00013870|Pjv1_00013872|Pjv1_00014300|Pjv1_00014632|Pjv1_00014634|Pjv1_00015311|Pjv1_00017005|Pjv1_00017008|Pjv1_00017011|Pjv1_00017224|Pjv1_00018222|Pjv1_00018223|Pjv1_00018865|Pjv1_00020225|Pjv1_00020279|Pjv1_00022642|Pjv1_00023343|Pjv1_00025995|Pjv1_00026632|Pjv1_00026848|Pjv1_00027157|Pjv1_00027935|Pjv1_00030325	0.000171478228846278	0.00543014391346547
GO:0016682	MF	oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor	Pjv1_00009124|Pjv1_00014632|Pjv1_00014634|Pjv1_00020225|Pjv1_00026848	0.000402112130212067	0.0109144721057561
GO:0015078	MF	proton transmembrane transporter activity	Pjv1_00000671|Pjv1_00007585|Pjv1_00012116|Pjv1_00015616|Pjv1_00017138|Pjv1_00029666|Pjv1_00029667|Pjv1_00030013	0.000501167940950288	0.0119027385975693
GO:0005506	MF	iron ion binding	Pjv1_00000537|Pjv1_00000670|Pjv1_00002267|Pjv1_00002671|Pjv1_00002683|Pjv1_00003155|Pjv1_00003576|Pjv1_00003606|Pjv1_00003613|Pjv1_00005306|Pjv1_00005312|Pjv1_00006740|Pjv1_00007586|Pjv1_00007588|Pjv1_00010721|Pjv1_00010750|Pjv1_00011774|Pjv1_00020455|Pjv1_00020715|Pjv1_00020716|Pjv1_00020717|Pjv1_00023036|Pjv1_00027067|Pjv1_00027790|Pjv1_00029799|Pjv1_00030004|Pjv1_00030006	0.000728903425676118	0.015387961208718
GO:0003677	MF	DNA binding	Pjv1_00000424|Pjv1_00000429|Pjv1_00003663|Pjv1_00005174|Pjv1_00005479|Pjv1_00010091|Pjv1_00010422|Pjv1_00010959|Pjv1_00012307|Pjv1_00013404|Pjv1_00015427|Pjv1_00017034|Pjv1_00017673|Pjv1_00018364|Pjv1_00019092|Pjv1_00019098|Pjv1_00022227|Pjv1_00022353|Pjv1_00024977|Pjv1_00025989|Pjv1_00027017|Pjv1_00027018|Pjv1_00027617|Pjv1_00027631|Pjv1_00029603	0.00396699064766371	0.0540649117409742
