"method","gold_set","K","gold_size","tp","precision","recall","f1","auroc"
"guided_pls","graft_At",100,2707,5,0.05,0.0018470631695604,0.00356252226576416,NA
"guided_pls","graft_At",200,2707,11,0.055,0.00406353897303288,0.00756793945648435,NA
"guided_pls","graft_At",500,2707,44,0.088,0.0162541558921315,0.0274399750545681,NA
"guided_pls","graft_At",1000,2707,126,0.126,0.0465459918729221,0.0679794982465606,NA
"guided_pls","graft_At",NA,2707,NA,NA,NA,NA,0.288480979438071
"guided_pls","graft_Pj",100,2532,1,0.01,0.000394944707740916,0.000759878419452888,NA
"guided_pls","graft_Pj",200,2532,4,0.02,0.00157977883096367,0.00292825768667643,NA
"guided_pls","graft_Pj",500,2532,27,0.054,0.0106635071090047,0.0178100263852243,NA
"guided_pls","graft_Pj",1000,2532,94,0.094,0.0371248025276461,0.0532276330690827,NA
"guided_pls","graft_Pj",NA,2532,NA,NA,NA,NA,0.302380101955904
"guided_pls","time1d_At",100,622,9,0.09,0.0144694533762058,0.0249307479224377,NA
"guided_pls","time1d_At",200,622,16,0.08,0.0257234726688103,0.0389294403892944,NA
"guided_pls","time1d_At",500,622,75,0.15,0.120578778135048,0.133689839572193,NA
"guided_pls","time1d_At",1000,622,181,0.181,0.290996784565916,0.223181257706535,NA
"guided_pls","time1d_At",NA,622,NA,NA,NA,NA,0.545184266847244
"guided_pls","time1d_Pj",100,428,1,0.01,0.00233644859813084,0.00378787878787879,NA
"guided_pls","time1d_Pj",200,428,7,0.035,0.0163551401869159,0.0222929936305732,NA
"guided_pls","time1d_Pj",500,428,42,0.084,0.0981308411214953,0.0905172413793104,NA
"guided_pls","time1d_Pj",1000,428,97,0.097,0.226635514018692,0.135854341736695,NA
"guided_pls","time1d_Pj",NA,428,NA,NA,NA,NA,0.547618171560331
"guided_pls","time7d_At",100,57,0,0,0,0,NA
"guided_pls","time7d_At",200,57,2,0.01,0.0350877192982456,0.0155642023346303,NA
"guided_pls","time7d_At",500,57,3,0.006,0.0526315789473684,0.0107719928186715,NA
"guided_pls","time7d_At",1000,57,7,0.007,0.12280701754386,0.0132450331125828,NA
"guided_pls","time7d_At",NA,57,NA,NA,NA,NA,0.410426227413567
"guided_pls","time7d_Pj",100,35,0,0,0,0,NA
"guided_pls","time7d_Pj",200,35,0,0,0,0,NA
"guided_pls","time7d_Pj",500,35,8,0.016,0.228571428571429,0.0299065420560748,NA
"guided_pls","time7d_Pj",1000,35,16,0.016,0.457142857142857,0.0309178743961353,NA
"guided_pls","time7d_Pj",NA,35,NA,NA,NA,NA,0.718216084016688
"guided_pls","time14d_At",100,334,7,0.07,0.0209580838323353,0.032258064516129,NA
"guided_pls","time14d_At",200,334,33,0.165,0.0988023952095808,0.123595505617978,NA
"guided_pls","time14d_At",500,334,83,0.166,0.248502994011976,0.199040767386091,NA
"guided_pls","time14d_At",1000,334,139,0.139,0.416167664670659,0.208395802098951,NA
"guided_pls","time14d_At",NA,334,NA,NA,NA,NA,0.681083824635341
"guided_pls","time14d_Pj",100,193,14,0.14,0.0725388601036269,0.0955631399317406,NA
"guided_pls","time14d_Pj",200,193,19,0.095,0.0984455958549223,0.0966921119592875,NA
"guided_pls","time14d_Pj",500,193,49,0.098,0.253886010362694,0.141414141414141,NA
"guided_pls","time14d_Pj",1000,193,86,0.086,0.44559585492228,0.1441743503772,NA
"guided_pls","time14d_Pj",NA,193,NA,NA,NA,NA,0.680073640448784
"rbh_pls","graft_At",100,74,73,0.73,0.986486486486487,0.839080459770115,NA
"rbh_pls","graft_At",200,74,74,0.691588785046729,1,0.81767955801105,NA
"rbh_pls","graft_At",500,74,74,0.691588785046729,1,0.81767955801105,NA
"rbh_pls","graft_At",1000,74,74,0.691588785046729,1,0.81767955801105,NA
"rbh_pls","graft_At",NA,74,NA,NA,NA,NA,0.866912366912367
"rbh_pls","graft_Pj",100,80,80,0.8,1,0.888888888888889,NA
"rbh_pls","graft_Pj",200,80,80,0.747663551401869,1,0.855614973262032,NA
