"method","dim","species","condition","neg_log10_p","odds_ratio","n_overlap","n_top","n_deg"
"guided_pls",1,"At","0d",52.5540122023921,182.773472304757,199,200,2707
"guided_pls",1,"Pj","0d",60.8559576758781,Inf,200,200,2532
"guided_pls",1,"At","1d",3.35220566333932e-09,0.138129476026117,4,200,622
"guided_pls",1,"Pj","1d",0.185907749216648,0.926136196342389,16,200,428
"guided_pls",1,"At","2d",0,0,0,200,1
"guided_pls",1,"Pj","2d",0,0,0,200,25
"guided_pls",1,"At","3d",0,0,0,200,0
"guided_pls",1,"Pj","3d",0,0,0,200,0
"guided_pls",1,"At","4d",0,0,0,200,4
"guided_pls",1,"Pj","4d",0,0,0,200,1
"guided_pls",1,"At","5d",0,0,0,200,1
"guided_pls",1,"Pj","5d",0,0,0,200,1
"guided_pls",1,"At","6d",0,0,0,200,1
"guided_pls",1,"Pj","6d",0,0,0,200,0
"guided_pls",1,"At","7d",0,0,0,200,57
"guided_pls",1,"Pj","7d",0,0,0,200,35
"guided_pls",1,"At","14d",0,0,0,200,334
"guided_pls",1,"Pj","14d",0.000140390266284996,0.120625792588179,1,200,193
"guided_pls",1,"At","graft",52.5540122023921,182.773472304757,199,200,2707
"guided_pls",1,"Pj","graft",60.8559576758781,Inf,200,200,2532
"guided_pls",2,"At","0d",0,0.1690174748351,35,200,2707
"guided_pls",2,"Pj","0d",0,0.0682694004384604,14,200,2532
"guided_pls",2,"At","1d",21.1790554048757,4.88509044612634,77,200,622
"guided_pls",2,"Pj","1d",12.0398191760081,3.89810826371856,50,200,428
"guided_pls",2,"At","2d",1.39794000867204,Inf,1,200,1
"guided_pls",2,"Pj","2d",1.78938177234632,4.64074743676943,4,200,25
"guided_pls",2,"At","3d",0,0,0,200,0
"guided_pls",2,"Pj","3d",0,0,0,200,0
"guided_pls",2,"At","4d",0,0,0,200,4
"guided_pls",2,"Pj","4d",0,0,0,200,1
"guided_pls",2,"At","5d",0,0,0,200,1
"guided_pls",2,"Pj","5d",0,0,0,200,1
"guided_pls",2,"At","6d",0,0,0,200,1
"guided_pls",2,"Pj","6d",0,0,0,200,0
"guided_pls",2,"At","7d",0.043977110685038,0.425750295950371,1,200,57
"guided_pls",2,"Pj","7d",0.385713054175678,1.45898356280746,2,200,35
"guided_pls",2,"At","14d",4.73752235881481,2.60915043872959,30,200,334
"guided_pls",2,"Pj","14d",6.30109217911441,3.73523911091096,24,200,193
"guided_pls",2,"At","graft",0,0.1690174748351,35,200,2707
"guided_pls",2,"Pj","graft",0,0.0682694004384604,14,200,2532
"guided_pls",3,"At","0d",0,0.0589141937624904,14,200,2707
