"method","species","K","precision","recall","f1","gold_size","tp","auroc"
"guided_pls","At",100,0.12,0.0194805194805195,0.0335195530726257,616,12,NA
"guided_pls","Pj",100,0,0,0,42,0,NA
"guided_pls","At",200,0.085,0.0275974025974026,0.0416666666666667,616,17,NA
"guided_pls","Pj",200,0,0,0,42,0,NA
"guided_pls","At",500,0.088,0.0714285714285714,0.0788530465949821,616,44,NA
"guided_pls","Pj",500,0,0,0,42,0,NA
"guided_pls","At",NA,NA,NA,NA,616,NA,0.493563889349701
"guided_pls","Pj",NA,NA,NA,NA,42,NA,0.490942968554909
"rbh_pls","At",100,0.21,0.0340909090909091,0.058659217877095,616,21,NA
"rbh_pls","Pj",100,0.2,0.476190476190476,0.28169014084507,42,20,NA
"rbh_pls","At",200,0.205607476635514,0.0357142857142857,0.0608575380359613,616,22,NA
"rbh_pls","Pj",200,0.205607476635514,0.523809523809524,0.295302013422819,42,22,NA
"rbh_pls","At",500,0.205607476635514,0.0357142857142857,0.0608575380359613,616,22,NA
"rbh_pls","Pj",500,0.205607476635514,0.523809523809524,0.295302013422819,42,22,NA
"rbh_pls","At",NA,NA,NA,NA,616,NA,0.505347593582888
"rbh_pls","Pj",NA,NA,NA,NA,42,NA,0.512299465240642
"guided_pca","At",100,0.08,0.012987012987013,0.0223463687150838,616,8,NA
"guided_pca","Pj",100,0,0,0,42,0,NA
"guided_pca","At",200,0.095,0.0308441558441558,0.0465686274509804,616,19,NA
"guided_pca","Pj",200,0.015,0.0714285714285714,0.0247933884297521,42,3,NA
"guided_pca","At",500,0.098,0.0795454545454545,0.0878136200716846,616,49,NA
"guided_pca","Pj",500,0.018,0.214285714285714,0.033210332103321,42,9,NA
"guided_pca","At",NA,NA,NA,NA,616,NA,0.472288176011944
"guided_pca","Pj",NA,NA,NA,NA,42,NA,0.532981809101212
"pca","At",100,0.12,0.0194805194805195,0.0335195530726257,616,12,NA
"pca","Pj",100,0,0,0,42,0,NA
"pca","At",200,0.145,0.0470779220779221,0.071078431372549,616,29,NA
"pca","Pj",200,0.01,0.0476190476190476,0.0165289256198347,42,2,NA
"pca","At",500,0.15,0.121753246753247,0.134408602150538,616,75,NA
"pca","Pj",500,0.016,0.19047619047619,0.029520295202952,42,8,NA
"pca","At",NA,NA,NA,NA,616,NA,0.572272475471609
"pca","Pj",NA,NA,NA,NA,42,NA,0.618221633147006
