"method","deg_condition","best_dim_At","jaccard_At","best_dim_Pj","jaccard_Pj"
"guided_pls","0d+","Dim1+",0.54320987654321,"Dim1+",0.577287066246057
"guided_pls","0d-","Dim1-",0.607717041800643,"Dim1-",0.615508885298869
"guided_pls","1d+","Dim2+",0.298701298701299,"Dim2+",0.379310344827586
"guided_pls","1d-","Dim2-",0.212121212121212,"Dim2-",0.141552511415525
"guided_pls","2d+","Dim2+",0.305483028720627,"Dim2+",0.275510204081633
"guided_pls","2d-","Dim2-",0.2531328320802,"Dim2-",0.172332942555686
"guided_pls","3d+","Dim2+",0.152073732718894,"Dim4-",0.152073732718894
"guided_pls","3d-","Dim1+",0.16144018583043,"Dim4+",0.146788990825688
"guided_pls","4d+","Dim4-",0.177856301531213,"Dim3-",0.173708920187793
"guided_pls","4d-","Dim1+",0.234567901234568,"Dim1+",0.160092807424594
"guided_pls","5d+","Dim1-",0.118568232662192,"Dim1-",0.111111111111111
"guided_pls","5d-","Dim1+",0.223990208078335,"Dim1+",0.326259946949602
"guided_pls","6d+","Dim4+",0.140250855188141,"Dim4+",0.165501165501166
"guided_pls","6d-","Dim1+",0.20627261761158,"Dim1+",0.305483028720627
"guided_pls","7d+","Dim4+",0.135073779795687,"Dim4+",0.20627261761158
"guided_pls","7d-","Dim1+",0.20627261761158,"Dim1+",0.2531328320802
"guided_pls","14d+","Dim3+",0.285347043701799,"Dim3+",0.272264631043257
"guided_pls","14d-","Dim2+",0.186239620403321,"Dim2+",0.201923076923077
"guided_pls","graft+","Dim1-",0.607717041800643,"Dim1-",0.615508885298869
"guided_pls","graft-","Dim1+",0.54320987654321,"Dim1+",0.577287066246057
"guided_pls","MEAN_BEST","",0.279962265233939,"",0.291445538353394
"guided_pls","N_DISTINCT_DIMS","7",NA,"8",NA
"rbh_pls","0d+","Dim1-",0.476190476190476,"Dim1-",0.416666666666667
"rbh_pls","0d-","Dim1+",0.428571428571429,"Dim1+",0.411764705882353
"rbh_pls","1d+","Dim2+",0.111111111111111,"Dim2+",0.32
"rbh_pls","1d-","Dim1+",0.266666666666667,"Dim2-",0.294117647058824
"rbh_pls","2d+","Dim2+",0.214285714285714,"Dim2+",0.333333333333333
"rbh_pls","2d-","Dim4+",0.333333333333333,"Dim2-",0.294117647058824
"rbh_pls","3d+","Dim2+",0.333333333333333,"Dim2+",0.133333333333333
"rbh_pls","3d-","Dim1-",0.352941176470588,"Dim2-",0.352941176470588
"rbh_pls","4d+","Dim2+",0.117647058823529,"Dim3-",0.125
"rbh_pls","4d-","Dim1-",0.333333333333333,"Dim1-",0.5
"rbh_pls","5d+","Dim3+",0.166666666666667,"Dim4+",0.157894736842105
"rbh_pls","5d-","Dim1-",0.272727272727273,"Dim1-",0.321428571428571
"rbh_pls","6d+","Dim4+",0.384615384615385,"Dim1+",0.25
"rbh_pls","6d-","Dim1-",0.476190476190476,"Dim1-",0.380952380952381
"rbh_pls","7d+","Dim4+",0.384615384615385,"Dim2-",0.307692307692308
"rbh_pls","7d-","Dim1-",0.434782608695652,"Dim1-",0.25
"rbh_pls","14d+","Dim2-",0.5,"Dim4-",0.333333333333333
"rbh_pls","14d-","Dim2+",0.3,"Dim2+",0.260869565217391
"rbh_pls","graft+","Dim1+",0.428571428571429,"Dim1+",0.411764705882353
