GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0071456	BP	cellular response to hypoxia	AT1G07135|AT1G07400|AT1G54050|AT1G61340|AT1G66090|AT1G67360|AT1G72900|AT1G72920|AT1G72940|AT1G73010|AT1G74310|AT1G76640|AT1G76650|AT1G77120|AT2G01150|AT2G22500|AT2G26150|AT2G26560|AT2G36800|AT2G41100|AT2G46400|AT3G04640|AT3G46080|AT3G46230|AT3G56880|AT4G01250|AT4G01360|AT4G10250|AT4G13395|AT4G24110|AT4G24570|AT4G29780|AT5G12020|AT5G12030|AT5G20150|AT5G20230|AT5G25250|AT5G42380|AT5G47910|AT5G54490|AT5G57220|AT5G57560	8.04996938504081e-24	3.97668487621016e-21
GO:0009408	BP	response to heat	AT1G07400|AT1G12610|AT1G15520|AT1G16030|AT1G28210|AT1G53540|AT1G54050|AT1G74310|AT2G26150|AT2G29500|AT2G47180|AT3G09350|AT3G12580|AT3G46230|AT3G61190|AT4G10250|AT5G03720|AT5G12020|AT5G12030|AT5G47910|AT5G52640|AT5G57560	1.20354713251234e-12	2.97276141730549e-10
GO:0010200	BP	response to chitin	AT1G20823|AT1G80840|AT2G17040|AT2G26150|AT2G34600|AT2G37430|AT2G44840|AT2G46400|AT3G23250|AT3G28210|AT3G46080|AT4G01250|AT4G23810|AT4G31800|AT4G34410|AT5G03720|AT5G10380|AT5G47220|AT5G49520	1.94480503989049e-08	3.202445632353e-06
GO:0009751	BP	response to salicylic acid	AT1G15520|AT1G21910|AT1G28480|AT1G61340|AT1G79680|AT1G80840|AT2G46400|AT3G61190|AT4G10500|AT4G23170|AT4G23810|AT4G31800|AT4G39030	6.98737560063323e-08	8.62940886678204e-06
GO:0042542	BP	response to hydrogen peroxide	AT1G04580|AT1G07400|AT1G20620|AT1G53540|AT1G54050|AT1G77120|AT2G26150|AT2G29500|AT3G46230|AT4G10250|AT4G23810|AT5G12020|AT5G12030	1.31323390069175e-07	1.29747509388345e-05
GO:0009651	BP	response to salt stress	AT1G07400|AT1G12610|AT1G52400|AT1G53540|AT1G54050|AT1G56600|AT1G61340|AT1G77120|AT2G29500|AT2G38170|AT2G38340|AT2G44450|AT2G44460|AT2G47180|AT2G47190|AT3G09350|AT3G23250|AT3G46230|AT3G56880|AT3G60120|AT3G60140|AT4G10250|AT4G17615|AT5G12020|AT5G12030|AT5G22500|AT5G49630|AT5G58670	3.47372750038539e-07	2.86003564198397e-05
GO:0006457	BP	protein folding	AT1G07400|AT1G16030|AT1G28210|AT1G53540|AT1G54050|AT2G29500|AT3G12580|AT3G46230|AT4G10250|AT5G12020|AT5G12030|AT5G52640	1.20774462014439e-06	8.52322631930467e-05
GO:0006979	BP	response to oxidative stress	AT1G05240|AT1G07400|AT1G13340|AT1G20620|AT1G56600|AT1G75280|AT2G18150|AT2G29500|AT2G47180|AT4G04840|AT4G11280|AT4G21840|AT4G21850|AT4G39640|AT5G06720|AT5G06730|AT5G16960|AT5G16970|AT5G16980|AT5G20230|AT5G37980|AT5G38000	6.08476717995253e-06	0.000348250278562931
GO:0009617	BP	response to bacterium	AT1G61340|AT1G72520|AT1G79680|AT2G23150|AT2G30750|AT2G46400|AT3G12580|AT3G50930|AT4G10500|AT4G23810|AT5G10380|AT5G49520|AT5G57220	6.34464070256352e-06	0.000348250278562931
GO:0051259	BP	protein complex oligomerization	AT1G07400|AT1G53540|AT1G54050|AT2G29500|AT3G46230|AT4G10250|AT5G12020|AT5G12030	7.28053527782916e-06	0.000359658442724761
