GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005829	CC	cytosol	AT1G04700|AT1G12550|AT1G58070|AT1G76790|AT2G29440|AT2G45470|AT2G46140|AT3G09940|AT3G14310|AT3G48940|AT4G01830|AT4G04840|AT4G12730|AT4G21830|AT4G21840|AT4G21850|AT4G24340|AT5G07460|AT5G15950|AT5G39320|AT5G44110	5.83856097741788e-10	4.9627768308052e-08
GO:0005871	CC	kinesin complex	AT1G20060|AT3G17360|AT3G44050|AT3G54870|AT4G14150|AT4G14330|AT4G26660|AT5G54670|AT5G55520	2.51821033475449e-06	0.000107023939227066
GO:0005874	CC	microtubule	AT1G20060|AT1G59850|AT2G07170|AT3G17360|AT3G44050|AT3G54870|AT4G14150|AT4G14330|AT4G17220|AT4G26660|AT5G54670|AT5G55520	1.19852949011672e-05	0.000339583355533072
GO:0009507	CC	chloroplast	AT1G05810|AT1G09575|AT1G11450|AT1G12550|AT1G12740|AT1G15370|AT1G20850|AT1G23090|AT1G25220|AT1G28410|AT1G28530|AT1G62870|AT1G66270|AT1G74710|AT2G17630|AT2G22330|AT2G27740|AT2G31270|AT2G34790|AT2G38500|AT2G43100|AT2G45470|AT3G01670|AT3G07420|AT3G10050|AT3G15357|AT3G15650|AT3G16690|AT3G23890|AT3G24020|AT3G29680|AT3G32030|AT3G50130|AT3G50140|AT3G54870|AT3G55690|AT3G56100|AT3G59100|AT4G01440|AT4G02270|AT4G14150|AT4G14330|AT4G18340|AT4G21830|AT4G21840|AT4G21850|AT4G24380|AT4G26660|AT4G30410|AT4G32780|AT4G34560|AT4G36950|AT4G39030|AT5G02600|AT5G05270|AT5G05590|AT5G16250|AT5G24100|AT5G36710|AT5G37180|AT5G42590|AT5G43990|AT5G45840|AT5G47980|AT5G48740|AT5G50010|AT5G55520|AT5G55730|AT5G61350|AT5G65140|AT5G66230	1.61696422316466e-05	0.00034360489742249
GO:0009941	CC	chloroplast envelope	AT4G39030	2.06798534136865e-05	0.000351557508032671
GO:0005576	CC	extracellular region	AT1G01620|AT1G03870|AT1G04040|AT1G05240|AT1G05250|AT1G10380|AT1G21880|AT1G24485|AT1G26450|AT1G30870|AT1G32860|AT1G32970|AT1G48930|AT1G52910|AT1G53830|AT1G55210|AT1G58370|AT1G60390|AT1G62980|AT1G62981|AT1G63300|AT1G67870|AT1G77700|AT2G02130|AT2G03090|AT2G14900|AT2G22170|AT2G25160|AT2G35860|AT2G38080|AT2G41300|AT2G46740|AT3G03220|AT3G10720|AT3G18170|AT3G25655|AT3G29250|AT3G29780|AT3G32047|AT3G49960|AT3G52370|AT4G08160|AT4G11190|AT4G12510|AT4G12520|AT4G12730|AT4G18340|AT4G19410|AT4G20050|AT4G21326|AT4G22010|AT4G22080|AT4G22212|AT4G22235|AT4G24760|AT4G26010|AT4G27290|AT4G28850|AT4G30320|AT4G35350|AT4G38660|AT5G01040|AT5G02260|AT5G05960|AT5G06390|AT5G06770|AT5G18460|AT5G19110|AT5G23820|AT5G26260|AT5G38610|AT5G38940|AT5G40150|AT5G42500|AT5G42590|AT5G44020|AT5G46900|AT5G50150|AT5G57530|AT5G57625|AT5G59090|AT5G66920|AT5G67400	4.09338861295252e-05	0.000579896720168274
GO:0009570	CC	chloroplast stroma	AT2G17630|AT2G43100	0.000111818782939293	0.00135779950711999
GO:0005739	CC	mitochondrion	AT1G06490|AT1G06515|AT1G09190|AT1G09575|AT1G11000|AT1G11450|AT1G12740|AT1G25220|AT1G53450|AT1G53920|AT1G66270|AT1G67630|AT1G70550|AT1G72270|AT1G75500|AT1G78120|AT1G78260|AT2G02130|AT2G04780|AT2G07724|AT2G20500|AT2G37280|AT2G46535|AT3G06040|AT3G07420|AT3G10310|AT3G10710|AT3G15200|AT3G26950|AT3G41762|AT3G49845|AT3G59680|AT4G00880|AT4G04840|AT4G11170|AT4G20240|AT4G21830|AT4G21850|AT4G22760|AT4G24380|AT4G26010|AT4G34580|AT4G39030|AT5G03995|AT5G04960|AT5G09978|AT5G12340|AT5G19020|AT5G19560|AT5G26730|AT5G36710|AT5G39350|AT5G47990|AT5G54670|ATMG00970	0.00149275482727523	0.0158605200397993
GO:0009536	CC	plastid	AT1G74710|AT2G43100|AT4G39030|AT5G44020|AT5G55730|AT5G61130|AT5G66280	0.00273464943955052	0.0250357918543975
GO:0009579	CC	thylakoid	AT2G22170	0.00294538727698794	0.0250357918543975
GO:0048226	CC	Casparian strip	AT2G27370|AT2G28670|AT2G36100	0.003582726495567	0.0276847047384722
GO:0005618	CC	cell wall	AT1G04040|AT1G20850|AT1G54970|AT1G58370|AT2G02130|AT2G34790|AT2G46740|AT3G06130|AT3G14310|AT3G62680|AT4G14310|AT4G18780|AT4G19410|AT5G05160|AT5G37180|AT5G38940|AT5G55730|AT5G57530|AT5G66920	0.00399612477955068	0.0283058838551507
GO:0005886	CC	plasma membrane	AT1G01620|AT1G02730|AT1G03870|AT1G06490|AT1G08090|AT1G08560|AT1G11450|AT1G16370|AT1G17750|AT1G21880|AT1G22710|AT1G25530|AT1G32860|AT1G33080|AT1G43790|AT1G47670|AT1G53440|AT1G58070|AT1G63295|AT1G75500|AT1G75820|AT2G01950|AT2G04780|AT2G18196|AT2G21050|AT2G27370|AT2G35190|AT2G35890|AT2G36100|AT2G36570|AT2G37280|AT2G44830|AT2G45470|AT2G46140|AT3G01810|AT3G07195|AT3G10660|AT3G14310|AT3G17690|AT3G21600|AT3G48940|AT3G49845|AT3G55940|AT3G56100|AT3G57220|AT3G59100|AT3G61380|AT4G00670|AT4G01440|AT4G01450|AT4G12730|AT4G18780|AT4G19030|AT4G20270|AT4G24340|AT4G25090|AT4G26320|AT4G27290|AT4G31820|AT4G34580|AT4G38050|AT4G40090|AT5G01360|AT5G01890|AT5G04080|AT5G04890|AT5G05160|AT5G07460|AT5G09220|AT5G10430|AT5G23810|AT5G40300|AT5G42860|AT5G44110|AT5G45840|AT5G51060|AT5G53250|AT5G54590|AT5G55730|AT5G56540|AT5G60660|AT5G60800|AT5G61130|AT5G61350|AT5G62820|AT5G63850|AT5G65280	0.00498476591419128	0.0325927002081738
GO:0009534	CC	chloroplast thylakoid	AT2G17630	0.00889990794210886	0.0540351553628038
