GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005739	CC	mitochondrion	AT1G11450|AT1G14730|AT1G19570|AT1G22160|AT1G51355|AT1G61600|AT1G68560|AT1G69160|AT1G69530|AT1G70550|AT1G70830|AT1G75280|AT1G75500|AT1G78320|AT2G01520|AT2G02100|AT2G02130|AT2G37280|AT2G37360|AT3G04030|AT3G05640|AT3G12870|AT3G24770|AT3G28540|AT3G30720|AT3G48185|AT3G59680|AT3G63450|AT4G00880|AT4G13195|AT4G13290|AT4G15910|AT4G20240|AT5G03545|AT5G09445|AT5G53730|AT5G53880|AT5G56120|AT5G62890|AT5G64190|AT5G65970	7.19407571193987e-07	5.03585299835791e-05
GO:0005576	CC	extracellular region	AT1G04310|AT1G10380|AT1G11190|AT1G11330|AT1G26450|AT1G29980|AT1G31710|AT1G41830|AT1G45201|AT1G47960|AT1G48750|AT1G52400|AT1G54575|AT1G60390|AT1G63057|AT1G64390|AT1G67870|AT1G68560|AT1G69530|AT1G73330|AT2G02100|AT2G02120|AT2G02130|AT2G02850|AT2G03090|AT2G18150|AT2G18370|AT2G22920|AT2G25060|AT2G29660|AT2G32990|AT2G33850|AT2G34490|AT2G35150|AT2G37870|AT2G39700|AT2G42840|AT2G43590|AT3G09820|AT3G10080|AT3G13784|AT3G15353|AT3G17520|AT3G23450|AT3G45010|AT3G48340|AT3G53190|AT3G53240|AT3G61820|AT3G62730|AT4G01390|AT4G11190|AT4G11320|AT4G12290|AT4G17030|AT4G21326|AT4G24780|AT4G28250|AT4G29700|AT4G30020|AT4G33550|AT4G36360|AT4G36430|AT4G37250|AT4G37800|AT5G05960|AT5G06720|AT5G06730|AT5G07030|AT5G07570|AT5G10310|AT5G22860|AT5G23820|AT5G23830|AT5G25610|AT5G26670|AT5G36110|AT5G38910|AT5G40150|AT5G50150|AT5G50260|AT5G55180|AT5G56530	4.09338861295252e-05	0.00143268601453338
GO:0009507	CC	chloroplast	AT1G07430|AT1G11450|AT1G18870|AT1G19570|AT1G52400|AT1G52410|AT1G69870|AT1G70830|AT1G77760|AT2G16890|AT2G18360|AT2G22330|AT2G24762|AT2G30860|AT2G32720|AT2G36250|AT2G38170|AT2G43840|AT3G01670|AT3G03470|AT3G08860|AT3G09070|AT3G10780|AT3G16470|AT3G22810|AT3G25130|AT3G25820|AT3G25830|AT3G29680|AT3G44540|AT3G50770|AT3G51895|AT3G57010|AT3G59100|AT3G62730|AT4G01440|AT4G13280|AT4G14740|AT4G15910|AT4G27520|AT4G29270|AT4G30410|AT4G32810|AT4G34560|AT4G39940|AT4G39950|AT5G01790|AT5G02370|AT5G02600|AT5G07010|AT5G10180|AT5G10920|AT5G15970|AT5G16250|AT5G19600|AT5G22500|AT5G22860|AT5G24770|AT5G28510|AT5G37690|AT5G37970|AT5G37990|AT5G40640|AT5G43990|AT5G44400|AT5G48000|AT5G50010|AT5G54660|AT5G55180|AT5G57350|AT5G59220|AT5G62550|AT5G63710|AT5G64620	6.78383722332813e-05	0.0015828953521099
GO:0005886	CC	plasma membrane	AT1G02730|AT1G11330|AT1G11450|AT1G19570|AT1G22710|AT1G25530|AT1G29980|AT1G31070|AT1G32450|AT1G47670|AT1G51340|AT1G54200|AT1G58360|AT1G62380|AT1G62760|AT1G63295|AT1G68570|AT1G69160|AT1G69870|AT1G73220|AT1G75280|AT1G75500|AT1G77690|AT2G01950|AT2G02100|AT2G18196|AT2G21050|AT2G25060|AT2G30860|AT2G32610|AT2G33205|AT2G35760|AT2G36570|AT2G37280|AT2G43800|AT2G44830|AT3G05640|AT3G07540|AT3G09070|AT3G09820|AT3G13980|AT3G14310|AT3G15990|AT3G16770|AT3G21090|AT3G21600|AT3G24660|AT3G25130|AT3G25560|AT3G28510|AT3G45680|AT3G51670|AT3G51740|AT3G53240|AT3G54720|AT3G56480|AT3G59100|AT3G60720|AT3G62740|AT4G00670|AT4G01440|AT4G01450|AT4G02630|AT4G04810|AT4G15450|AT4G20270|AT4G27520|AT4G29190|AT4G36360|AT4G37890|AT4G38580|AT5G01240|AT5G04080|AT5G04890|AT5G05160|AT5G09220|AT5G14920|AT5G15970|AT5G17700|AT5G17860|AT5G22500|AT5G40640|AT5G46700|AT5G49630|AT5G53880|AT5G57350|AT5G61130|AT5G61480|AT5G62550|AT5G63530|AT5G63850|AT5G64080|AT5G65280	0.000702337779300546	0.0122909111377596
GO:0005773	CC	vacuole	AT1G19570|AT1G22710|AT1G45201|AT1G52400|AT1G52410|AT1G62710|AT2G23610|AT2G25060|AT2G30860|AT2G38170|AT3G16470|AT3G17520|AT3G45010|AT3G60840|AT4G12290|AT4G23670|AT4G27520|AT4G29700|AT4G36360|AT5G23820|AT5G24770|AT5G44670|AT5G62890	0.00215551387555774	0.0215551387555774
GO:0009506	CC	plasmodesma	AT1G41830|AT1G52400|AT1G62380|AT1G68560|AT2G02130|AT2G25060|AT2G30860|AT2G37870|AT2G39700|AT2G43800|AT3G09820|AT3G12870|AT3G15990|AT3G16470|AT3G24660|AT3G51740|AT3G60720|AT3G61820|AT4G14020|AT4G28250|AT4G37890|AT4G38580|AT5G06850|AT5G37980|AT5G44400|AT5G46700|AT5G53730|AT5G57350|AT5G60930|AT5G61130|AT5G62890	0.00158683183285203	0.0215551387555774
GO:0005618	CC	cell wall	AT1G41830|AT1G47960|AT1G62380|AT1G68560|AT2G02100|AT2G02120|AT2G02130|AT2G18150|AT3G10080|AT3G14310|AT3G51740|AT4G13990|AT4G36360|AT4G36430|AT4G38770|AT5G05160|AT5G07030|AT5G38910|AT5G44400|AT5G62890	0.00187206905584251	0.0215551387555774
GO:0009579	CC	thylakoid	AT2G30860	0.00294538727698794	0.0257721386736445
GO:0009535	CC	chloroplast thylakoid membrane	AT1G52410|AT2G25625|AT2G36250	0.00559575448226829	0.0391702813758781
GO:0009570	CC	chloroplast stroma	AT1G19570|AT2G30860|AT2G36250|AT4G32810|AT5G10920	0.00546488526368844	0.0391702813758781
