GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0016168	MF	chlorophyll binding	AT1G29910|AT1G29920|AT1G29930|AT1G61520|AT2G05100|AT2G34420|AT3G47470|AT3G54890|AT3G61470|AT4G10340|ATCG00020	2.41735405717089e-09	8.24317733495274e-07
GO:0090447	MF	glycerol-3-phosphate 2-O-acyltransferase activity	AT1G02390|AT1G06520|AT2G38110|AT3G11430|AT5G06090	5.3086617875394e-05	0.00905126834775468
GO:0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	AT1G13090|AT1G55940|AT3G14620|AT3G26180|AT3G26220|AT4G12330|AT4G13290|AT4G13310|AT5G08250|AT5G23190|AT5G25120|AT5G25130|AT5G36110	8.53765264387247e-05	0.00970446517186837
GO:0020037	MF	heme binding	AT1G13090|AT1G20620|AT1G55940|AT1G68850|AT2G18150|AT2G35380|AT2G47770|AT3G14620|AT3G26180|AT3G26220|AT4G00360|AT4G12330|AT4G13290|AT4G13310|AT4G19230|AT4G37370|AT5G06720|AT5G08250|AT5G23190|AT5G25120|AT5G25130|AT5G36110|AT5G47000|AT5G58860	0.000119146114445791	0.0101572062565037
GO:0004366	MF	glycerol-3-phosphate O-acyltransferase activity	AT1G02390|AT1G06520|AT3G11430|AT5G06090	0.000445510175214371	0.0217027099640144
GO:0102420	MF	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	AT1G02390|AT1G06520|AT3G11430|AT5G06090	0.000445510175214371	0.0217027099640144
GO:0051082	MF	unfolded protein binding	AT1G07400|AT1G16030|AT1G53540|AT1G54050|AT3G12580|AT3G46230|AT5G12020|AT5G12030|AT5G52640	0.000364083602985357	0.0217027099640144
GO:0005506	MF	iron ion binding	AT1G13090|AT1G55940|AT3G14620|AT3G26180|AT3G26220|AT4G00360|AT4G12330|AT4G13290|AT4G13310|AT4G19230|AT4G25700|AT4G37370|AT5G08250|AT5G23190|AT5G25120|AT5G25130|AT5G36110|AT5G58860	0.000629317804346143	0.0244411439136569
GO:0003735	MF	structural constituent of ribosome	AT1G75350	0.000645074179539332	0.0244411439136569
GO:0016791	MF	phosphatase activity	AT1G02390|AT1G06520|AT2G38110|AT3G11430|AT5G06090|AT5G36700	0.000805176225843845	0.0274565093012751
GO:0050062	MF	long-chain-fatty-acyl-CoA reductase activity	AT3G44540|AT3G44550|AT5G22500	0.000994604683241571	0.0308327451804887
GO:0008194	MF	UDP-glycosyltransferase activity	AT2G16890|AT2G36770|AT2G36800|AT2G36970|AT3G21780|AT3G21790|AT5G49690	0.00139127649453923	0.0364942526644521
GO:0042626	MF	ATPase-coupled transmembrane transporter activity	AT2G37360|AT3G30842|AT3G47790|AT3G55090|AT3G60160|AT3G62150|AT5G13580|AT5G19410	0.00132561951838181	0.0364942526644521
GO:0003700	MF	DNA-binding transcription factor activity	AT1G02340|AT1G03790|AT1G17950|AT1G18710|AT1G22985|AT1G25440|AT1G49900|AT1G52890|AT1G64000|AT1G69490|AT2G04038|AT2G20180|AT2G24430|AT2G26150|AT2G38340|AT2G42280|AT2G43010|AT2G43500|AT2G46680|AT2G46830|AT3G01970|AT3G02940|AT3G15500|AT3G16770|AT3G18400|AT3G24310|AT3G46130|AT3G53200|AT3G59060|AT3G61890|AT3G62100|AT4G06746|AT4G08150|AT4G12350|AT4G13480|AT4G18170|AT4G21440|AT4G21750|AT4G28110|AT4G28530|AT5G01380|AT5G06510|AT5G07680|AT5G11060|AT5G17490|AT5G39610|AT5G43840|AT5G56620|AT5G59780|AT5G64530	0.00221269529106392	0.0538949353037711
GO:0045735	MF	nutrient reservoir activity	AT2G18540|AT4G14630|AT5G25610|AT5G38910	0.00252992170633676	0.0575135534573891
GO:0016887	MF	ATP hydrolysis activity	AT1G16030|AT1G64110|AT1G74310|AT2G37360|AT2G39730|AT3G12580|AT3G28580|AT3G47790|AT3G55090|AT3G60160|AT3G62150|AT5G13580|AT5G19410	0.00304074382838165	0.0609937438516555
GO:0043531	MF	ADP binding	AT1G58807|AT1G58848|AT1G59124|AT1G59218|AT1G63360|AT1G72900|AT2G39730|AT3G46530|AT4G16860|AT4G16890|AT5G46490|AT5G49140	0.00292865817622216	0.0609937438516555
GO:0080046	MF	quercetin 4'-O-glucosyltransferase activity	AT1G73880|AT2G36800|AT3G16520	0.003582726495567	0.0610854867494173
GO:0080019	MF	fatty-acyl-CoA reductase (alcohol-forming) activity	AT3G44540|AT3G44550|AT5G22500	0.003582726495567	0.0610854867494173
GO:0102965	MF	alcohol-forming fatty acyl-CoA reductase activity	AT3G44540|AT3G44550|AT5G22500	0.003582726495567	0.0610854867494173
GO:0008422	MF	beta-glucosidase activity	AT1G61810|AT2G44460|AT3G60140|AT4G10060|AT4G27820|AT5G26000	0.00382546897281461	0.062118329510942
GO:0022857	MF	transmembrane transporter activity	AT1G08900|AT1G49960|AT1G71140|AT2G04050|AT2G26690|AT2G40460|AT3G05400|AT3G47790|AT3G56620|AT4G01430|AT4G08290|AT4G21120|AT4G28040|AT5G14940|AT5G61520	0.00609093028903511	0.0944094194800443
GO:0003729	MF	mRNA binding	AT1G06680|AT1G08380|AT1G20620|AT1G29910|AT1G29920|AT1G29930|AT1G42970|AT1G60000|AT1G61520|AT1G67090|AT1G68010|AT2G13360|AT2G34420|AT2G39730|AT3G26650|AT3G45780|AT3G47470|AT3G54890|AT4G02770|AT4G03280|AT4G10340|AT4G12800|AT4G28750|AT4G38970|AT5G04140|AT5G25610|AT5G66570|ATCG00020	0.00834154173929059	0.0945516881154009
GO:0044183	MF	protein folding chaperone	AT1G16030|AT3G12580|AT5G19855	0.00806579588848874	0.0945516881154009
GO:0010181	MF	FMN binding	AT1G17990|AT1G18020|AT3G45780	0.00806579588848874	0.0945516881154009
GO:0046028	MF	electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity	AT1G20340|AT4G03280	0.00998199639927986	0.0945516881154009
GO:0004365	MF	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity	AT1G42970|AT3G26650	0.00998199639927986	0.0945516881154009
GO:0047100	MF	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity	AT1G42970|AT3G26650	0.00998199639927986	0.0945516881154009
GO:0015086	MF	cadmium ion transmembrane transporter activity	AT2G23150|AT4G30110	0.00998199639927986	0.0945516881154009
GO:0016881	MF	acid-amino acid ligase activity	AT2G23170|AT4G37390|AT5G13370	0.00806579588848874	0.0945516881154009
GO:1990841	MF	promoter-specific chromatin binding	AT2G43010|AT3G59060	0.00998199639927986	0.0945516881154009
GO:0034768	MF	(E)-beta-ocimene synthase activity	AT3G25820|AT3G25830	0.00998199639927986	0.0945516881154009
GO:0050551	MF	myrcene synthase activity	AT3G25820|AT3G25830	0.00998199639927986	0.0945516881154009
GO:0102313	MF	1,8-cineole synthase activity	AT3G25820|AT3G25830	0.00998199639927986	0.0945516881154009
GO:0045156	MF	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	AT4G05180|ATCG00020	0.00998199639927986	0.0945516881154009
GO:0008967	MF	phosphoglycolate phosphatase activity	AT5G36700|AT5G36790	0.00998199639927986	0.0945516881154009
GO:0102483	MF	scopolin beta-glucosidase activity	AT1G61810|AT2G44460|AT3G60140|AT4G27820|AT5G26000	0.0103765115007351	0.0956321735608286
