GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0006508	BP	proteolysis	Pjv1_00004892|Pjv1_00008494|Pjv1_00007857|Pjv1_00015557|Pjv1_00022680|Pjv1_00017338|Pjv1_00018139|Pjv1_00019704|Pjv1_00022384|Pjv1_00024709|Pjv1_00027786|Pjv1_00026651|Pjv1_00027747|Pjv1_00028035|Pjv1_00028657|Pjv1_00028660|Pjv1_00029216	1.08962912108229e-05	0.00177609546736413
GO:0009410	BP	response to xenobiotic stimulus	Pjv1_00007525|Pjv1_00016360|Pjv1_00028839|Pjv1_00029825|Pjv1_00029749	9.82102430694792e-06	0.00177609546736413
GO:0045490	BP	pectin catabolic process	Pjv1_00003560|Pjv1_00015411|Pjv1_00015412|Pjv1_00017302|Pjv1_00016178|Pjv1_00016731|Pjv1_00021164|Pjv1_00027035|Pjv1_00025861	7.93590352128652e-05	0.00862368182646468
GO:0008152	BP	metabolic process	Pjv1_00000158|Pjv1_00006573|Pjv1_00003687|Pjv1_00003690|Pjv1_00007857|Pjv1_00007673|Pjv1_00007674|Pjv1_00014214|Pjv1_00014211|Pjv1_00014212|Pjv1_00012401|Pjv1_00010517|Pjv1_00015191|Pjv1_00022680|Pjv1_00023128|Pjv1_00019791|Pjv1_00022658|Pjv1_00019976|Pjv1_00027786|Pjv1_00027747|Pjv1_00026905|Pjv1_00028657|Pjv1_00028660|Pjv1_00028898|Pjv1_00030244|Pjv1_00029944	0.000122782386040437	0.0100067644622956
GO:0042744	BP	hydrogen peroxide catabolic process	Pjv1_00001111|Pjv1_00006230|Pjv1_00006231|Pjv1_00003940|Pjv1_00008604|Pjv1_00007420|Pjv1_00015706|Pjv1_00018994|Pjv1_00018995|Pjv1_00025850|Pjv1_00024982	0.000240082807695313	0.0156533990617344
GO:0009407	BP	toxin catabolic process	Pjv1_00007365|Pjv1_00007369|Pjv1_00007370|Pjv1_00012252|Pjv1_00012255	0.000402112130212067	0.021848092408189
GO:0009636	BP	response to toxic substance	Pjv1_00007365|Pjv1_00007369|Pjv1_00007370|Pjv1_00012252|Pjv1_00012255|Pjv1_00015145	0.000481214835191602	0.0224108623246374
GO:0080167	BP	response to karrikin	Pjv1_00012255|Pjv1_00022295|Pjv1_00023573|Pjv1_00019325|Pjv1_00019326|Pjv1_00025789|Pjv1_00029169|Pjv1_00029402|Pjv1_00030244|Pjv1_00029792	0.000608813541354534	0.0248091518101972
GO:0009851	BP	auxin biosynthetic process	Pjv1_00020660|Pjv1_00016159|Pjv1_00024247|Pjv1_00019949|Pjv1_00026572|Pjv1_00023131	0.000805176225843845	0.0291652721805659
GO:0042545	BP	cell wall modification	Pjv1_00003560|Pjv1_00015411|Pjv1_00015412|Pjv1_00017302|Pjv1_00024190|Pjv1_00025861	0.00126948052331135	0.0376227864181364
GO:2000122	BP	negative regulation of stomatal complex development	Pjv1_00007857|Pjv1_00022680|Pjv1_00027786|Pjv1_00027747|Pjv1_00028657|Pjv1_00028660	0.00126948052331135	0.0376227864181364
