GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0006508	BP	proteolysis	Pjv1_00001789|Pjv1_00006581|Pjv1_00008494|Pjv1_00004084|Pjv1_00007857|Pjv1_00012158|Pjv1_00022680|Pjv1_00024232|Pjv1_00017338|Pjv1_00018137|Pjv1_00018139|Pjv1_00022384|Pjv1_00024709|Pjv1_00027786|Pjv1_00028425|Pjv1_00026651|Pjv1_00029201|Pjv1_00027747|Pjv1_00028035|Pjv1_00028657|Pjv1_00028660|Pjv1_00029216	3.01317389393621e-09	1.06967673234735e-06
GO:0008152	BP	metabolic process	Pjv1_00000158|Pjv1_00004366|Pjv1_00007822|Pjv1_00007857|Pjv1_00006664|Pjv1_00014211|Pjv1_00014212|Pjv1_00018603|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684|Pjv1_00022680|Pjv1_00016146|Pjv1_00024232|Pjv1_00024241|Pjv1_00024777|Pjv1_00022943|Pjv1_00027786|Pjv1_00027109|Pjv1_00022743|Pjv1_00026024|Pjv1_00026046|Pjv1_00029201|Pjv1_00027747|Pjv1_00028983|Pjv1_00028657|Pjv1_00028660|Pjv1_00028898|Pjv1_00029944	6.53408420631631e-06	0.00115979994662115
GO:2000122	BP	negative regulation of stomatal complex development	Pjv1_00007857|Pjv1_00022680|Pjv1_00027786|Pjv1_00029201|Pjv1_00027747|Pjv1_00028983|Pjv1_00028657|Pjv1_00028660	1.53119472305926e-05	0.00181191375562012
GO:0010150	BP	leaf senescence	Pjv1_00007964|Pjv1_00005387|Pjv1_00010767|Pjv1_00011462|Pjv1_00015305|Pjv1_00017660|Pjv1_00021020|Pjv1_00027600|Pjv1_00029634	3.06952346890355e-05	0.0027242020786519
GO:0042128	BP	nitrate assimilation	Pjv1_00000699|Pjv1_00012271|Pjv1_00012272|Pjv1_00019360|Pjv1_00019406|Pjv1_00019408	5.98093462905569e-05	0.00424646358662954
GO:0006412	BP	translation	Pjv1_00000457|Pjv1_00021909|Pjv1_00030204	8.82721017860476e-05	0.00501681229559812
GO:0010117	BP	photoprotection	Pjv1_00005014|Pjv1_00004548|Pjv1_00018761|Pjv1_00028420	9.89230593498221e-05	0.00501681229559812
GO:0009644	BP	response to high light intensity	Pjv1_00005014|Pjv1_00015349|Pjv1_00018521|Pjv1_00018761|Pjv1_00028420	0.000815038273541317	0.0353084662550758
GO:0046471	BP	phosphatidylglycerol metabolic process	Pjv1_00000320|Pjv1_00000321|Pjv1_00021235	0.000994604683241571	0.0353084662550758
GO:0008272	BP	sulfate transport	Pjv1_00018290|Pjv1_00020131|Pjv1_00018071	0.000994604683241571	0.0353084662550758
GO:0015706	BP	nitrate transmembrane transport	Pjv1_00012271|Pjv1_00012272|Pjv1_00019406|Pjv1_00019408	0.00120381398095463	0.0388503602944447
GO:0048527	BP	lateral root development	Pjv1_00008940|Pjv1_00011261|Pjv1_00015277|Pjv1_00019406|Pjv1_00019408	0.00146840796547456	0.0434404023119557
GO:0016114	BP	terpenoid biosynthetic process	Pjv1_00007822|Pjv1_00018681|Pjv1_00018683|Pjv1_00018684	0.00252992170633676	0.0690863235191962
GO:0009615	BP	response to virus	Pjv1_00013383|Pjv1_00009470|Pjv1_00019922	0.003582726495567	0.0908477075661631
GO:0009409	BP	response to cold	Pjv1_00007209|Pjv1_00005034|Pjv1_00004548|Pjv1_00011059|Pjv1_00005204|Pjv1_00017895|Pjv1_00024777|Pjv1_00027249|Pjv1_00028420|Pjv1_00028898	0.00415206405865909	0.0982655160549319
