GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005576	CC	extracellular region	Pjv1_00001948|Pjv1_00002043|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00000726|Pjv1_00002948|Pjv1_00003568|Pjv1_00007078|Pjv1_00000257|Pjv1_00002374|Pjv1_00001732|Pjv1_00001742|Pjv1_00001366|Pjv1_00002758|Pjv1_00005503|Pjv1_00005610|Pjv1_00007113|Pjv1_00008332|Pjv1_00006907|Pjv1_00008116|Pjv1_00010118|Pjv1_00012374|Pjv1_00015379|Pjv1_00012268|Pjv1_00015557|Pjv1_00015952|Pjv1_00016809|Pjv1_00017317|Pjv1_00022684|Pjv1_00019866|Pjv1_00022738|Pjv1_00020780|Pjv1_00020782|Pjv1_00020781|Pjv1_00021861|Pjv1_00021799|Pjv1_00018145|Pjv1_00017384|Pjv1_00021137|Pjv1_00022650|Pjv1_00024188|Pjv1_00025317|Pjv1_00025855|Pjv1_00025861|Pjv1_00026717	1.42097462942026e-08	1.16519919612461e-06
GO:0009535	CC	chloroplast thylakoid membrane	Pjv1_00007756	6.80224687843292e-08	2.7889212201575e-06
GO:0005739	CC	mitochondrion	Pjv1_00002170|Pjv1_00007426	6.41164267232892e-05	0.0017525156637699
GO:0005886	CC	plasma membrane	Pjv1_00002043|Pjv1_00001761|Pjv1_00003110|Pjv1_00006260|Pjv1_00002170|Pjv1_00009538|Pjv1_00003454|Pjv1_00001429|Pjv1_00004309|Pjv1_00011765|Pjv1_00009226|Pjv1_00009227|Pjv1_00010010|Pjv1_00007328|Pjv1_00011299|Pjv1_00008820|Pjv1_00008894|Pjv1_00008275|Pjv1_00011833|Pjv1_00006945|Pjv1_00005203|Pjv1_00013162|Pjv1_00008193|Pjv1_00008197|Pjv1_00012755|Pjv1_00014859|Pjv1_00013312|Pjv1_00013567|Pjv1_00010850|Pjv1_00013550|Pjv1_00009461|Pjv1_00016278|Pjv1_00014770|Pjv1_00016414|Pjv1_00013078|Pjv1_00022326|Pjv1_00017897|Pjv1_00017263|Pjv1_00021181|Pjv1_00017865|Pjv1_00018833|Pjv1_00021571|Pjv1_00023209|Pjv1_00023854|Pjv1_00021688|Pjv1_00020114|Pjv1_00024525|Pjv1_00026200|Pjv1_00026717|Pjv1_00024988|Pjv1_00026248|Pjv1_00025218|Pjv1_00027012|Pjv1_00028899|Pjv1_00028404|Pjv1_00028737|Pjv1_00029297|Pjv1_00030238|Pjv1_00030236|Pjv1_00030329|Pjv1_00030065|Pjv1_00029891	0.000121135804748978	0.00248328399735405
GO:0005840	CC	ribosome	Pjv1_00006586|Pjv1_00024643	0.00027923700800155	0.00457948693122542
GO:0000786	CC	nucleosome	Pjv1_00002091|Pjv1_00001846|Pjv1_00004309|Pjv1_00001020|Pjv1_00011765|Pjv1_00009227|Pjv1_00011156|Pjv1_00014808|Pjv1_00013078|Pjv1_00022035|Pjv1_00022037|Pjv1_00024525|Pjv1_00021480|Pjv1_00021481|Pjv1_00028737	0.000723554072021235	0.00988857231762354
GO:0000139	CC	Golgi membrane	Pjv1_00002367|Pjv1_00008445|Pjv1_00008820|Pjv1_00008275|Pjv1_00012104|Pjv1_00016414|Pjv1_00020594|Pjv1_00018560|Pjv1_00016987|Pjv1_00020412|Pjv1_00024423|Pjv1_00030154	0.00124574881111263	0.0113501558345818
GO:0045335	CC	phagocytic vesicle	Pjv1_00002212|Pjv1_00021688|Pjv1_00029891	0.000994604683241571	0.0113501558345818
GO:0042597	CC	periplasmic space	Pjv1_00004534|Pjv1_00027548|Pjv1_00028763|Pjv1_00029434	0.00120381398095463	0.0113501558345818
GO:0033597	CC	mitotic checkpoint complex	Pjv1_00021747|Pjv1_00021748|Pjv1_00021749	0.003582726495567	0.0293783572636494
