GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0016020	CC	membrane	Pjv1_00003975|Pjv1_00000699|Pjv1_00002506|Pjv1_00006605|Pjv1_00001181|Pjv1_00003098|Pjv1_00003537|Pjv1_00002199|Pjv1_00008604|Pjv1_00011059|Pjv1_00011146|Pjv1_00011821|Pjv1_00006680|Pjv1_00009651|Pjv1_00012533|Pjv1_00012271|Pjv1_00012272|Pjv1_00012820|Pjv1_00017363|Pjv1_00016591|Pjv1_00016337|Pjv1_00016517|Pjv1_00024241|Pjv1_00021217|Pjv1_00023028|Pjv1_00021909|Pjv1_00020015|Pjv1_00024013|Pjv1_00023828|Pjv1_00017597|Pjv1_00025587|Pjv1_00020997|Pjv1_00019406|Pjv1_00019408|Pjv1_00027469|Pjv1_00026926|Pjv1_00025789|Pjv1_00025710|Pjv1_00026435|Pjv1_00026046|Pjv1_00026245|Pjv1_00023132|Pjv1_00029398|Pjv1_00028331	1.90480247714313e-05	0.00175241827897168
GO:0005840	CC	ribosome	Pjv1_00030204	4.15711356975237e-05	0.00191227224208609
GO:0009523	CC	photosystem II	Pjv1_00004548|Pjv1_00005739|Pjv1_00010950|Pjv1_00011901|Pjv1_00011348|Pjv1_00019149|Pjv1_00015603|Pjv1_00023028|Pjv1_00021717|Pjv1_00024160|Pjv1_00030182	0.00228022610767827	0.0599490381617049
GO:0009534	CC	chloroplast thylakoid	Pjv1_00003225|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00017363|Pjv1_00018761|Pjv1_00029689	0.00260647992007413	0.0599490381617049
GO:0009941	CC	chloroplast envelope	Pjv1_00004195|Pjv1_00003225|Pjv1_00005034|Pjv1_00003311|Pjv1_00017363|Pjv1_00020769|Pjv1_00022482|Pjv1_00027249|Pjv1_00025543|Pjv1_00029689	0.00348350177148153	0.0640964325952602
GO:0005886	CC	plasma membrane	Pjv1_00000953|Pjv1_00003975|Pjv1_00002506|Pjv1_00000134|Pjv1_00006382|Pjv1_00001634|Pjv1_00006194|Pjv1_00005111|Pjv1_00004970|Pjv1_00000540|Pjv1_00004581|Pjv1_00005966|Pjv1_00006436|Pjv1_00011146|Pjv1_00005387|Pjv1_00011447|Pjv1_00011490|Pjv1_00013014|Pjv1_00010511|Pjv1_00015078|Pjv1_00015079|Pjv1_00009470|Pjv1_00012271|Pjv1_00012272|Pjv1_00015793|Pjv1_00016461|Pjv1_00016591|Pjv1_00016337|Pjv1_00014282|Pjv1_00019358|Pjv1_00019360|Pjv1_00024241|Pjv1_00022725|Pjv1_00023122|Pjv1_00018940|Pjv1_00025763|Pjv1_00025587|Pjv1_00018071|Pjv1_00020997|Pjv1_00019406|Pjv1_00019408|Pjv1_00025789|Pjv1_00025710|Pjv1_00023175|Pjv1_00027249|Pjv1_00026435|Pjv1_00026245|Pjv1_00026688|Pjv1_00028094|Pjv1_00028003|Pjv1_00028809|Pjv1_00030072|Pjv1_00029540|Pjv1_00029683	0.00479944358389477	0.0735914682863865
GO:0009570	CC	chloroplast stroma	Pjv1_00004195|Pjv1_00003031|Pjv1_00005034|Pjv1_00007115|Pjv1_00007116|Pjv1_00012765|Pjv1_00018537|Pjv1_00018538|Pjv1_00017895|Pjv1_00024241|Pjv1_00022482|Pjv1_00021020|Pjv1_00029142|Pjv1_00025543	0.00569848356643308	0.0748943554445491
GO:0005576	CC	extracellular region	Pjv1_00006819|Pjv1_00001789|Pjv1_00006581|Pjv1_00008494|Pjv1_00000460|Pjv1_00001181|Pjv1_00008604|Pjv1_00007420|Pjv1_00015706|Pjv1_00017755|Pjv1_00017756|Pjv1_00017753|Pjv1_00020190|Pjv1_00024232|Pjv1_00017338|Pjv1_00024902|Pjv1_00018137|Pjv1_00018139|Pjv1_00018386|Pjv1_00019611|Pjv1_00024193|Pjv1_00018998|Pjv1_00028425|Pjv1_00026432|Pjv1_00025448|Pjv1_00026651|Pjv1_00029216|Pjv1_00030211|Pjv1_00030142	0.00905430769545211	0.0757269370892358
GO:0005737	CC	cytoplasm	Pjv1_00005633|Pjv1_00002783|Pjv1_00000323|Pjv1_00008641|Pjv1_00007822|Pjv1_00006075|Pjv1_00008860|Pjv1_00011524|Pjv1_00012765|Pjv1_00012593|Pjv1_00008359|Pjv1_00010984|Pjv1_00021460|Pjv1_00024211|Pjv1_00020116|Pjv1_00020552|Pjv1_00024227|Pjv1_00023565|Pjv1_00027169|Pjv1_00025505|Pjv1_00028331	0.00878875431342253	0.0757269370892358
GO:0048046	CC	apoplast	Pjv1_00000938|Pjv1_00004195|Pjv1_00004673|Pjv1_00007857|Pjv1_00005204|Pjv1_00014925|Pjv1_00016403|Pjv1_00022680|Pjv1_00024241|Pjv1_00027786|Pjv1_00026691|Pjv1_00026651|Pjv1_00026684|Pjv1_00029201|Pjv1_00027747|Pjv1_00028983|Pjv1_00028657|Pjv1_00028660|Pjv1_00029216	0.007404917461749	0.0757269370892358
GO:0010287	CC	plastoglobule	Pjv1_00003311|Pjv1_00008383|Pjv1_00029689|Pjv1_00030221|Pjv1_00030090|Pjv1_00030214	0.00875861673547174	0.0757269370892358
GO:0031012	CC	extracellular matrix	Pjv1_00000460|Pjv1_00019611	0.00998199639927986	0.0765286390611456
