GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0004601	MF	peroxidase activity	Pjv1_00001948|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00002385|Pjv1_00002948|Pjv1_00007078|Pjv1_00001742|Pjv1_00012268|Pjv1_00015952|Pjv1_00017317|Pjv1_00022684|Pjv1_00020780|Pjv1_00020782|Pjv1_00020781|Pjv1_00017384	9.33229100656888e-07	9.42625504617797e-05
GO:0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds	Pjv1_00000257|Pjv1_00002374|Pjv1_00004534|Pjv1_00001366|Pjv1_00005203|Pjv1_00005210|Pjv1_00010901|Pjv1_00013567|Pjv1_00013629|Pjv1_00017131|Pjv1_00017133|Pjv1_00015624|Pjv1_00015962|Pjv1_00022650|Pjv1_00027548|Pjv1_00024824|Pjv1_00028763|Pjv1_00029434	1.00279309001893e-06	9.42625504617797e-05
GO:0003735	MF	structural constituent of ribosome	Pjv1_00006586|Pjv1_00024643	3.0654482000537e-06	0.000192101420536698
GO:0005507	MF	copper ion binding	Pjv1_00000640|Pjv1_00009223|Pjv1_00009224|Pjv1_00008666|Pjv1_00010742|Pjv1_00008193|Pjv1_00012755|Pjv1_00014482|Pjv1_00012374|Pjv1_00012216|Pjv1_00026698|Pjv1_00028223|Pjv1_00028942	4.83918755382887e-05	0.00151627876686638
GO:0016747	MF	acyltransferase activity, transferring groups other than amino-acyl groups	Pjv1_00002406|Pjv1_00001327|Pjv1_00001328|Pjv1_00001336|Pjv1_00001342|Pjv1_00009318|Pjv1_00008611|Pjv1_00006112|Pjv1_00007018|Pjv1_00026662|Pjv1_00028325|Pjv1_00028326|Pjv1_00028322	4.83918755382887e-05	0.00151627876686638
GO:0047183	MF	anthocyanin 5-aromatic acyltransferase activity	Pjv1_00001327|Pjv1_00001328|Pjv1_00001336|Pjv1_00001342|Pjv1_00007018|Pjv1_00028325|Pjv1_00028322	4.53303915940856e-05	0.00151627876686638
GO:0020037	MF	heme binding	Pjv1_00001948|Pjv1_00005658|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00002948|Pjv1_00007078|Pjv1_00001742|Pjv1_00007748|Pjv1_00006740|Pjv1_00008352|Pjv1_00012268|Pjv1_00015952|Pjv1_00017317|Pjv1_00022684|Pjv1_00020780|Pjv1_00020782|Pjv1_00020781|Pjv1_00017384|Pjv1_00021309|Pjv1_00026342|Pjv1_00029837	0.000565019639773637	0.0132779615346805
GO:0005515	MF	protein binding	Pjv1_00005680|Pjv1_00005696|Pjv1_00003568|Pjv1_00003758|Pjv1_00003110|Pjv1_00006261|Pjv1_00003494|Pjv1_00009399|Pjv1_00007390|Pjv1_00009226|Pjv1_00010010|Pjv1_00011299|Pjv1_00008914|Pjv1_00011137|Pjv1_00006703|Pjv1_00011833|Pjv1_00006990|Pjv1_00007254|Pjv1_00013390|Pjv1_00015379|Pjv1_00015147|Pjv1_00018279|Pjv1_00020426|Pjv1_00016688|Pjv1_00021747|Pjv1_00021748|Pjv1_00021749|Pjv1_00024437|Pjv1_00021577|Pjv1_00025709|Pjv1_00025698|Pjv1_00026700|Pjv1_00024385|Pjv1_00024978|Pjv1_00024819|Pjv1_00029906	0.000538046067157003	0.0132779615346805
GO:0003924	MF	GTPase activity	Pjv1_00006260|Pjv1_00015083|Pjv1_00014591|Pjv1_00017769|Pjv1_00028188|Pjv1_00027420	0.00126948052331135	0.0198885281985445
GO:0005200	MF	structural constituent of cytoskeleton	Pjv1_00014591|Pjv1_00017769|Pjv1_00022710|Pjv1_00028188	0.00120381398095463	0.0198885281985445
