GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009768	BP	photosynthesis, light harvesting in photosystem I	AT1G08380|AT1G29920|AT1G29930|AT1G61520|AT2G05100|AT2G34420|AT3G47470|AT3G54890|AT3G61470|AT4G10340	1.93307276259801e-08	9.49138726435623e-06
GO:0009737	BP	response to abscisic acid	AT1G17950|AT1G49720|AT1G51500|AT1G56600|AT1G69260|AT2G05520|AT2G40170|AT2G46680|AT2G47770|AT3G21780|AT3G50980|AT3G61890|AT4G04490|AT4G19810|AT4G37050|AT4G38970|AT5G01520|AT5G15970|AT5G25610|AT5G26000|AT5G37500|AT5G39520|AT5G39610|AT5G52300|AT5G59220|AT5G66400	6.29020839579968e-07	0.000118890908261435
GO:0009416	BP	response to light stimulus	AT1G07720|AT1G20620|AT1G29920|AT1G29930|AT1G61520|AT1G68530|AT2G05100|AT2G34420|AT2G39730|AT3G13450|AT3G26650|AT3G47470|AT3G54890|AT3G60140|AT3G61470|AT4G10340|AT5G04140|AT5G11060	7.26421028073943e-07	0.000118890908261435
GO:2000143	BP	negative regulation of DNA-templated transcription initiation	AT3G27250|AT3G48510|AT5G40790|AT5G40800|AT5G50360|AT5G63350	9.73254661048892e-07	0.000119467009643751
GO:0010150	BP	leaf senescence	AT1G04010|AT1G11190|AT1G17020|AT1G69490|AT1G73220|AT2G39730|AT2G43000|AT4G10500|AT5G39520|AT5G39610|AT5G52300|AT5G59220	7.9739773750215e-06	0.000783044578227112
GO:0009414	BP	response to water deprivation	AT1G17950|AT1G52690|AT1G52890|AT1G56600|AT2G05620|AT2G18050|AT2G38340|AT2G46680|AT3G02480|AT3G15500|AT3G50980|AT3G61890|AT4G02280|AT5G06760|AT5G15970|AT5G37500|AT5G44650|AT5G52300|AT5G59220|AT5G66400	1.37015095606039e-05	0.00112124019904275
GO:0010143	BP	cutin biosynthetic process	AT1G02390|AT1G06520|AT1G49430|AT2G38110|AT3G11430|AT5G06090	2.21260009398593e-05	0.00135798330768386
GO:0010345	BP	suberin biosynthetic process	AT2G37360|AT3G11430|AT3G44540|AT3G44550|AT5G13580|AT5G23190|AT5G58860	2.09587525636578e-05	0.00135798330768386
GO:0009645	BP	response to low light intensity stimulus	AT1G61520|AT2G05100|AT3G47470|AT3G54890|AT3G61470	0.00016738654953442	0.00913186620237781
GO:0009644	BP	response to high light intensity	AT1G61520|AT2G05100|AT2G05620|AT3G47470|AT3G54890|AT3G61470	0.000267050146025684	0.0131121621698611
GO:0009083	BP	branched-chain amino acid catabolic process	AT1G21400|AT1G55510|AT3G13450|AT3G45300	0.000445510175214371	0.0198859541845687
GO:0009409	BP	response to cold	AT1G07720|AT1G20620|AT1G23740|AT1G56600|AT1G61520|AT1G67090|AT1G68530|AT2G05100|AT2G39730|AT2G46830|AT3G26650|AT3G47470|AT3G54890|AT3G61470|AT5G06760|AT5G15970|AT5G37500|AT5G52300|AT5G54770	0.000561206026410519	0.0229626799139637
GO:0009772	BP	photosynthetic electron transport in photosystem II	AT4G00895|AT4G04640|ATCG00020	0.000994604683241571	0.0375654538055085
GO:0016024	BP	CDP-diacylglycerol biosynthetic process	AT1G02390|AT1G06520|AT3G11430|AT5G06090	0.00120381398095463	0.0422194760463372
GO:0006412	BP	translation	AT1G75350	0.00138586830603963	0.0453640892176971
GO:0010025	BP	wax biosynthetic process	AT1G49430|AT1G51500|AT1G68530|AT5G12420|AT5G57800	0.002425031124011	0.0744181426180877
GO:0009744	BP	response to sucrose	AT1G21400|AT1G22160|AT3G13450|AT3G26650|AT3G60140|AT5G04140	0.0027476419620803	0.0793583649047898
GO:0045893	BP	positive regulation of DNA-templated transcription	AT1G49720|AT1G75520|AT2G38340|AT2G46680|AT2G46830|AT3G16770|AT3G61890|AT4G12350|AT4G28530|AT4G29230|AT5G24660|AT5G28300|AT5G39610	0.00304074382838165	0.0799599413328816
GO:0071669	BP	plant-type cell wall organization or biogenesis	AT1G10070|AT1G62760|AT4G30270	0.003582726495567	0.0799599413328816
GO:0080187	BP	floral organ senescence	AT1G11190|AT4G28530|AT5G39610	0.003582726495567	0.0799599413328816
GO:0009773	BP	photosynthetic electron transport in photosystem I	AT1G55670|AT2G05620|AT4G00895	0.003582726495567	0.0799599413328816
GO:0043068	BP	positive regulation of programmed cell death	AT1G79330|AT4G28530|AT5G39610	0.003582726495567	0.0799599413328816
GO:0016567	BP	protein ubiquitination	AT1G04360|AT5G01520|AT5G49665	0.00379944499284154	0.081109890934139
GO:0055085	BP	transmembrane transport	AT1G33100|AT1G49960|AT1G51340|AT1G51500|AT1G69870|AT1G71140|AT2G04050|AT2G18480|AT2G26690|AT2G37360|AT2G40460|AT3G05400|AT3G47420|AT3G47790|AT4G21120|AT5G14940|AT5G17860|AT5G19410|AT5G61520	0.00481367044297249	0.0984796744791454
