GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0016168	MF	chlorophyll binding	AT1G29920|AT1G29930|AT1G61520|AT2G05100|AT2G34420|AT3G47470|AT3G54890|AT3G61470|AT4G10340|ATCG00020	6.10098230337108e-08	2.15364675308999e-05
GO:0090447	MF	glycerol-3-phosphate 2-O-acyltransferase activity	AT1G02390|AT1G06520|AT2G38110|AT3G11430|AT5G06090	5.3086617875394e-05	0.00936978805500704
GO:0004366	MF	glycerol-3-phosphate O-acyltransferase activity	AT1G02390|AT1G06520|AT3G11430|AT5G06090	0.000445510175214371	0.0314530183701346
GO:0102420	MF	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity	AT1G02390|AT1G06520|AT3G11430|AT5G06090	0.000445510175214371	0.0314530183701346
GO:0016881	MF	acid-amino acid ligase activity	AT2G23170|AT4G37390|AT5G13370|AT5G54510	0.000445510175214371	0.0314530183701346
GO:0003700	MF	DNA-binding transcription factor activity	AT1G02340|AT1G03790|AT1G17950|AT1G18710|AT1G18835|AT1G22985|AT1G25440|AT1G34670|AT1G35460|AT1G49720|AT1G52890|AT1G55580|AT1G64000|AT1G69490|AT1G75520|AT2G04038|AT2G20180|AT2G24430|AT2G38340|AT2G42280|AT2G43000|AT2G43010|AT2G46680|AT2G46830|AT3G01970|AT3G02940|AT3G15500|AT3G16770|AT3G18400|AT3G24310|AT3G46130|AT3G53200|AT3G59060|AT3G61890|AT3G62100|AT4G08150|AT4G12350|AT4G21440|AT4G21750|AT4G28110|AT4G28530|AT4G29230|AT5G07680|AT5G11060|AT5G15210|AT5G15830|AT5G28300|AT5G39610|AT5G43840|AT5G56620|AT5G59780|AT5G64530	0.000868930857496544	0.0351095453184274
GO:0016791	MF	phosphatase activity	AT1G02390|AT1G06520|AT2G38110|AT3G11430|AT5G06090|AT5G36700	0.000805176225843845	0.0351095453184274
GO:0003735	MF	structural constituent of ribosome	AT1G75350	0.000645074179539332	0.0351095453184274
GO:0003863	MF	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	AT1G21400|AT1G55510|AT3G13450	0.000994604683241571	0.0351095453184274
GO:0010279	MF	indole-3-acetic acid amido synthetase activity	AT2G23170|AT4G37390|AT5G54510	0.000994604683241571	0.0351095453184274
GO:0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	AT1G13090|AT1G19630|AT1G55940|AT3G26180|AT3G26220|AT4G13290|AT4G13310|AT5G08250|AT5G23190|AT5G25120|AT5G36110	0.00128268971021012	0.040926716881029
GO:0008194	MF	UDP-glycosyltransferase activity	AT2G16890|AT2G36770|AT2G36800|AT2G36970|AT3G21780|AT3G21790|AT5G49690	0.00139127649453923	0.040926716881029
GO:0020037	MF	heme binding	AT1G13090|AT1G19630|AT1G20620|AT1G55940|AT1G68850|AT2G18150|AT2G35380|AT2G47770|AT3G26180|AT3G26220|AT4G00360|AT4G13290|AT4G13310|AT4G19230|AT5G08250|AT5G14130|AT5G23190|AT5G25120|AT5G36110|AT5G47000|AT5G58860	0.00161417699711088	0.0438311138446263
GO:0022857	MF	transmembrane transporter activity	AT1G09380|AT1G33100|AT1G49960|AT1G71140|AT2G04050|AT2G26690|AT2G40460|AT3G05400|AT3G47420|AT3G47790|AT3G56620|AT4G01430|AT4G08290|AT4G21120|AT5G14940|AT5G61520	0.00266315185051344	0.0671494716593745
GO:0005506	MF	iron ion binding	AT1G13090|AT1G19630|AT1G55940|AT3G26180|AT3G26220|AT4G00360|AT4G13290|AT4G13310|AT4G19230|AT4G25700|AT5G08250|AT5G23190|AT5G25120|AT5G36110|AT5G57800|AT5G58860	0.00377769439954749	0.0833453826900166
GO:0080046	MF	quercetin 4'-O-glucosyltransferase activity	AT1G73880|AT2G36800|AT3G16520	0.003582726495567	0.0833453826900166
