GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0071555	BP	cell wall organization	Pjv1_00003568|Pjv1_00000257|Pjv1_00003454|Pjv1_00002367|Pjv1_00008445|Pjv1_00001325|Pjv1_00001366|Pjv1_00002758|Pjv1_00005210|Pjv1_00010850|Pjv1_00015379|Pjv1_00013629|Pjv1_00015624|Pjv1_00016414|Pjv1_00020594|Pjv1_00017865|Pjv1_00016987|Pjv1_00020412|Pjv1_00022650|Pjv1_00028404|Pjv1_00029297	1.03607196325184e-07	3.13929804865308e-05
GO:0006073	BP	cellular glucan metabolic process	Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00005210|Pjv1_00013629|Pjv1_00015624	2.09587525636578e-05	0.00317525101339415
GO:0042744	BP	hydrogen peroxide catabolic process	Pjv1_00001948|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00007078|Pjv1_00001742|Pjv1_00015952|Pjv1_00017317|Pjv1_00022684|Pjv1_00020782|Pjv1_00020781|Pjv1_00017384	5.0249578274326e-05	0.00507520740570692
GO:0006412	BP	translation	Pjv1_00006586|Pjv1_00002280|Pjv1_00004380	8.82721017860476e-05	0.00668661171029311
GO:0046274	BP	lignin catabolic process	Pjv1_00009223|Pjv1_00009224|Pjv1_00014482|Pjv1_00017722|Pjv1_00023659	0.000402112130212067	0.0243679950908513
GO:0006979	BP	response to oxidative stress	Pjv1_00001948|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00007078|Pjv1_00001742|Pjv1_00015952|Pjv1_00017317|Pjv1_00022684|Pjv1_00020782|Pjv1_00020781|Pjv1_00017384|Pjv1_00025009	0.000985763930127021	0.0334850243357995
GO:0005975	BP	carbohydrate metabolic process	Pjv1_00000257|Pjv1_00001366|Pjv1_00000818|Pjv1_00002100|Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00005210|Pjv1_00013557|Pjv1_00013629|Pjv1_00017133|Pjv1_00015624|Pjv1_00015962|Pjv1_00022650|Pjv1_00024824|Pjv1_00028763|Pjv1_00029434	0.000832082779263576	0.0334850243357995
GO:0030036	BP	actin cytoskeleton organization	Pjv1_00005570|Pjv1_00002842|Pjv1_00023229	0.000994604683241571	0.0334850243357995
GO:0030148	BP	sphingolipid biosynthetic process	Pjv1_00008352|Pjv1_00018866|Pjv1_00029104	0.000994604683241571	0.0334850243357995
GO:0009828	BP	plant-type cell wall loosening	Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207	0.00120381398095463	0.0364755636229252
GO:0010411	BP	xyloglucan metabolic process	Pjv1_00020104|Pjv1_00020109|Pjv1_00020107	0.003582726495567	0.0986878298324363
