GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005576	CC	extracellular region	Pjv1_00001948|Pjv1_00002043|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00000726|Pjv1_00003568|Pjv1_00007078|Pjv1_00008545|Pjv1_00000257|Pjv1_00001742|Pjv1_00001325|Pjv1_00001366|Pjv1_00002758|Pjv1_00005503|Pjv1_00002100|Pjv1_00007113|Pjv1_00009960|Pjv1_00011806|Pjv1_00008325|Pjv1_00006907|Pjv1_00008116|Pjv1_00010118|Pjv1_00015379|Pjv1_00015952|Pjv1_00016809|Pjv1_00017317|Pjv1_00022684|Pjv1_00019866|Pjv1_00022738|Pjv1_00020782|Pjv1_00020781|Pjv1_00021861|Pjv1_00018145|Pjv1_00017384|Pjv1_00022650|Pjv1_00024188|Pjv1_00027037|Pjv1_00025855|Pjv1_00025861|Pjv1_00026717	2.03252962014763e-06	0.000166667428852106
GO:0000139	CC	Golgi membrane	Pjv1_00008756|Pjv1_00002367|Pjv1_00008445|Pjv1_00005603|Pjv1_00008820|Pjv1_00008275|Pjv1_00012104|Pjv1_00016414|Pjv1_00020594|Pjv1_00018560|Pjv1_00016987|Pjv1_00020412|Pjv1_00018147|Pjv1_00024423|Pjv1_00030154	2.32201998048864e-05	0.000952028192000342
GO:0048046	CC	apoplast	Pjv1_00006160|Pjv1_00002403|Pjv1_00004346|Pjv1_00009223|Pjv1_00009224|Pjv1_00009558|Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00005210|Pjv1_00010308|Pjv1_00010311|Pjv1_00010315|Pjv1_00014482|Pjv1_00013629|Pjv1_00015624|Pjv1_00015962|Pjv1_00017722|Pjv1_00022710|Pjv1_00021675|Pjv1_00023659|Pjv1_00021583|Pjv1_00022909	0.000136876573433679	0.00374129300718723
GO:0009507	CC	chloroplast	Pjv1_00006586|Pjv1_00011765|Pjv1_00007756|Pjv1_00008197|Pjv1_00013312|Pjv1_00011550|Pjv1_00017133|Pjv1_00015548|Pjv1_00018384|Pjv1_00024427|Pjv1_00022849|Pjv1_00029317|Pjv1_00029691	0.000329388859814622	0.00385855521497129
GO:0005886	CC	plasma membrane	Pjv1_00002043|Pjv1_00006160|Pjv1_00001761|Pjv1_00000219|Pjv1_00003830|Pjv1_00001254|Pjv1_00003110|Pjv1_00006197|Pjv1_00006260|Pjv1_00001876|Pjv1_00002170|Pjv1_00004660|Pjv1_00003454|Pjv1_00006521|Pjv1_00005050|Pjv1_00000569|Pjv1_00004535|Pjv1_00011765|Pjv1_00009226|Pjv1_00007328|Pjv1_00009960|Pjv1_00011299|Pjv1_00008820|Pjv1_00008275|Pjv1_00011833|Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00013162|Pjv1_00008193|Pjv1_00008197|Pjv1_00010371|Pjv1_00012755|Pjv1_00013312|Pjv1_00010850|Pjv1_00013550|Pjv1_00009461|Pjv1_00014770|Pjv1_00017094|Pjv1_00016414|Pjv1_00017263|Pjv1_00021181|Pjv1_00017865|Pjv1_00018833|Pjv1_00021571|Pjv1_00018147|Pjv1_00021688|Pjv1_00020114|Pjv1_00022177|Pjv1_00021579|Pjv1_00026717|Pjv1_00026248|Pjv1_00027543|Pjv1_00025009|Pjv1_00028899|Pjv1_00028404|Pjv1_00029297|Pjv1_00030236|Pjv1_00030065|Pjv1_00029891	0.000207391075138086	0.00385855521497129
GO:0005739	CC	mitochondrion	Pjv1_00002170|Pjv1_00005050|Pjv1_00023863	0.000324075656867394	0.00385855521497129
GO:0005794	CC	Golgi apparatus	Pjv1_00002367|Pjv1_00002758|Pjv1_00005603|Pjv1_00009208|Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00013390|Pjv1_00013312|Pjv1_00012104|Pjv1_00013945|Pjv1_00016414|Pjv1_00020412|Pjv1_00023109|Pjv1_00020104|Pjv1_00020109|Pjv1_00020107|Pjv1_00024423|Pjv1_00030154	0.000283690857826956	0.00385855521497129
GO:0009535	CC	chloroplast thylakoid membrane	Pjv1_00001114|Pjv1_00008389|Pjv1_00007756|Pjv1_00014803|Pjv1_00015851|Pjv1_00017381|Pjv1_00026078	0.00100235646119382	0.00913258109087702
GO:0045335	CC	phagocytic vesicle	Pjv1_00002212|Pjv1_00021688|Pjv1_00029891	0.000994604683241571	0.00913258109087702
GO:0005840	CC	ribosome	Pjv1_00006586|Pjv1_00002280|Pjv1_00004380	0.0012370759966711	0.010144023172703
