GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009941	CC	chloroplast envelope	Pjv1_00004195|Pjv1_00003225|Pjv1_00000343|Pjv1_00005034|Pjv1_00003311|Pjv1_00008413|Pjv1_00009830|Pjv1_00008316|Pjv1_00006994|Pjv1_00018003|Pjv1_00016319|Pjv1_00017363|Pjv1_00020769|Pjv1_00022790|Pjv1_00022482|Pjv1_00027249|Pjv1_00025543|Pjv1_00029689	9.0991350236121e-09	9.28111772408434e-07
GO:0010287	CC	plastoglobule	Pjv1_00008500|Pjv1_00003311|Pjv1_00008383|Pjv1_00009830|Pjv1_00008316|Pjv1_00022518|Pjv1_00029689|Pjv1_00030221|Pjv1_00030090|Pjv1_00030214	6.05153994471651e-06	0.000308628537180542
GO:0009534	CC	chloroplast thylakoid	Pjv1_00003225|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00009830|Pjv1_00018003|Pjv1_00016319|Pjv1_00017363|Pjv1_00018761|Pjv1_00029689	1.04162048446024e-05	0.000354150964716482
GO:0016020	CC	membrane	Pjv1_00004135|Pjv1_00000699|Pjv1_00002506|Pjv1_00006605|Pjv1_00003098|Pjv1_00003537|Pjv1_00003742|Pjv1_00002199|Pjv1_00008413|Pjv1_00003607|Pjv1_00011059|Pjv1_00009830|Pjv1_00011146|Pjv1_00008316|Pjv1_00011821|Pjv1_00006994|Pjv1_00006680|Pjv1_00012533|Pjv1_00012271|Pjv1_00012272|Pjv1_00012820|Pjv1_00015560|Pjv1_00017363|Pjv1_00016591|Pjv1_00024241|Pjv1_00023028|Pjv1_00021909|Pjv1_00023828|Pjv1_00018862|Pjv1_00017597|Pjv1_00025587|Pjv1_00020997|Pjv1_00027469|Pjv1_00026435|Pjv1_00026046|Pjv1_00026245|Pjv1_00023132|Pjv1_00029056|Pjv1_00029398|Pjv1_00028331|Pjv1_00029657	0.000164306703629313	0.00376315895452674
GO:0009523	CC	photosystem II	Pjv1_00004548|Pjv1_00005739|Pjv1_00009830|Pjv1_00010950|Pjv1_00011901|Pjv1_00023329|Pjv1_00019149|Pjv1_00015603|Pjv1_00023028|Pjv1_00021717|Pjv1_00018862|Pjv1_00023948|Pjv1_00030182	0.000184468576202291	0.00376315895452674
GO:0009507	CC	chloroplast	Pjv1_00004195|Pjv1_00003225|Pjv1_00002995|Pjv1_00008500|Pjv1_00000321|Pjv1_00000343|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00008413|Pjv1_00007115|Pjv1_00007116|Pjv1_00009830|Pjv1_00008316|Pjv1_00006035|Pjv1_00006994|Pjv1_00011462|Pjv1_00010392|Pjv1_00012765|Pjv1_00010511|Pjv1_00014186|Pjv1_00018003|Pjv1_00015561|Pjv1_00016319|Pjv1_00018538|Pjv1_00017363|Pjv1_00019550|Pjv1_00020417|Pjv1_00024241|Pjv1_00022518|Pjv1_00020769|Pjv1_00023098|Pjv1_00021820|Pjv1_00023041|Pjv1_00018761|Pjv1_00022482|Pjv1_00021020|Pjv1_00026046|Pjv1_00023948|Pjv1_00025286|Pjv1_00027600|Pjv1_00025543|Pjv1_00029689|Pjv1_00030225|Pjv1_00030209	0.000398801019318965	0.0067796173284224
GO:0005576	CC	extracellular region	Pjv1_00006819|Pjv1_00000460|Pjv1_00017755|Pjv1_00017756|Pjv1_00017753|Pjv1_00024903|Pjv1_00018998|Pjv1_00025448	0.000883709290507963	0.0112721864100711
GO:0009570	CC	chloroplast stroma	Pjv1_00004195|Pjv1_00000343|Pjv1_00005034|Pjv1_00007115|Pjv1_00007116|Pjv1_00008316|Pjv1_00012765|Pjv1_00018003|Pjv1_00016319|Pjv1_00018538|Pjv1_00019099|Pjv1_00024241|Pjv1_00022482|Pjv1_00021020|Pjv1_00029142|Pjv1_00025543	0.000904363723801176	0.0112721864100711
GO:0009532	CC	plastid stroma	Pjv1_00004195|Pjv1_00018003|Pjv1_00016319	0.000994604683241571	0.0112721864100711
GO:0005840	CC	ribosome	Pjv1_00002995|Pjv1_00020417|Pjv1_00024283	0.0012370759966711	0.0126181751660452
GO:0009535	CC	chloroplast thylakoid membrane	Pjv1_00004730|Pjv1_00000152|Pjv1_00000343|Pjv1_00001866|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00004548|Pjv1_00005739|Pjv1_00009830|Pjv1_00011723|Pjv1_00006006|Pjv1_00010950|Pjv1_00011901|Pjv1_00017363|Pjv1_00019149|Pjv1_00022518|Pjv1_00015603|Pjv1_00023028|Pjv1_00021717|Pjv1_00018862|Pjv1_00018761|Pjv1_00022559|Pjv1_00022934|Pjv1_00027249|Pjv1_00023948|Pjv1_00029142|Pjv1_00029689|Pjv1_00030182|Pjv1_00030273	0.00184845747498614	0.0171402420407806
GO:0005739	CC	mitochondrion	Pjv1_00001547|Pjv1_00008413|Pjv1_00003607|Pjv1_00008963|Pjv1_00012765|Pjv1_00010829|Pjv1_00018538|Pjv1_00014300|Pjv1_00016146|Pjv1_00020769|Pjv1_00015855|Pjv1_00016722|Pjv1_00023265|Pjv1_00025587|Pjv1_00021020|Pjv1_00025796|Pjv1_00024910|Pjv1_00026530|Pjv1_00026046|Pjv1_00025685|Pjv1_00025543|Pjv1_00029541|Pjv1_00029847	0.00364559258199484	0.0309875369469562
GO:0009840	CC	chloroplastic endopeptidase Clp complex	Pjv1_00018003|Pjv1_00016319	0.00998199639927986	0.0783202794405035
