GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0016747	MF	acyltransferase activity, transferring groups other than amino-acyl groups	Pjv1_00002406|Pjv1_00001327|Pjv1_00001336|Pjv1_00009318|Pjv1_00008611|Pjv1_00006112|Pjv1_00011582|Pjv1_00007018|Pjv1_00022134|Pjv1_00026662|Pjv1_00028325|Pjv1_00028326|Pjv1_00028322|Pjv1_00029110|Pjv1_00029114	1.76989959301718e-06	0.000330971223894212
GO:0005507	MF	copper ion binding	Pjv1_00000640|Pjv1_00000994|Pjv1_00000993|Pjv1_00009223|Pjv1_00009224|Pjv1_00010742|Pjv1_00008193|Pjv1_00012755|Pjv1_00014482|Pjv1_00012216|Pjv1_00017722|Pjv1_00023659|Pjv1_00026698|Pjv1_00028223	9.78033404733933e-06	0.000914461233426227
GO:0003735	MF	structural constituent of ribosome	Pjv1_00006586|Pjv1_00002280|Pjv1_00004380	1.9364074307996e-05	0.000979821682351001
GO:0016762	MF	xyloglucan:xyloglucosyl transferase activity	Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00005210|Pjv1_00013629|Pjv1_00015624	2.09587525636578e-05	0.000979821682351001
GO:0047183	MF	anthocyanin 5-aromatic acyltransferase activity	Pjv1_00001327|Pjv1_00001336|Pjv1_00007018|Pjv1_00028325|Pjv1_00028322|Pjv1_00029110|Pjv1_00029114	4.53303915940856e-05	0.0016953566456188
GO:0003682	MF	chromatin binding	Pjv1_00004292|Pjv1_00003499|Pjv1_00001906|Pjv1_00001373|Pjv1_00008876|Pjv1_00005367|Pjv1_00008262|Pjv1_00011533|Pjv1_00008202|Pjv1_00016190|Pjv1_00011563|Pjv1_00014149|Pjv1_00016348|Pjv1_00017505|Pjv1_00015837|Pjv1_00023657|Pjv1_00026284|Pjv1_00025303	5.79156273630994e-05	0.0018050370528166
GO:0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds	Pjv1_00000257|Pjv1_00001366|Pjv1_00005203|Pjv1_00005208|Pjv1_00005209|Pjv1_00005207|Pjv1_00005210|Pjv1_00013629|Pjv1_00017133|Pjv1_00015624|Pjv1_00015962|Pjv1_00022650|Pjv1_00024824|Pjv1_00028763|Pjv1_00029434	8.26819307530981e-05	0.00220878872154705
GO:0004601	MF	peroxidase activity	Pjv1_00001948|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00002385|Pjv1_00007078|Pjv1_00001742|Pjv1_00015952|Pjv1_00017317|Pjv1_00022684|Pjv1_00020782|Pjv1_00020781|Pjv1_00017384	0.000111505800681637	0.00260644809093328
GO:0052716	MF	hydroquinone:oxygen oxidoreductase activity	Pjv1_00009223|Pjv1_00009224|Pjv1_00014482|Pjv1_00017722|Pjv1_00023659	0.000402112130212067	0.00835499648329517
GO:0016757	MF	glycosyltransferase activity	Pjv1_00002367|Pjv1_00008445|Pjv1_00002758|Pjv1_00005603|Pjv1_00007455|Pjv1_00020594|Pjv1_00020412|Pjv1_00026819	0.000980692432996846	0.0169082796151067
GO:0080131	MF	hydroxyjasmonate sulfotransferase activity	Pjv1_00000773|Pjv1_00002532|Pjv1_00002533	0.000994604683241571	0.0169082796151067
GO:0005199	MF	structural constituent of cell wall	Pjv1_00006649|Pjv1_00020635|Pjv1_00017254|Pjv1_00017257	0.00120381398095463	0.0187594345365429
GO:0008168	MF	methyltransferase activity	Pjv1_00002212|Pjv1_00005010|Pjv1_00008656|Pjv1_00007704|Pjv1_00009010|Pjv1_00010243|Pjv1_00029376	0.00192857440041143	0.0277418009905337
GO:0030246	MF	carbohydrate binding	Pjv1_00000726|Pjv1_00008545|Pjv1_00001366|Pjv1_00000818|Pjv1_00007684|Pjv1_00013557|Pjv1_00017094|Pjv1_00015962|Pjv1_00022650	0.00299135027421593	0.0399558929484557
GO:0004674	MF	protein serine/threonine kinase activity	Pjv1_00001761|Pjv1_00003830|Pjv1_00003110|Pjv1_00001876|Pjv1_00009226|Pjv1_00011833|Pjv1_00010656|Pjv1_00014682|Pjv1_00014716|Pjv1_00012962|Pjv1_00012013|Pjv1_00017094|Pjv1_00016015|Pjv1_00021181|Pjv1_00015694|Pjv1_00018353|Pjv1_00018354|Pjv1_00022177|Pjv1_00021579|Pjv1_00026806|Pjv1_00024385|Pjv1_00024819|Pjv1_00029288	0.00335319577132483	0.0418031739491829
GO:0005509	MF	calcium ion binding	Pjv1_00002385|Pjv1_00008545|Pjv1_00006248|Pjv1_00010470|Pjv1_00010656|Pjv1_00011198|Pjv1_00019843|Pjv1_00021211|Pjv1_00022864|Pjv1_00027796|Pjv1_00029445|Pjv1_00030065	0.00395463036956622	0.0435009340652284
GO:0016491	MF	oxidoreductase activity	Pjv1_00002385|Pjv1_00002967|Pjv1_00003857|Pjv1_00002170|Pjv1_00006521|Pjv1_00005010|Pjv1_00000994|Pjv1_00000993|Pjv1_00009223|Pjv1_00009224|Pjv1_00007704|Pjv1_00008306|Pjv1_00008197|Pjv1_00014482|Pjv1_00013608|Pjv1_00017224|Pjv1_00013085|Pjv1_00017722|Pjv1_00015851|Pjv1_00023659|Pjv1_00017381|Pjv1_00022375|Pjv1_00019978|Pjv1_00021425|Pjv1_00025009|Pjv1_00029104|Pjv1_00030089|Pjv1_00029897	0.003891628132653	0.0435009340652284
GO:0008146	MF	sulfotransferase activity	Pjv1_00000773|Pjv1_00002532|Pjv1_00002533|Pjv1_00009285	0.00738792757629387	0.0767523587092753
GO:0004672	MF	protein kinase activity	Pjv1_00001761|Pjv1_00003830|Pjv1_00003110|Pjv1_00001876|Pjv1_00009226|Pjv1_00011299|Pjv1_00011833|Pjv1_00010656|Pjv1_00014682|Pjv1_00014716|Pjv1_00012962|Pjv1_00012013|Pjv1_00017094|Pjv1_00021181|Pjv1_00015694|Pjv1_00018354|Pjv1_00022177|Pjv1_00026806|Pjv1_00024385	0.0101100690017386	0.0945291451662557
GO:0003730	MF	mRNA 3'-UTR binding	Pjv1_00012202|Pjv1_00022897	0.00998199639927986	0.0945291451662557
