GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0071456	BP	cellular response to hypoxia	AT1G07135|AT1G18300|AT1G54050|AT1G61340|AT1G66090|AT1G67360|AT1G68620|AT1G72900|AT1G72920|AT1G72940|AT1G73010|AT1G74310|AT1G76600|AT1G76640|AT1G76650|AT2G22500|AT2G26150|AT2G26560|AT2G36800|AT2G41100|AT3G04640|AT3G24715|AT3G46080|AT3G46230|AT3G56880|AT4G01250|AT4G01360|AT4G10250|AT4G13395|AT4G24110|AT4G24570|AT4G27470|AT4G29780|AT5G12020|AT5G12030|AT5G20150|AT5G20230|AT5G25250|AT5G37670|AT5G42380|AT5G47910|AT5G54490|AT5G57220|AT5G57560	4.42230374883831e-26	2.18904035567497e-23
GO:0009408	BP	response to heat	AT1G12610|AT1G15520|AT1G16030|AT1G28210|AT1G53540|AT1G54050|AT1G58340|AT1G74310|AT2G26150|AT2G29500|AT3G12580|AT3G46230|AT3G61190|AT4G10250|AT5G03720|AT5G12020|AT5G12030|AT5G37670|AT5G47910|AT5G52640|AT5G57560	1.30397276622621e-11	3.22733259640988e-09
GO:0006457	BP	protein folding	AT1G16030|AT1G28210|AT1G53540|AT1G54050|AT2G21130|AT2G29500|AT3G12580|AT3G46230|AT4G10250|AT5G12020|AT5G12030|AT5G37670|AT5G49510|AT5G52640	1.22116585234424e-08	2.01492365636799e-06
GO:0010200	BP	response to chitin	AT1G80840|AT2G17040|AT2G26150|AT2G34600|AT2G37430|AT2G44840|AT3G23250|AT3G28210|AT3G46080|AT3G50060|AT3G50260|AT4G01250|AT4G23810|AT4G31800|AT4G34410|AT5G03720|AT5G10380|AT5G47220|AT5G49520	1.94480503989049e-08	2.40669623686448e-06
GO:0009611	BP	response to wounding	AT1G17380|AT1G17420|AT1G61340|AT1G72520|AT1G72920|AT1G74930|AT1G76650|AT1G80840|AT2G02990|AT2G34600|AT3G17860|AT3G44260|AT3G44860|AT3G61190|AT4G11280|AT4G13280|AT5G13220|AT5G20230|AT5G22500|AT5G43570|AT5G47910|AT5G53750|AT5G67480	3.8878392377767e-08	3.84896084539893e-06
GO:0009751	BP	response to salicylic acid	AT1G15520|AT1G21910|AT1G28480|AT1G61340|AT1G80840|AT2G03760|AT3G44860|AT3G61190|AT4G10500|AT4G23810|AT4G31800|AT4G39030|AT5G67480	6.98737560063323e-08	5.76458487052241e-06
GO:0009651	BP	response to salt stress	AT1G12610|AT1G52400|AT1G53540|AT1G54050|AT1G61340|AT2G03760|AT2G29500|AT2G38170|AT2G38340|AT2G44450|AT2G44460|AT2G47190|AT2G47770|AT3G10930|AT3G23250|AT3G46230|AT3G56880|AT3G60120|AT3G60140|AT4G10250|AT4G17615|AT5G12020|AT5G12030|AT5G22500|AT5G28510|AT5G37670|AT5G67480	1.19727060559071e-06	7.47291983714339e-05
GO:0042542	BP	response to hydrogen peroxide	AT1G53540|AT1G54050|AT2G26150|AT2G29500|AT3G10930|AT3G46230|AT4G10250|AT4G23810|AT5G12020|AT5G12030|AT5G37670|AT5G67480	1.20774462014439e-06	7.47291983714339e-05
GO:0034605	BP	cellular response to heat	AT1G21910|AT1G74310|AT2G26150|AT2G38340|AT3G22830|AT5G03720|AT5G52640|AT5G54070	3.1066340991832e-06	0.000170864875455076
GO:0009617	BP	response to bacterium	AT1G61340|AT1G72520|AT2G23150|AT2G30750|AT3G12580|AT3G50260|AT3G50930|AT4G00860|AT4G10500|AT4G23810|AT5G10380|AT5G49520|AT5G57220	6.34464070256352e-06	0.000314059714776894
GO:0051259	BP	protein complex oligomerization	AT1G53540|AT1G54050|AT2G29500|AT3G46230|AT4G10250|AT5G12020|AT5G12030|AT5G37670	7.28053527782916e-06	0.000327624087502312
GO:0010193	BP	response to ozone	AT1G15520|AT1G72520|AT3G02840|AT4G00860|AT4G11170|AT4G23810|AT5G42380	2.09587525636578e-05	0.000864548543250883
GO:0055085	BP	transmembrane transport	AT1G12950|AT1G15150|AT1G15520|AT1G16370|AT1G65730|AT1G68570|AT1G69870|AT1G71140|AT2G04050|AT2G18480|AT2G38330|AT3G05400|AT3G13100|AT3G16180|AT3G21390|AT3G47790|AT3G60970|AT3G62150|AT4G21680|AT4G39030|AT5G17860|AT5G18840|AT5G44050|AT5G52050|AT5G55290	2.38560146246875e-05	0.000908363633786177
GO:0019762	BP	glucosinolate catabolic process	AT1G52400|AT2G44450|AT2G44460|AT3G60120|AT3G60140|AT5G28510	5.98093462905569e-05	0.00211468760098755
GO:0031347	BP	regulation of defense response	AT1G17380|AT1G80840|AT2G34600|AT3G17860|AT4G23810|AT4G31800|AT5G13220	0.000431763568173702	0.0142481977497322
GO:0009695	BP	jasmonic acid biosynthetic process	AT1G17420|AT1G72520|AT3G25780	0.000994604683241571	0.0307705823877861
GO:0006979	BP	response to oxidative stress	AT1G05240|AT1G05250|AT1G13340|AT2G18140|AT2G18150|AT2G29500|AT4G04840|AT4G11280|AT4G21850|AT4G39640|AT5G06720|AT5G06730|AT5G16960|AT5G16970|AT5G16980|AT5G20230|AT5G37980	0.00140688423553037	0.0409651586227961
GO:0016036	BP	cellular response to phosphate starvation	AT1G26730|AT1G73010|AT2G02990|AT2G47190|AT3G05630|AT4G02270|AT5G20150	0.00192857440041143	0.0530357960113144
GO:0050832	BP	defense response to fungus	AT1G52400|AT1G52410|AT1G80840|AT2G03070|AT3G04220|AT4G31800|AT4G34410|AT5G47910|AT5G52020|AT5G57220|AT5G64750|AT5G64810	0.00249925496424111	0.0651121688052289
GO:0007165	BP	signal transduction	AT1G01560|AT1G21326|AT1G63750|AT1G63860|AT1G66090|AT1G72900|AT1G72920|AT1G72930|AT1G72940|AT2G32140|AT2G44340|AT3G04220|AT3G24715|AT4G11170|AT5G41740|AT5G41750|AT5G45090|AT5G45240	0.00346407802307912	0.0771065050132897
GO:0034620	BP	cellular response to unfolded protein	AT1G16030|AT2G26150|AT3G12580	0.003582726495567	0.0771065050132897
GO:0031408	BP	oxylipin biosynthetic process	AT1G17420|AT1G72520|AT2G26560	0.003582726495567	0.0771065050132897
GO:0009612	BP	response to mechanical stimulus	AT2G41100|AT4G11280|AT5G57560	0.003582726495567	0.0771065050132897
