GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009416	BP	response to light stimulus	AT1G07720|AT1G20620|AT1G29920|AT1G29930|AT1G42970|AT1G61520|AT1G68530|AT2G05100|AT2G39730|AT3G13450|AT3G26650|AT3G47470|AT3G54890|AT3G60140|AT3G61470|AT4G10340|AT5G04140|AT5G11060	7.26421028073943e-07	0.000172161783653525
GO:0009768	BP	photosynthesis, light harvesting in photosystem I	AT1G08380|AT1G29920|AT1G29930|AT1G61520|AT2G05100|AT3G47470|AT3G54890|AT3G61470|AT4G10340	4.42618544470633e-07	0.000172161783653525
GO:0009737	BP	response to abscisic acid	AT1G17950|AT1G56600|AT2G05520|AT2G40170|AT2G46680|AT2G47770|AT3G19580|AT3G21780|AT3G28580|AT3G50980|AT3G61890|AT4G04490|AT4G19810|AT4G37050|AT4G38970|AT5G01520|AT5G26000|AT5G37500|AT5G39520|AT5G39610|AT5G52300|AT5G59220|AT5G66400	2.30818407005895e-05	0.00364693083069314
GO:0042542	BP	response to hydrogen peroxide	AT1G07400|AT1G20620|AT1G53540|AT1G54050|AT2G26150|AT3G46230|AT4G21870|AT5G12020|AT5G12030|AT5G39610	6.37734846165656e-05	0.005107666417764
GO:0006457	BP	protein folding	AT1G07400|AT1G16030|AT1G53540|AT1G54050|AT3G12580|AT3G46230|AT4G21870|AT5G12020|AT5G12030|AT5G52640	6.37734846165656e-05	0.005107666417764
GO:0009408	BP	response to heat	AT1G07400|AT1G16030|AT1G53540|AT1G54050|AT1G74310|AT2G26150|AT3G12580|AT3G46230|AT4G21870|AT5G12020|AT5G12030|AT5G52640|AT5G57560	6.46540052881519e-05	0.005107666417764
GO:0051259	BP	protein complex oligomerization	AT1G07400|AT1G53540|AT1G54050|AT3G46230|AT4G21870|AT5G12020|AT5G12030	8.85084680834133e-05	0.00599328769593398
GO:0009414	BP	response to water deprivation	AT1G17950|AT1G52690|AT1G52890|AT1G56600|AT2G18050|AT2G38340|AT2G46680|AT3G11020|AT3G15500|AT3G19580|AT3G50980|AT3G61890|AT4G02280|AT5G06760|AT5G37500|AT5G52300|AT5G59220|AT5G66400	0.000149499602725323	0.00881569160881279
GO:0009645	BP	response to low light intensity stimulus	AT1G61520|AT2G05100|AT3G47470|AT3G54890|AT3G61470	0.00016738654953442	0.00881569160881279
GO:0009409	BP	response to cold	AT1G07720|AT1G20620|AT1G42970|AT1G56600|AT1G61520|AT1G67090|AT1G68530|AT2G05100|AT2G39730|AT2G46830|AT3G26650|AT3G47470|AT3G54890|AT3G61470|AT4G16860|AT5G06760|AT5G37500|AT5G52300|AT5G54770|AT5G57560	0.000210129363837305	0.00996013184588825
GO:0010150	BP	leaf senescence	AT1G11190|AT1G17020|AT1G69490|AT1G73220|AT2G39730|AT4G10500|AT5G39520|AT5G39610|AT5G52300|AT5G59220	0.000258082451951037	0.0105484807680145
GO:0010345	BP	suberin biosynthetic process	AT2G37360|AT3G11430|AT3G44540|AT3G44550|AT5G13580|AT5G23190	0.000267050146025684	0.0105484807680145
GO:0009744	BP	response to sucrose	AT1G21400|AT1G22160|AT1G42970|AT3G13450|AT3G26650|AT3G60140|AT5G04140	0.000431763568173702	0.0150837016465437
GO:0009083	BP	branched-chain amino acid catabolic process	AT1G21400|AT1G55510|AT3G13450|AT3G45300	0.000445510175214371	0.0150837016465437
GO:0009651	BP	response to salt stress	AT1G07400|AT1G53540|AT1G54050|AT1G56600|AT2G38340|AT2G44460|AT2G47770|AT3G21780|AT3G44540|AT3G44550|AT3G46230|AT3G49580|AT3G60140|AT3G61890|AT4G19810|AT4G21870|AT5G01520|AT5G12020|AT5G12030|AT5G39610|AT5G52300	0.000646080763930773	0.0204161521402124
GO:0019684	BP	photosynthesis, light reaction	AT1G06680|AT5G66570|ATCG00020	0.000994604683241571	0.0277319188150885
GO:0009772	BP	photosynthetic electron transport in photosystem II	AT4G00895|AT4G04640|ATCG00020	0.000994604683241571	0.0277319188150885
GO:0009615	BP	response to virus	AT1G16030|AT3G04720|AT3G12580|AT3G61890	0.00120381398095463	0.0317004348318051
GO:0006412	BP	translation	AT1G34140	0.00138586830603963	0.0345737672138307
GO:0009644	BP	response to high light intensity	AT1G61520|AT2G05100|AT3G47470|AT3G54890|AT3G61470	0.002425031124011	0.0574732376390608
GO:0008150	BP	biological_process	AT1G04560|AT1G07900|AT1G09310|AT1G11925|AT1G15385|AT1G15830|AT1G17030|AT1G19010|AT1G26761|AT1G28140|AT1G30757|AT1G40104|AT1G55990|AT1G58848|AT1G59218|AT1G64065|AT1G76590|AT1G77145|AT1G77160|AT1G78460|AT1G78780|AT1G80970|AT2G05380|AT2G05510|AT2G07981|AT2G08986|AT2G15960|AT2G18540|AT2G18690|AT2G21185|AT2G21780|AT2G24140|AT2G27180|AT2G31945|AT2G46220|AT3G09950|AT3G25950|AT3G26510|AT3G55910|AT3G59870|AT3G62990|AT4G02830|AT4G03150|AT4G04990|AT4G17215|AT4G19390|AT4G31330|AT4G31875|AT4G33610|AT5G01300|AT5G09480|AT5G10210|AT5G10946|AT5G15190|AT5G16200|AT5G22875|AT5G44572|AT5G49350|AT5G51390|AT5G53110|AT5G54300|AT5G64190|AT5G66670	0.00265474757857585	0.0599214453449978
GO:0071456	BP	cellular response to hypoxia	AT1G07400|AT1G19530|AT1G30720|AT1G54050|AT1G68620|AT1G72900|AT1G74310|AT2G26150|AT2G26560|AT2G36800|AT3G46230|AT5G12020|AT5G12030|AT5G20790|AT5G57560	0.00346062203949169	0.0628967540332872
GO:0071669	BP	plant-type cell wall organization or biogenesis	AT1G10070|AT1G62760|AT4G30270	0.003582726495567	0.0628967540332872
GO:0080187	BP	floral organ senescence	AT1G11190|AT4G28530|AT5G39610	0.003582726495567	0.0628967540332872
GO:0034620	BP	cellular response to unfolded protein	AT1G16030|AT2G26150|AT3G12580	0.003582726495567	0.0628967540332872
GO:0050821	BP	protein stabilization	AT1G52690|AT1G55670|AT5G52640	0.003582726495567	0.0628967540332872
GO:0043068	BP	positive regulation of programmed cell death	AT1G79330|AT4G28530|AT5G39610	0.003582726495567	0.0628967540332872
GO:0034605	BP	cellular response to heat	AT1G74310|AT2G26150|AT2G38340|AT5G43840|AT5G52640	0.00374472635385464	0.0633928675616821
GO:0010143	BP	cutin biosynthetic process	AT1G02390|AT1G06520|AT2G38110|AT3G11430	0.00455720324990844	0.0744867013950552
GO:0055085	BP	transmembrane transport	AT1G08900|AT1G49960|AT1G51340|AT1G69870|AT1G71140|AT2G04050|AT2G18480|AT2G26690|AT2G28780|AT2G37360|AT2G40460|AT3G05400|AT3G47790|AT3G60160|AT3G60970|AT3G62150|AT4G21120|AT5G17860|AT5G61520	0.00481367044297249	0.0760559929989653
