GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0005774	CC	vacuolar membrane	AT1G12950|AT1G54000|AT1G69840|AT1G71140|AT2G23150|AT2G38170|AT2G41100|AT3G12580|AT3G13100|AT3G14070|AT3G25780|AT3G60970|AT3G62150|AT4G22690|AT5G06730|AT5G25250|AT5G67480	0.000268564129290778	0.0257821564119147
GO:0005737	CC	cytoplasm	AT1G01480|AT1G01560|AT1G06620|AT1G06830|AT1G09932|AT1G12950|AT1G13420|AT1G14120|AT1G16030|AT1G17180|AT1G18300|AT1G18710|AT1G26730|AT1G28210|AT1G28480|AT1G31290|AT1G31500|AT1G53540|AT1G54050|AT1G54650|AT1G56250|AT1G60190|AT1G65430|AT1G66500|AT1G67190|AT1G67360|AT1G67980|AT1G68570|AT1G69920|AT1G70630|AT1G72900|AT1G72920|AT1G72930|AT1G72940|AT1G74310|AT1G76640|AT1G80160|AT2G03760|AT2G21130|AT2G22470|AT2G23150|AT2G24600|AT2G25530|AT2G26560|AT2G29440|AT2G29460|AT2G29500|AT2G31830|AT2G37600|AT2G38290|AT2G40170|AT2G45750|AT3G02840|AT3G04220|AT3G10200|AT3G12580|AT3G16700|AT3G20510|AT3G23530|AT3G24715|AT3G45070|AT3G46230|AT3G54150|AT3G58470|AT3G59350|AT4G02110|AT4G11170|AT4G11280|AT4G12430|AT4G13890|AT4G16765|AT4G17615|AT4G21200|AT4G24110|AT4G24380|AT4G26200|AT4G31800|AT5G01100|AT5G12020|AT5G12030|AT5G13200|AT5G16570|AT5G16960|AT5G16970|AT5G16980|AT5G23900|AT5G25250|AT5G26220|AT5G37340|AT5G37440|AT5G37670|AT5G37980|AT5G40780|AT5G42380|AT5G42830|AT5G45240|AT5G49510|AT5G52640|AT5G53750|AT5G58680|AT5G59390|AT5G60530|AT5G63560|AT5G64140|AT5G64870|AT5G65690|AT5G67480	0.00292841951736192	0.0942523928636142
GO:0009579	CC	thylakoid	AT1G77090	0.00294538727698794	0.0942523928636142
GO:0005634	CC	nucleus	AT1G01380|AT1G01560|AT1G01690|AT1G01695|AT1G06830|AT1G07430|AT1G08290|AT1G09932|AT1G10220|AT1G11270|AT1G12400|AT1G12610|AT1G13330|AT1G13420|AT1G15385|AT1G17380|AT1G18300|AT1G18710|AT1G19210|AT1G21326|AT1G21910|AT1G28370|AT1G31500|AT1G45201|AT1G50280|AT1G51355|AT1G52400|AT1G52410|AT1G52660|AT1G52890|AT1G53230|AT1G54160|AT1G56250|AT1G59850|AT1G60190|AT1G64065|AT1G65430|AT1G65730|AT1G66500|AT1G67025|AT1G67190|AT1G68620|AT1G69570|AT1G73010|AT1G74930|AT1G76500|AT1G76600|AT1G76650|AT1G76980|AT1G77160|AT1G77720|AT1G79520|AT1G79915|AT1G80450|AT1G80840|AT2G03070|AT2G17040|AT2G21780|AT2G26150|AT2G28510|AT2G30990|AT2G34600|AT2G36650|AT2G37430|AT2G38320|AT2G38340|AT2G43500|AT2G44340|AT2G44840|AT2G47190|AT3G01830|AT3G02840|AT3G05630|AT3G06420|AT3G06750|AT3G07070|AT3G09950|AT3G11020|AT3G11390|AT3G13100|AT3G13600|AT3G15700|AT3G17690|AT3G17860|AT3G20510|AT3G22830|AT3G23250|AT3G24715|AT3G28210|AT3G44260|AT3G45070|AT3G46080|AT3G50060|AT3G50260|AT3G51180|AT3G54150|AT3G55380|AT3G56880|AT3G58940|AT3G59350|AT3G60120|AT3G62100|AT3G62150|AT4G01250|AT4G14520|AT4G18170|AT4G18770|AT4G21680|AT4G23810|AT4G24380|AT4G25760|AT4G27470|AT4G29190|AT4G31800|AT4G34410|AT4G34412|AT4G38370|AT5G01100|AT5G01380|AT5G02030|AT5G03720|AT5G04200|AT5G05190|AT5G06000|AT5G08330|AT5G10340|AT5G13220|AT5G15950|AT5G16970|AT5G20150|AT5G20540|AT5G27080|AT5G35580|AT5G37340|AT5G41740|AT5G42380|AT5G42760|AT5G43650|AT5G45090|AT5G47220|AT5G47910|AT5G48850|AT5G49520|AT5G50360|AT5G51460|AT5G52020|AT5G53750|AT5G53830|AT5G54070|AT5G54490|AT5G57000|AT5G58680|AT5G59490|AT5G63530|AT5G64750|AT5G64810|AT5G65140|AT5G66640|AT5G67180	0.00444622192070362	0.0942863043619904
GO:0009535	CC	chloroplast thylakoid membrane	AT1G52410|AT2G25625|AT3G26080	0.00559575448226829	0.0942863043619904
GO:0009941	CC	chloroplast envelope	AT1G74310|AT4G28390|AT4G39030|AT5G24020|ATCG00770	0.00668692175520123	0.0942863043619904
GO:0016020	CC	membrane	AT1G06520|AT1G12950|AT1G15150|AT1G58340|AT1G65730|AT1G71140|AT1G79520|AT2G04050|AT2G24600|AT2G26560|AT2G47770|AT3G13100|AT3G14070|AT3G20510|AT3G56100|AT3G60970|AT3G61190|AT4G01140|AT4G28390|AT4G37370|AT4G37400|AT5G17860|AT5G19070|AT5G44050|AT5G52050|AT5G57220	0.00687504302639513	0.0942863043619904
GO:0009534	CC	chloroplast thylakoid	AT1G77090	0.00889990794210886	0.0958271654330867
GO:0097708	CC	intracellular vesicle	AT1G68570|AT2G25625	0.00998199639927986	0.0958271654330867
GO:0044853	CC	plasma membrane raft	AT5G25250|AT5G64870	0.00998199639927986	0.0958271654330867
