GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0051082	MF	unfolded protein binding	AT1G16030|AT1G28210|AT1G53540|AT1G54050|AT2G29500|AT3G12580|AT3G46230|AT4G10250|AT5G12020|AT5G12030|AT5G37670|AT5G52640	1.20774462014439e-06	0.000339376238260572
GO:0003729	MF	mRNA binding	AT1G66500|AT2G02740|AT2G41100|AT5G64140	1.50224199082389e-05	0.00211064999710757
GO:0042910	MF	xenobiotic transmembrane transporter activity	AT1G12950|AT1G15150|AT1G58340|AT1G71140|AT2G04050|AT2G38330|AT4G39030|AT5G44050|AT5G52050	7.93590352128652e-05	0.00743329629827171
GO:0015297	MF	antiporter activity	AT1G12950|AT1G15150|AT1G58340|AT1G71140|AT2G04050|AT2G22500|AT2G38330|AT4G24570|AT4G39030|AT5G44050|AT5G52050	0.000133207696032026	0.00935784064624981
GO:0050135	MF	NAD(P)+ nucleosidase activity	AT1G63750|AT1G63860|AT1G66090|AT1G72900|AT1G72930|AT1G72940|AT3G04220|AT4G11170|AT5G41740|AT5G41750|AT5G45240	0.000240082807695313	0.0112438781603972
GO:0061809	MF	NAD+ nucleotidase, cyclic ADP-ribose generating	AT1G63750|AT1G63860|AT1G66090|AT1G72900|AT1G72930|AT1G72940|AT3G04220|AT4G11170|AT5G41740|AT5G41750|AT5G45240	0.000240082807695313	0.0112438781603972
GO:0003700	MF	DNA-binding transcription factor activity	AT1G01380|AT1G08290|AT1G11270|AT1G12610|AT1G18710|AT1G19210|AT1G21910|AT1G28370|AT1G52890|AT1G53230|AT1G54160|AT1G69570|AT1G74930|AT1G76500|AT1G80840|AT2G17040|AT2G26150|AT2G28510|AT2G37430|AT2G38340|AT2G43500|AT2G44840|AT2G47190|AT2G47270|AT3G11020|AT3G22830|AT3G23250|AT3G32090|AT3G46080|AT3G50060|AT3G50260|AT3G62100|AT4G01250|AT4G18170|AT4G18770|AT4G23810|AT4G29190|AT4G31800|AT4G34410|AT5G01380|AT5G02030|AT5G03720|AT5G08330|AT5G10340|AT5G43650|AT5G47220|AT5G49520|AT5G52020|AT5G54070|AT5G64750|AT5G64810|AT5G67180	0.000868930857496544	0.0279000201894807
GO:0043621	MF	protein self-association	AT1G31500|AT1G53540|AT1G54050|AT1G76500|AT2G29500|AT3G46230|AT4G10250|AT5G12020|AT5G12030|AT5G37670	0.0010053875876336	0.0279000201894807
GO:0016887	MF	ATP hydrolysis activity	AT1G16030|AT1G74310|AT2G18193|AT2G25530|AT3G12580|AT3G13100|AT3G28510|AT3G28580|AT3G47790|AT3G50930|AT3G60970|AT3G62150|AT5G24020|AT5G40000	0.00109217160884088	0.0279000201894807
GO:0043531	MF	ADP binding	AT1G52660|AT1G59780|AT1G63750|AT1G63860|AT1G66090|AT1G72900|AT1G72940|AT3G04220|AT3G15700|AT4G11170|AT5G41740|AT5G41750|AT5G45240	0.000985763930127021	0.0279000201894807
GO:0016702	MF	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	AT1G17420|AT1G72520|AT4G32810	0.000994604683241571	0.0279000201894807
GO:0032440	MF	2-alkenal reductase [NAD(P)+] activity	AT5G16960|AT5G16970|AT5G16980|AT5G37980	0.00120381398095463	0.0281893107206875
GO:0005509	MF	calcium ion binding	AT1G52410|AT1G76640|AT1G76650|AT1G77090|AT2G41100|AT3G01830|AT3G29000|AT3G47480|AT4G17615|AT5G39670|AT5G42380|AT5G47910|AT5G54490	0.00165078663596312	0.0356823880542798
GO:0016847	MF	1-aminocyclopropane-1-carboxylate synthase activity	AT1G01480|AT4G11280|AT4G26200	0.003582726495567	0.0716637854240604
GO:0008422	MF	beta-glucosidase activity	AT1G52400|AT2G44450|AT2G44460|AT3G60120|AT3G60140|AT5G28510	0.00382546897281461	0.0716637854240604
