GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0016168	MF	chlorophyll binding	AT1G29920|AT1G29930|AT1G61520|AT2G05100|AT3G47470|AT3G54890|AT3G61470|AT4G10340|ATCG00020	1.11731227845036e-06	0.000368713051888618
GO:0051082	MF	unfolded protein binding	AT1G07400|AT1G16030|AT1G53540|AT1G54050|AT3G12580|AT3G46230|AT4G21870|AT5G12020|AT5G12030|AT5G52640	6.37734846165656e-05	0.0105226249617333
GO:0003700	MF	DNA-binding transcription factor activity	AT1G02340|AT1G03790|AT1G15050|AT1G17950|AT1G18710|AT1G25440|AT1G49900|AT1G52890|AT1G55580|AT1G64000|AT1G68520|AT1G69490|AT2G04038|AT2G20180|AT2G24430|AT2G26150|AT2G38340|AT2G42280|AT2G43010|AT2G43500|AT2G46680|AT2G46830|AT3G01970|AT3G02940|AT3G11020|AT3G15500|AT3G18400|AT3G19580|AT3G24310|AT3G46130|AT3G53200|AT3G59060|AT3G61890|AT3G62100|AT4G08150|AT4G12350|AT4G18170|AT4G21440|AT4G23550|AT4G28110|AT4G28530|AT5G01380|AT5G07680|AT5G11060|AT5G15210|AT5G15830|AT5G24120|AT5G39610|AT5G43840|AT5G56620|AT5G59780|AT5G64530	0.000868930857496544	0.0510134714664384
GO:0016705	MF	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	AT1G13090|AT1G55940|AT3G26180|AT3G26220|AT4G12330|AT4G13310|AT5G08250|AT5G23190|AT5G25120|AT5G25130|AT5G36110	0.00128268971021012	0.0510134714664384
GO:0008194	MF	UDP-glycosyltransferase activity	AT2G16890|AT2G36770|AT2G36800|AT2G36970|AT3G21780|AT3G21790|AT5G49690	0.00139127649453923	0.0510134714664384
GO:0090447	MF	glycerol-3-phosphate 2-O-acyltransferase activity	AT1G02390|AT1G06520|AT2G38110|AT3G11430	0.00120381398095463	0.0510134714664384
GO:0043531	MF	ADP binding	AT1G58807|AT1G58848|AT1G59124|AT1G59218|AT1G63360|AT1G72900|AT2G39730|AT3G46530|AT4G16860|AT4G16890|AT5G46450|AT5G46490|AT5G49140	0.000985763930127021	0.0510134714664384
GO:0042626	MF	ATPase-coupled transmembrane transporter activity	AT2G37360|AT3G30842|AT3G47790|AT3G55090|AT3G60160|AT3G60970|AT3G62150|AT5G13580	0.00132561951838181	0.0510134714664384
GO:0003863	MF	3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity	AT1G21400|AT1G55510|AT3G13450	0.000994604683241571	0.0510134714664384
GO:0022857	MF	transmembrane transporter activity	AT1G08900|AT1G49960|AT1G71140|AT2G04050|AT2G26690|AT2G28780|AT2G40460|AT3G05400|AT3G47790|AT3G56620|AT4G01430|AT4G08290|AT4G08300|AT4G21120|AT4G28040|AT5G61520	0.00266315185051344	0.0878840110669434
GO:0016887	MF	ATP hydrolysis activity	AT1G16030|AT1G64110|AT1G74310|AT2G37360|AT2G39730|AT3G12580|AT3G28580|AT3G47790|AT3G55090|AT3G60160|AT3G60970|AT3G62150|AT5G13580	0.00304074382838165	0.0912223148514496
GO:0008422	MF	beta-glucosidase activity	AT1G61810|AT2G44460|AT3G60140|AT4G10060|AT4G27820|AT5G26000	0.00382546897281461	0.0971080585406786
GO:0080046	MF	quercetin 4'-O-glucosyltransferase activity	AT1G73880|AT2G36800|AT3G16520	0.003582726495567	0.0971080585406786
