GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0010117	BP	photoprotection	Pjv1_00005014|Pjv1_00004548|Pjv1_00018761|Pjv1_00028420	9.89230593498221e-05	0.0184491505687418
GO:0015706	BP	nitrate transmembrane transport	Pjv1_00012271|Pjv1_00012272|Pjv1_00015167|Pjv1_00019406|Pjv1_00019408	5.3086617875394e-05	0.0184491505687418
GO:0009644	BP	response to high light intensity	Pjv1_00005014|Pjv1_00015349|Pjv1_00018521|Pjv1_00018761|Pjv1_00028420	0.000815038273541317	0.0353338224933171
GO:0006412	BP	translation	Pjv1_00000457|Pjv1_00021909|Pjv1_00020136|Pjv1_00024283|Pjv1_00028769	0.0012314737062014	0.0353338224933171
GO:0042128	BP	nitrate assimilation	Pjv1_00000699|Pjv1_00012271|Pjv1_00012272|Pjv1_00019406|Pjv1_00019408	0.000815038273541317	0.0353338224933171
GO:0010090	BP	trichome morphogenesis	Pjv1_00006382|Pjv1_00000427|Pjv1_00010988|Pjv1_00028094	0.00120381398095463	0.0353338224933171
GO:0030041	BP	actin filament polymerization	Pjv1_00006382|Pjv1_00000427|Pjv1_00028094	0.000994604683241571	0.0353338224933171
GO:0051259	BP	protein complex oligomerization	Pjv1_00006382|Pjv1_00000427|Pjv1_00008971|Pjv1_00028094	0.00120381398095463	0.0353338224933171
GO:0045892	BP	negative regulation of DNA-templated transcription	Pjv1_00002326|Pjv1_00013649|Pjv1_00011524|Pjv1_00009593|Pjv1_00013383|Pjv1_00011867|Pjv1_00024910|Pjv1_00028420	0.000501167940950288	0.0353338224933171
GO:0046471	BP	phosphatidylglycerol metabolic process	Pjv1_00000320|Pjv1_00000321|Pjv1_00021235	0.000994604683241571	0.0353338224933171
GO:0009772	BP	photosynthetic electron transport in photosystem II	Pjv1_00010950|Pjv1_00019149|Pjv1_00015603|Pjv1_00023028|Pjv1_00021717|Pjv1_00030140	0.000805176225843845	0.0353338224933171
GO:0055072	BP	iron ion homeostasis	Pjv1_00011490|Pjv1_00020059|Pjv1_00018968|Pjv1_00021020	0.000445510175214371	0.0353338224933171
GO:0008272	BP	sulfate transport	Pjv1_00018290|Pjv1_00020131|Pjv1_00018071	0.000994604683241571	0.0353338224933171
GO:0010150	BP	leaf senescence	Pjv1_00007964|Pjv1_00005387|Pjv1_00011462|Pjv1_00017673|Pjv1_00021020|Pjv1_00027600|Pjv1_00028677	0.00139127649453923	0.036514411408134
GO:0010228	BP	vegetative to reproductive phase transition of meristem	Pjv1_00015349|Pjv1_00018521|Pjv1_00022581|Pjv1_00022582|Pjv1_00022583	0.00146840796547456	0.036514411408134
GO:0006811	BP	monoatomic ion transport	Pjv1_00011146|Pjv1_00011490|Pjv1_00020059|Pjv1_00018968	0.00252992170633676	0.0589787997789758
GO:0000902	BP	cell morphogenesis	Pjv1_00006382|Pjv1_00000427|Pjv1_00028094	0.003582726495567	0.0742420546025827
GO:0045010	BP	actin nucleation	Pjv1_00006382|Pjv1_00000427|Pjv1_00028094	0.003582726495567	0.0742420546025827
