GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0006508	BP	proteolysis	Pjv1_00004892|Pjv1_00006581|Pjv1_00006583|Pjv1_00008494|Pjv1_00004287|Pjv1_00004084|Pjv1_00010573|Pjv1_00007857|Pjv1_00012158|Pjv1_00022672|Pjv1_00022680|Pjv1_00024232|Pjv1_00017337|Pjv1_00017338|Pjv1_00018137|Pjv1_00018139|Pjv1_00018844|Pjv1_00022150|Pjv1_00019704|Pjv1_00022488|Pjv1_00022489|Pjv1_00022384|Pjv1_00024709|Pjv1_00026771|Pjv1_00027786|Pjv1_00028425|Pjv1_00026651|Pjv1_00029201|Pjv1_00027747|Pjv1_00028984|Pjv1_00028047|Pjv1_00028035|Pjv1_00028657|Pjv1_00028660|Pjv1_00029216|Pjv1_00028893	1.35190921633129e-23	4.51537678254651e-21
GO:2000122	BP	negative regulation of stomatal complex development	Pjv1_00007857|Pjv1_00022672|Pjv1_00022680|Pjv1_00022488|Pjv1_00022489|Pjv1_00027786|Pjv1_00029201|Pjv1_00027747|Pjv1_00028984|Pjv1_00028983|Pjv1_00028657|Pjv1_00028660|Pjv1_00028893	1.09637759714296e-12	1.83095058722875e-10
GO:0008152	BP	metabolic process	Pjv1_00001979|Pjv1_00000158|Pjv1_00003714|Pjv1_00003687|Pjv1_00007857|Pjv1_00007673|Pjv1_00007674|Pjv1_00014214|Pjv1_00014211|Pjv1_00014212|Pjv1_00012401|Pjv1_00010517|Pjv1_00015344|Pjv1_00022672|Pjv1_00022680|Pjv1_00024232|Pjv1_00024143|Pjv1_00024777|Pjv1_00019790|Pjv1_00019791|Pjv1_00022150|Pjv1_00022488|Pjv1_00022489|Pjv1_00019976|Pjv1_00027786|Pjv1_00029201|Pjv1_00027747|Pjv1_00028984|Pjv1_00028983|Pjv1_00026905|Pjv1_00028657|Pjv1_00028660|Pjv1_00028893|Pjv1_00028898|Pjv1_00030244|Pjv1_00029944	1.41862690012678e-09	1.57940461547448e-07
GO:0006412	BP	translation	Pjv1_00003652|Pjv1_00011641|Pjv1_00016936|Pjv1_00024643	0.000370295790329976	0.0239128703253423
GO:0006857	BP	oligopeptide transport	Pjv1_00008730|Pjv1_00024013|Pjv1_00027805|Pjv1_00026926	0.000445510175214371	0.0239128703253423
GO:0045490	BP	pectin catabolic process	Pjv1_00003560|Pjv1_00005346|Pjv1_00015411|Pjv1_00015412|Pjv1_00016178|Pjv1_00016731|Pjv1_00027035|Pjv1_00026432	0.000501167940950288	0.0239128703253423
GO:0009410	BP	response to xenobiotic stimulus	Pjv1_00007525|Pjv1_00028839|Pjv1_00029825|Pjv1_00029749	0.000445510175214371	0.0239128703253423
GO:0080167	BP	response to karrikin	Pjv1_00003394|Pjv1_00004548|Pjv1_00012255|Pjv1_00022295|Pjv1_00019325|Pjv1_00019326|Pjv1_00025789|Pjv1_00029169|Pjv1_00030244|Pjv1_00029792	0.000608813541354534	0.0254179653515518
GO:0042744	BP	hydrogen peroxide catabolic process	Pjv1_00001111|Pjv1_00000444|Pjv1_00003940|Pjv1_00008604|Pjv1_00007420|Pjv1_00015706|Pjv1_00018994|Pjv1_00018995|Pjv1_00025850|Pjv1_00024982	0.0010053875876336	0.0373110504744024
GO:0006869	BP	lipid transport	Pjv1_00003961|Pjv1_00007480|Pjv1_00006094|Pjv1_00006095|Pjv1_00009493|Pjv1_00016237|Pjv1_00018989|Pjv1_00030183	0.00228650263488539	0.076369188005172
GO:0006355	BP	regulation of DNA-templated transcription	Pjv1_00004177|Pjv1_00000725|Pjv1_00000177|Pjv1_00001178|Pjv1_00001227|Pjv1_00007213|Pjv1_00002654|Pjv1_00005738|Pjv1_00007525|Pjv1_00008940|Pjv1_00005946|Pjv1_00007973|Pjv1_00006966|Pjv1_00005190|Pjv1_00011439|Pjv1_00008192|Pjv1_00014486|Pjv1_00014487|Pjv1_00014493|Pjv1_00014505|Pjv1_00013573|Pjv1_00012954|Pjv1_00020272|Pjv1_00015032|Pjv1_00015043|Pjv1_00015558|Pjv1_00015976|Pjv1_00015271|Pjv1_00015277|Pjv1_00017514|Pjv1_00017709|Pjv1_00016684|Pjv1_00022972|Pjv1_00024190|Pjv1_00018097|Pjv1_00026920|Pjv1_00024578|Pjv1_00026585|Pjv1_00023434|Pjv1_00024545|Pjv1_00028839|Pjv1_00027632|Pjv1_00026117|Pjv1_00028764|Pjv1_00029825|Pjv1_00030030|Pjv1_00029749|Pjv1_00029748	0.00289484462807525	0.0878980096161032
GO:0006351	BP	DNA-templated transcription	Pjv1_00004177|Pjv1_00000651|Pjv1_00002952|Pjv1_00000177|Pjv1_00000429|Pjv1_00001178|Pjv1_00001227|Pjv1_00007213|Pjv1_00002654|Pjv1_00005113|Pjv1_00002274|Pjv1_00005738|Pjv1_00007525|Pjv1_00006426|Pjv1_00008940|Pjv1_00005946|Pjv1_00007969|Pjv1_00007973|Pjv1_00006966|Pjv1_00005190|Pjv1_00010767|Pjv1_00011439|Pjv1_00008192|Pjv1_00013383|Pjv1_00014486|Pjv1_00014487|Pjv1_00014493|Pjv1_00014505|Pjv1_00013573|Pjv1_00012954|Pjv1_00020272|Pjv1_00015032|Pjv1_00015043|Pjv1_00015558|Pjv1_00015976|Pjv1_00015271|Pjv1_00015277|Pjv1_00017514|Pjv1_00017709|Pjv1_00016684|Pjv1_00022972|Pjv1_00024190|Pjv1_00018097|Pjv1_00026920|Pjv1_00024578|Pjv1_00026585|Pjv1_00024545|Pjv1_00028839|Pjv1_00027632|Pjv1_00026117|Pjv1_00028764|Pjv1_00029634|Pjv1_00029825|Pjv1_00029749|Pjv1_00029748|Pjv1_00029854|Pjv1_00030331	0.00427363414303466	0.0895356403217305
GO:0007275	BP	multicellular organism development	Pjv1_00004177|Pjv1_00000429|Pjv1_00005113|Pjv1_00015311|Pjv1_00015976|Pjv1_00015265|Pjv1_00020660|Pjv1_00024247|Pjv1_00019949|Pjv1_00027703|Pjv1_00026572	0.00379159402973272	0.0895356403217305
GO:0009733	BP	response to auxin	Pjv1_00002952|Pjv1_00000506|Pjv1_00003394|Pjv1_00007969|Pjv1_00005204|Pjv1_00013383|Pjv1_00024232|Pjv1_00022150|Pjv1_00024190	0.00444716370972994	0.0895356403217305
GO:0009407	BP	toxin catabolic process	Pjv1_00007365|Pjv1_00007369|Pjv1_00007370|Pjv1_00012255	0.00455720324990844	0.0895356403217305
GO:0009636	BP	response to toxic substance	Pjv1_00007365|Pjv1_00007369|Pjv1_00007370|Pjv1_00012255|Pjv1_00015145	0.00374472635385464	0.0895356403217305
GO:0009823	BP	cytokinin catabolic process	Pjv1_00004377|Pjv1_00001077|Pjv1_00014190	0.003582726495567	0.0895356403217305
GO:0006810	BP	transport	Pjv1_00003975|Pjv1_00001595|Pjv1_00007844|Pjv1_00008730|Pjv1_00014704|Pjv1_00012115|Pjv1_00014660|Pjv1_00012271|Pjv1_00012272|Pjv1_00021217|Pjv1_00018498|Pjv1_00025483|Pjv1_00027805|Pjv1_00026926|Pjv1_00025789|Pjv1_00029169|Pjv1_00030297	0.00494707112349156	0.0917956530692323
GO:0009851	BP	auxin biosynthetic process	Pjv1_00020660|Pjv1_00024247|Pjv1_00019949|Pjv1_00026572|Pjv1_00023131	0.00548129815563091	0.0963554517884591
