GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0009523	CC	photosystem II	Pjv1_00004538|Pjv1_00004548|Pjv1_00005739|Pjv1_00009827|Pjv1_00010950|Pjv1_00011901|Pjv1_00011348|Pjv1_00023329|Pjv1_00019149|Pjv1_00015603|Pjv1_00023028|Pjv1_00021717|Pjv1_00024160|Pjv1_00021366|Pjv1_00023948|Pjv1_00030140|Pjv1_00030182	3.38932035182608e-07	3.28764074127129e-05
GO:0016020	CC	membrane	Pjv1_00003975|Pjv1_00004135|Pjv1_00000699|Pjv1_00002506|Pjv1_00006605|Pjv1_00003098|Pjv1_00003537|Pjv1_00003754|Pjv1_00002199|Pjv1_00004657|Pjv1_00011059|Pjv1_00009827|Pjv1_00011146|Pjv1_00008316|Pjv1_00011821|Pjv1_00006680|Pjv1_00009651|Pjv1_00012533|Pjv1_00012271|Pjv1_00012272|Pjv1_00012820|Pjv1_00015560|Pjv1_00015167|Pjv1_00017363|Pjv1_00016591|Pjv1_00016337|Pjv1_00016517|Pjv1_00024241|Pjv1_00021217|Pjv1_00023028|Pjv1_00021909|Pjv1_00017597|Pjv1_00025587|Pjv1_00020997|Pjv1_00019406|Pjv1_00019408|Pjv1_00027469|Pjv1_00026435|Pjv1_00026046|Pjv1_00026245|Pjv1_00023132|Pjv1_00027736|Pjv1_00029398|Pjv1_00028331	1.90480247714313e-05	0.00092382920141442
GO:0009941	CC	chloroplast envelope	Pjv1_00004195|Pjv1_00003225|Pjv1_00005034|Pjv1_00003311|Pjv1_00009827|Pjv1_00011589|Pjv1_00008316|Pjv1_00017363|Pjv1_00020769|Pjv1_00022482|Pjv1_00027249|Pjv1_00025543|Pjv1_00029689	6.46540052881519e-05	0.00192445660391198
GO:0009534	CC	chloroplast thylakoid	Pjv1_00003225|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00007521|Pjv1_00009827|Pjv1_00017363|Pjv1_00018761|Pjv1_00029689	7.93590352128652e-05	0.00192445660391198
GO:0009535	CC	chloroplast thylakoid membrane	Pjv1_00004730|Pjv1_00000152|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00004538|Pjv1_00004548|Pjv1_00005739|Pjv1_00007521|Pjv1_00009827|Pjv1_00011723|Pjv1_00010950|Pjv1_00011901|Pjv1_00011348|Pjv1_00017363|Pjv1_00019149|Pjv1_00022518|Pjv1_00015603|Pjv1_00023028|Pjv1_00021717|Pjv1_00024160|Pjv1_00018761|Pjv1_00022559|Pjv1_00021366|Pjv1_00022934|Pjv1_00027249|Pjv1_00023948|Pjv1_00028371|Pjv1_00029142|Pjv1_00026837|Pjv1_00029689|Pjv1_00030140|Pjv1_00030182	0.00024363767804148	0.00472657095400471
GO:0009507	CC	chloroplast	Pjv1_00004195|Pjv1_00004507|Pjv1_00003225|Pjv1_00000226|Pjv1_00003031|Pjv1_00000320|Pjv1_00000321|Pjv1_00005014|Pjv1_00005034|Pjv1_00003311|Pjv1_00007521|Pjv1_00007115|Pjv1_00007116|Pjv1_00009827|Pjv1_00011589|Pjv1_00008316|Pjv1_00009919|Pjv1_00011462|Pjv1_00011473|Pjv1_00010391|Pjv1_00010392|Pjv1_00012765|Pjv1_00010511|Pjv1_00017480|Pjv1_00018537|Pjv1_00017363|Pjv1_00016439|Pjv1_00008469|Pjv1_00019550|Pjv1_00024241|Pjv1_00022518|Pjv1_00020769|Pjv1_00021235|Pjv1_00020136|Pjv1_00018761|Pjv1_00022482|Pjv1_00021020|Pjv1_00026046|Pjv1_00023948|Pjv1_00025286|Pjv1_00028371|Pjv1_00027600|Pjv1_00028677|Pjv1_00025543|Pjv1_00029689	0.000398801019318965	0.00552624269627709
GO:0010287	CC	plastoglobule	Pjv1_00003311|Pjv1_00007521|Pjv1_00009827|Pjv1_00008316|Pjv1_00022518|Pjv1_00029689|Pjv1_00030090|Pjv1_00030214	0.000344257835679503	0.00552624269627709
GO:0031209	CC	SCAR complex	Pjv1_00006382|Pjv1_00000427|Pjv1_00028094	0.000994604683241571	0.012059581784304
GO:0005840	CC	ribosome	Pjv1_00020136|Pjv1_00024283|Pjv1_00028769	0.0012370759966711	0.0133329301863441
GO:0009570	CC	chloroplast stroma	Pjv1_00004195|Pjv1_00003031|Pjv1_00005034|Pjv1_00007115|Pjv1_00007116|Pjv1_00011589|Pjv1_00008316|Pjv1_00012765|Pjv1_00018537|Pjv1_00017895|Pjv1_00024241|Pjv1_00022482|Pjv1_00021020|Pjv1_00029142|Pjv1_00025543	0.00236812768912885	0.0229708385845499
GO:0071944	CC	cell periphery	Pjv1_00006382|Pjv1_00000427|Pjv1_00028094	0.003582726495567	0.0315931336427271
GO:0005829	CC	cytosol	Pjv1_00001789|Pjv1_00006680|Pjv1_00013014|Pjv1_00010168|Pjv1_00015078|Pjv1_00015079|Pjv1_00015759|Pjv1_00017982|Pjv1_00021909|Pjv1_00020552	0.00433231478691675	0.0350195445275771
GO:0005634	CC	nucleus	Pjv1_00002011|Pjv1_00000782|Pjv1_00003192|Pjv1_00001140|Pjv1_00003760|Pjv1_00000457|Pjv1_00000323|Pjv1_00007209|Pjv1_00002261|Pjv1_00002336|Pjv1_00002760|Pjv1_00007121|Pjv1_00009831|Pjv1_00009834|Pjv1_00011715|Pjv1_00013649|Pjv1_00008940|Pjv1_00007964|Pjv1_00011524|Pjv1_00006953|Pjv1_00006680|Pjv1_00009593|Pjv1_00010422|Pjv1_00012490|Pjv1_00009647|Pjv1_00013383|Pjv1_00013883|Pjv1_00015078|Pjv1_00015079|Pjv1_00010883|Pjv1_00009027|Pjv1_00011257|Pjv1_00009489|Pjv1_00010988|Pjv1_00014771|Pjv1_00008469|Pjv1_00015817|Pjv1_00018043|Pjv1_00016227|Pjv1_00017673|Pjv1_00021858|Pjv1_00024062|Pjv1_00021251|Pjv1_00020385|Pjv1_00025989|Pjv1_00020523|Pjv1_00020552|Pjv1_00023565|Pjv1_00027703|Pjv1_00025224|Pjv1_00024910|Pjv1_00026024|Pjv1_00026675|Pjv1_00028420|Pjv1_00029010|Pjv1_00029930|Pjv1_00030320|Pjv1_00030030|Pjv1_00029921|Pjv1_00030331	0.00705574791453264	0.0526467344392051
GO:0005618	CC	cell wall	Pjv1_00014925|Pjv1_00017174|Pjv1_00018778|Pjv1_00026456|Pjv1_00025448	0.00815659524084472	0.0527459825574625
GO:0009654	CC	photosystem II oxygen evolving complex	Pjv1_00023329|Pjv1_00021366|Pjv1_00023948	0.00806579588848874	0.0527459825574625
