GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0000786	CC	nucleosome	Pjv1_00002091|Pjv1_00001846|Pjv1_00004309|Pjv1_00001020|Pjv1_00011765|Pjv1_00009227|Pjv1_00011156|Pjv1_00008960|Pjv1_00014807|Pjv1_00014808|Pjv1_00013078|Pjv1_00023588|Pjv1_00022034|Pjv1_00022035|Pjv1_00022036|Pjv1_00022037|Pjv1_00019625|Pjv1_00019626|Pjv1_00024525|Pjv1_00021480|Pjv1_00021481|Pjv1_00021482|Pjv1_00020962|Pjv1_00028092|Pjv1_00028737|Pjv1_00027312|Pjv1_00029803	6.94106382041438e-12	6.52459999118951e-10
GO:0005576	CC	extracellular region	Pjv1_00002043|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00000726|Pjv1_00000759|Pjv1_00001111|Pjv1_00003568|Pjv1_00007078|Pjv1_00006584|Pjv1_00006230|Pjv1_00002374|Pjv1_00001742|Pjv1_00001366|Pjv1_00002758|Pjv1_00005503|Pjv1_00005610|Pjv1_00007113|Pjv1_00011536|Pjv1_00008116|Pjv1_00010118|Pjv1_00012374|Pjv1_00012268|Pjv1_00015557|Pjv1_00015952|Pjv1_00016809|Pjv1_00017302|Pjv1_00022685|Pjv1_00019866|Pjv1_00022738|Pjv1_00020782|Pjv1_00020781|Pjv1_00021861|Pjv1_00020854|Pjv1_00018145|Pjv1_00020200|Pjv1_00017384|Pjv1_00021137|Pjv1_00022650|Pjv1_00018994|Pjv1_00018995|Pjv1_00025317|Pjv1_00027856|Pjv1_00027701|Pjv1_00025855|Pjv1_00025861|Pjv1_00024659|Pjv1_00026717|Pjv1_00024622|Pjv1_00024982|Pjv1_00030333	4.63027718106075e-11	2.17623027509855e-09
GO:0005874	CC	microtubule	Pjv1_00006260|Pjv1_00006573|Pjv1_00007545|Pjv1_00007577|Pjv1_00009020|Pjv1_00013756|Pjv1_00011113|Pjv1_00010870|Pjv1_00018267|Pjv1_00012821|Pjv1_00014591|Pjv1_00015191|Pjv1_00017975|Pjv1_00017769|Pjv1_00019133|Pjv1_00022197|Pjv1_00020239|Pjv1_00022265|Pjv1_00027032|Pjv1_00028188	7.07547847699027e-11	2.21698325612362e-09
GO:0009524	CC	phragmoplast	Pjv1_00006260|Pjv1_00006573|Pjv1_00008029|Pjv1_00007577|Pjv1_00009020|Pjv1_00011113|Pjv1_00010870|Pjv1_00018267|Pjv1_00012821|Pjv1_00015191|Pjv1_00017975|Pjv1_00016976|Pjv1_00019133|Pjv1_00022197|Pjv1_00020239	2.0677590231453e-09	4.85923370439145e-08
GO:0005871	CC	kinesin complex	Pjv1_00006573|Pjv1_00007545|Pjv1_00013756|Pjv1_00018267|Pjv1_00015191|Pjv1_00019133|Pjv1_00022265|Pjv1_00027032	1.14883978362056e-06	2.15981879320665e-05
GO:0005618	CC	cell wall	Pjv1_00003568|Pjv1_00005163|Pjv1_00002758|Pjv1_00005610|Pjv1_00006405|Pjv1_00008981|Pjv1_00009022|Pjv1_00011536|Pjv1_00006945|Pjv1_00005203|Pjv1_00005210|Pjv1_00010311|Pjv1_00013312|Pjv1_00013629|Pjv1_00015624|Pjv1_00017975|Pjv1_00017302|Pjv1_00022685|Pjv1_00019866|Pjv1_00022738|Pjv1_00018145|Pjv1_00018501|Pjv1_00027856|Pjv1_00027701|Pjv1_00025855|Pjv1_00025861|Pjv1_00024622|Pjv1_00030333	1.34230374220275e-05	0.000210294252945098
GO:0005634	CC	nucleus	Pjv1_00001993|Pjv1_00002091|Pjv1_00000891|Pjv1_00000754|Pjv1_00003557|Pjv1_00001846|Pjv1_00006595|Pjv1_00001184|Pjv1_00001189|Pjv1_00003009|Pjv1_00004292|Pjv1_00006248|Pjv1_00001918|Pjv1_00002183|Pjv1_00006638|Pjv1_00003328|Pjv1_00002275|Pjv1_00005826|Pjv1_00005829|Pjv1_00001374|Pjv1_00001020|Pjv1_00011313|Pjv1_00008838|Pjv1_00005946|Pjv1_00011137|Pjv1_00011156|Pjv1_00008960|Pjv1_00009020|Pjv1_00008142|Pjv1_00006990|Pjv1_00013756|Pjv1_00008222|Pjv1_00011468|Pjv1_00008076|Pjv1_00007243|Pjv1_00007254|Pjv1_00011113|Pjv1_00010320|Pjv1_00009698|Pjv1_00014682|Pjv1_00014487|Pjv1_00011106|Pjv1_00012961|Pjv1_00012963|Pjv1_00015083|Pjv1_00008363|Pjv1_00014951|Pjv1_00012864|Pjv1_00009454|Pjv1_00010985|Pjv1_00011567|Pjv1_00014807|Pjv1_00014808|Pjv1_00016475|Pjv1_00012202|Pjv1_00018267|Pjv1_00012821|Pjv1_00015051|Pjv1_00017806|Pjv1_00018052|Pjv1_00016222|Pjv1_00017975|Pjv1_00017928|Pjv1_00013267|Pjv1_00019865|Pjv1_00019248|Pjv1_00024629|Pjv1_00019453|Pjv1_00023588|Pjv1_00022837|Pjv1_00024775|Pjv1_00021745|Pjv1_00021747|Pjv1_00021748|Pjv1_00021749|Pjv1_00020239|Pjv1_00021378|Pjv1_00022265|Pjv1_00022034|Pjv1_00022035|Pjv1_00022036|Pjv1_00022037|Pjv1_00019625|Pjv1_00019626|Pjv1_00022646|Pjv1_00021591|Pjv1_00021480|Pjv1_00021481|Pjv1_00021482|Pjv1_00020962|Pjv1_00024701|Pjv1_00026284|Pjv1_00026299|Pjv1_00025709|Pjv1_00025626|Pjv1_00025695|Pjv1_00022897|Pjv1_00028047|Pjv1_00027934|Pjv1_00028764|Pjv1_00028833|Pjv1_00027312|Pjv1_00029989|Pjv1_00029906|Pjv1_00030329	3.67012386205913e-05	0.000492845204333655
GO:0009506	CC	plasmodesma	Pjv1_00006584|Pjv1_00001184|Pjv1_00006260|Pjv1_00005025|Pjv1_00002758|Pjv1_00004309|Pjv1_00011765|Pjv1_00009227|Pjv1_00006405|Pjv1_00008894|Pjv1_00008981|Pjv1_00006945|Pjv1_00008193|Pjv1_00013312|Pjv1_00015083|Pjv1_00009493|Pjv1_00012821|Pjv1_00013078|Pjv1_00016976|Pjv1_00023200|Pjv1_00018501|Pjv1_00018762|Pjv1_00024525|Pjv1_00025855|Pjv1_00024622|Pjv1_00028092|Pjv1_00029169|Pjv1_00028737	6.47007165094441e-05	0.000760233418985969
GO:0033597	CC	mitotic checkpoint complex	Pjv1_00021745|Pjv1_00021747|Pjv1_00021748|Pjv1_00021749	9.89230593498221e-05	0.0010331963976537
GO:0005819	CC	spindle	Pjv1_00007577|Pjv1_00010870|Pjv1_00012821|Pjv1_00017975|Pjv1_00022197|Pjv1_00020239	0.000134723818006729	0.00126640388926326
