GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0004601	MF	peroxidase activity	Pjv1_00001948|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00002385|Pjv1_00002948|Pjv1_00007078|Pjv1_00001742|Pjv1_00001407|Pjv1_00017317|Pjv1_00022684|Pjv1_00020780|Pjv1_00020782|Pjv1_00020781|Pjv1_00017384	5.1015098847975e-06	0.000528006273076541
GO:0003735	MF	structural constituent of ribosome	Pjv1_00006083|Pjv1_00028854	3.0654482000537e-06	0.000528006273076541
GO:0016747	MF	acyltransferase activity, transferring groups other than amino-acyl groups	Pjv1_00002406|Pjv1_00001327|Pjv1_00001328|Pjv1_00001336|Pjv1_00001342|Pjv1_00008611|Pjv1_00006112|Pjv1_00007018|Pjv1_00026662|Pjv1_00026045|Pjv1_00028325|Pjv1_00028326|Pjv1_00028322	4.83918755382887e-05	0.00250427955910644
GO:0047183	MF	anthocyanin 5-aromatic acyltransferase activity	Pjv1_00001327|Pjv1_00001328|Pjv1_00001336|Pjv1_00001342|Pjv1_00007018|Pjv1_00028325|Pjv1_00028322	4.53303915940856e-05	0.00250427955910644
GO:0043424	MF	protein histidine kinase binding	Pjv1_00006370|Pjv1_00008957|Pjv1_00006959|Pjv1_00011492|Pjv1_00024383	0.00016738654953442	0.00692980315072499
GO:0020037	MF	heme binding	Pjv1_00001948|Pjv1_00005658|Pjv1_00000649|Pjv1_00000647|Pjv1_00000648|Pjv1_00002948|Pjv1_00007078|Pjv1_00001742|Pjv1_00001407|Pjv1_00003600|Pjv1_00011718|Pjv1_00017317|Pjv1_00022684|Pjv1_00020717|Pjv1_00020780|Pjv1_00020782|Pjv1_00020781|Pjv1_00024100|Pjv1_00017384|Pjv1_00021309|Pjv1_00029572|Pjv1_00029573|Pjv1_00029837	0.000231446452390876	0.00798490260748521
GO:0017089	MF	glycolipid transfer activity	Pjv1_00004989|Pjv1_00004990|Pjv1_00001038|Pjv1_00020081	0.000445510175214371	0.0115275757836719
GO:0051861	MF	glycolipid binding	Pjv1_00004989|Pjv1_00004990|Pjv1_00001038|Pjv1_00020081	0.000445510175214371	0.0115275757836719
GO:0080131	MF	hydroxyjasmonate sulfotransferase activity	Pjv1_00000773|Pjv1_00002532|Pjv1_00002533	0.000994604683241571	0.0228759077145561
GO:0015250	MF	water channel activity	Pjv1_00004342|Pjv1_00006945|Pjv1_00013312|Pjv1_00024988	0.00120381398095463	0.0249189494057608
GO:0008168	MF	methyltransferase activity	Pjv1_00001626|Pjv1_00002212|Pjv1_00008656|Pjv1_00007704|Pjv1_00009010|Pjv1_00019698|Pjv1_00029376	0.00192857440041143	0.0362922637168333
GO:0004553	MF	hydrolase activity, hydrolyzing O-glycosyl compounds	Pjv1_00000257|Pjv1_00004534|Pjv1_00001366|Pjv1_00005203|Pjv1_00005210|Pjv1_00013629|Pjv1_00017131|Pjv1_00017133|Pjv1_00015624|Pjv1_00022650|Pjv1_00026050|Pjv1_00028763	0.00292865817622216	0.0505193535398323
GO:0003682	MF	chromatin binding	Pjv1_00003499|Pjv1_00002361|Pjv1_00002760|Pjv1_00013685|Pjv1_00005367|Pjv1_00011529|Pjv1_00011533|Pjv1_00011563|Pjv1_00016348|Pjv1_00017505|Pjv1_00015837|Pjv1_00021778|Pjv1_00024201|Pjv1_00026284	0.00398262218534977	0.0634155994128771
GO:0016757	MF	glycosyltransferase activity	Pjv1_00008445|Pjv1_00002758|Pjv1_00007455|Pjv1_00005287|Pjv1_00020594|Pjv1_00020412|Pjv1_00026819	0.00446085756794204	0.0659569654688573
GO:0019843	MF	rRNA binding	Pjv1_00006083	0.00514150899921489	0.0709528241891655
GO:0005509	MF	calcium ion binding	Pjv1_00002385|Pjv1_00008545|Pjv1_00006248|Pjv1_00011521|Pjv1_00010656|Pjv1_00015722|Pjv1_00021211|Pjv1_00027796|Pjv1_00025157|Pjv1_00029571|Pjv1_00030065	0.0100612025610079	0.0905508230490714
GO:0008146	MF	sulfotransferase activity	Pjv1_00000773|Pjv1_00002532|Pjv1_00002533|Pjv1_00015936	0.00738792757629387	0.0905508230490714
GO:0047924	MF	geraniol dehydrogenase activity	Pjv1_00000480|Pjv1_00008648	0.00998199639927986	0.0905508230490714
GO:0016872	MF	intramolecular lyase activity	Pjv1_00009265|Pjv1_00025264|Pjv1_00025265	0.00806579588848874	0.0905508230490714
GO:0008519	MF	ammonium transmembrane transporter activity	Pjv1_00006945|Pjv1_00013312	0.00998199639927986	0.0905508230490714
GO:0015200	MF	methylammonium transmembrane transporter activity	Pjv1_00006945|Pjv1_00013312	0.00998199639927986	0.0905508230490714
GO:0003730	MF	mRNA 3'-UTR binding	Pjv1_00012202|Pjv1_00022897	0.00998199639927986	0.0905508230490714
GO:0033956	MF	beta-apiosyl-beta-glucosidase activity	Pjv1_00017131|Pjv1_00017133	0.00998199639927986	0.0905508230490714
