GOID	Definition	GOTerm	GeneID	Pvalue	Qvalue
GO:0004252	MF	serine-type endopeptidase activity	Pjv1_00010573|Pjv1_00007857|Pjv1_00022672|Pjv1_00022680|Pjv1_00024232|Pjv1_00018137|Pjv1_00018139|Pjv1_00022150|Pjv1_00022488|Pjv1_00022489|Pjv1_00027786|Pjv1_00026651|Pjv1_00029201|Pjv1_00027747|Pjv1_00028984|Pjv1_00028983|Pjv1_00028657|Pjv1_00028660|Pjv1_00029216|Pjv1_00028893	2.37603303717309e-12	4.27685946691157e-10
GO:0016758	MF	hexosyltransferase activity	Pjv1_00001979|Pjv1_00003687|Pjv1_00003688|Pjv1_00007673|Pjv1_00007674|Pjv1_00014214|Pjv1_00014211|Pjv1_00014212|Pjv1_00012401|Pjv1_00016410|Pjv1_00015344|Pjv1_00019790|Pjv1_00019791|Pjv1_00026905|Pjv1_00030244|Pjv1_00029944	1.64670305582549e-08	1.48203275024294e-06
GO:0004185	MF	serine-type carboxypeptidase activity	Pjv1_00004892|Pjv1_00006581|Pjv1_00006582|Pjv1_00006583|Pjv1_00008494|Pjv1_00004287|Pjv1_00017337|Pjv1_00017338|Pjv1_00018844|Pjv1_00030142	1.65042216822841e-07	9.90253300937047e-06
GO:0050403	MF	trans-zeatin O-beta-D-glucosyltransferase activity	Pjv1_00007673|Pjv1_00007674|Pjv1_00014213|Pjv1_00014211|Pjv1_00012401|Pjv1_00029944	6.13887100981981e-06	0.000276249195441891
GO:0004601	MF	peroxidase activity	Pjv1_00001111|Pjv1_00000444|Pjv1_00007365|Pjv1_00007369|Pjv1_00007370|Pjv1_00003940|Pjv1_00008604|Pjv1_00007420|Pjv1_00015706|Pjv1_00018994|Pjv1_00018995|Pjv1_00025850|Pjv1_00024982	0.000111505800681637	0.00401420882453895
GO:0003700	MF	DNA-binding transcription factor activity	Pjv1_00004177|Pjv1_00002952|Pjv1_00000177|Pjv1_00000429|Pjv1_00001178|Pjv1_00001227|Pjv1_00005113|Pjv1_00007525|Pjv1_00006426|Pjv1_00008940|Pjv1_00005946|Pjv1_00007969|Pjv1_00007973|Pjv1_00006966|Pjv1_00005190|Pjv1_00010767|Pjv1_00011439|Pjv1_00008192|Pjv1_00013383|Pjv1_00014486|Pjv1_00014487|Pjv1_00014493|Pjv1_00014505|Pjv1_00012954|Pjv1_00020272|Pjv1_00015032|Pjv1_00015043|Pjv1_00015558|Pjv1_00015976|Pjv1_00015271|Pjv1_00015277|Pjv1_00017514|Pjv1_00017709|Pjv1_00022972|Pjv1_00024190|Pjv1_00024578|Pjv1_00026585|Pjv1_00023434|Pjv1_00024545|Pjv1_00028839|Pjv1_00027632|Pjv1_00026117|Pjv1_00028764|Pjv1_00029634|Pjv1_00029825|Pjv1_00029749|Pjv1_00029854|Pjv1_00030331	0.000235106351015335	0.00616070488666232
GO:0008270	MF	zinc ion binding	Pjv1_00008641|Pjv1_00006888|Pjv1_00009493|Pjv1_00014125|Pjv1_00022287|Pjv1_00022469	0.000239582967814646	0.00616070488666232
GO:0003735	MF	structural constituent of ribosome	Pjv1_00003652|Pjv1_00011641|Pjv1_00014924|Pjv1_00016936|Pjv1_00024643	0.000339123036878003	0.00763026832975506
GO:0005524	MF	ATP binding	Pjv1_00000138|Pjv1_00000422|Pjv1_00001595|Pjv1_00001634|Pjv1_00003079|Pjv1_00009372|Pjv1_00003394|Pjv1_00011638|Pjv1_00005229|Pjv1_00006935|Pjv1_00011034|Pjv1_00015793|Pjv1_00014282|Pjv1_00021217|Pjv1_00021821|Pjv1_00022079|Pjv1_00025483|Pjv1_00025701|Pjv1_00024004|Pjv1_00029758	0.000516013474559602	0.010320269491192
GO:0080054	MF	low-affinity nitrate transmembrane transporter activity	Pjv1_00003975|Pjv1_00012271|Pjv1_00012272	0.000994604683241571	0.0162753493621348
