"method","gold_set","K","gold_size","tp","precision","recall","f1","auroc"
"guided_pls","parasm_At",100,1418,1,0.01,0.000705218617771509,0.00131752305665349,NA
"guided_pls","parasm_At",200,1418,5,0.025,0.00352609308885755,0.00618046971569839,NA
"guided_pls","parasm_At",500,1418,45,0.09,0.0317348377997179,0.0469238790406674,NA
"guided_pls","parasm_At",1000,1418,145,0.145,0.102256699576869,0.119933829611249,NA
"guided_pls","parasm_At",NA,1418,NA,NA,NA,NA,0.429405293195329
"guided_pls","parasm_Pj",100,819,18,0.18,0.021978021978022,0.0391730141458107,NA
"guided_pls","parasm_Pj",200,819,21,0.105,0.0256410256410256,0.0412168792934249,NA
"guided_pls","parasm_Pj",500,819,35,0.07,0.0427350427350427,0.0530705079605762,NA
"guided_pls","parasm_Pj",1000,819,65,0.065,0.0793650793650794,0.0714678394722375,NA
"guided_pls","parasm_Pj",NA,819,NA,NA,NA,NA,0.347435444780578
"guided_pls","wol_At",100,1242,4,0.04,0.00322061191626409,0.00596125186289121,NA
"guided_pls","wol_At",200,1242,11,0.055,0.00885668276972625,0.015256588072122,NA
"guided_pls","wol_At",500,1242,71,0.142,0.0571658615136876,0.0815154994259472,NA
"guided_pls","wol_At",1000,1242,196,0.196,0.15780998389694,0.174843889384478,NA
"guided_pls","wol_At",NA,1242,NA,NA,NA,NA,0.43281900383851
"guided_pls","wol_Pj",100,30,14,0.14,0.466666666666667,0.215384615384615,NA
"guided_pls","wol_Pj",200,30,15,0.075,0.5,0.130434782608696,NA
"guided_pls","wol_Pj",500,30,15,0.03,0.5,0.0566037735849057,NA
"guided_pls","wol_Pj",1000,30,15,0.015,0.5,0.029126213592233,NA
"guided_pls","wol_Pj",NA,30,NA,NA,NA,NA,0.702132796780684
"guided_pls","time1d_At",100,587,9,0.09,0.0153321976149915,0.0262008733624454,NA
"guided_pls","time1d_At",200,587,33,0.165,0.0562180579216354,0.0838627700127065,NA
"guided_pls","time1d_At",500,587,108,0.216,0.183986371379898,0.198712051517939,NA
"guided_pls","time1d_At",1000,587,193,0.193,0.328790459965928,0.243226212980466,NA
"guided_pls","time1d_At",NA,587,NA,NA,NA,NA,0.674032622370563
"guided_pls","time1d_Pj",100,1225,17,0.17,0.0138775510204082,0.0256603773584906,NA
"guided_pls","time1d_Pj",200,1225,25,0.125,0.0204081632653061,0.0350877192982456,NA
"guided_pls","time1d_Pj",500,1225,57,0.114,0.046530612244898,0.0660869565217391,NA
"guided_pls","time1d_Pj",1000,1225,111,0.111,0.0906122448979592,0.0997752808988764,NA
"guided_pls","time1d_Pj",NA,1225,NA,NA,NA,NA,0.444830058115962
"guided_pls","time7d_At",100,543,4,0.04,0.00736648250460405,0.0124416796267496,NA
"guided_pls","time7d_At",200,543,23,0.115,0.0423572744014733,0.0619111709286676,NA
"guided_pls","time7d_At",500,543,87,0.174,0.160220994475138,0.166826462128476,NA
"guided_pls","time7d_At",1000,543,178,0.178,0.32780847145488,0.230719377835386,NA
"guided_pls","time7d_At",NA,543,NA,NA,NA,NA,0.652840256661671
"guided_pls","time7d_Pj",100,1348,14,0.14,0.0103857566765579,0.0193370165745856,NA
"guided_pls","time7d_Pj",200,1348,21,0.105,0.0155786350148368,0.0271317829457364,NA
"guided_pls","time7d_Pj",500,1348,40,0.08,0.029673590504451,0.0432900432900433,NA
"guided_pls","time7d_Pj",1000,1348,82,0.082,0.0608308605341246,0.0698466780238501,NA
"guided_pls","time7d_Pj",NA,1348,NA,NA,NA,NA,0.407146728267264
