"method","dim","species","condition","neg_log10_p","odds_ratio","n_overlap","n_top","n_deg"
"guided_pls",1,"At","1d",1.0332426469097e-10,0.0727948575453903,2,200,587
"guided_pls",1,"Pj","1d",0,0,0,200,1225
"guided_pls",1,"At","3d",0,0,0,200,5
"guided_pls",1,"Pj","3d",0,0,0,200,36
"guided_pls",1,"At","7d",7.2262847915394e-10,0.0795367222070795,2,200,543
"guided_pls",1,"Pj","7d",0,0.136210082906001,10,200,1348
"guided_pls",1,"At","wol",8.45335772292927e-06,0.460553256723928,27,200,1242
"guided_pls",1,"Pj","wol",0.469803174968448,1.72125481458942,2,200,30
"guided_pls",1,"At","parasm",8.06090409895377,2.32773427518233,94,200,1418
"guided_pls",1,"Pj","parasm",2.7726794854747,1.69816108922334,49,200,819
"guided_pls",2,"At","1d",26.5717356339727,5.90631619396539,82,200,587
"guided_pls",2,"Pj","1d",61.0689635649832,13.1508828168563,158,200,1225
"guided_pls",2,"At","3d",0,0,0,200,5
"guided_pls",2,"Pj","3d",0,0,0,200,36
"guided_pls",2,"At","7d",35.9174113768184,7.84563490633278,90,200,543
"guided_pls",2,"Pj","7d",61.2470590658049,13.9038038238973,164,200,1348
"guided_pls",2,"At","wol",7.62672000075858e-09,0.325360886801487,20,200,1242
"guided_pls",2,"Pj","wol",0.150451641776537,0.826746913230782,1,200,30
"guided_pls",2,"At","parasm",0,0.140381190753127,11,200,1418
"guided_pls",2,"Pj","parasm",4.82163733276644e-17,0.0244461335410792,1,200,819
"guided_pls",3,"At","1d",0.0239271396859398,0.689433182974914,17,200,587
"guided_pls",3,"Pj","1d",6.29742203489039e-05,0.511084603738521,29,200,1225
"guided_pls",3,"At","3d",0,0,0,200,5
"guided_pls",3,"Pj","3d",0.112838095784058,0.684174458798197,1,200,36
"guided_pls",3,"At","7d",0.00241694170221619,0.513217551508585,12,200,543
"guided_pls",3,"Pj","7d",1.97696079280358e-08,0.35807554135514,24,200,1348
"guided_pls",3,"At","wol",15.4116809835812,3.34053443434631,102,200,1242
"guided_pls",3,"Pj","wol",13.233791928045,25.8006878424678,15,200,30
"guided_pls",3,"At","parasm",2.17988794169766,1.47641526237093,73,200,1418
"guided_pls",3,"Pj","parasm",0.099534930101391,0.860858621821872,29,200,819
"guided_pls",4,"At","1d",0.23880730679283,0.975961776631543,23,200,587
"guided_pls",4,"Pj","1d",1.85912210117054e-11,0.240598632151479,15,200,1225
"guided_pls",4,"At","3d",4.9192231076916,97.4506154489214,4,200,5
"guided_pls",4,"Pj","3d",2.56701490963327,4.91368064897391,6,200,36
"guided_pls",4,"At","7d",1.21937696940734e-05,0.288576893641288,7,200,543
"guided_pls",4,"Pj","7d",0,0.12182229294967,9,200,1348
"guided_pls",4,"At","wol",2.41081866638322e-16,0.136346020796982,9,200,1242
"guided_pls",4,"Pj","wol",0,0,0,200,30
"guided_pls",4,"At","parasm",0,0.126821603422215,10,200,1418
"guided_pls",4,"Pj","parasm",0,0,0,200,819
"rbh_pls",1,"At","1d",0.916557912828745,1.4439564257096,16,100,587
"rbh_pls",1,"Pj","1d",0.761775121067596,1.26490598690738,29,100,1225
"rbh_pls",1,"At","3d",0,0,0,100,5
"rbh_pls",1,"Pj","3d",0,0,0,100,36
"rbh_pls",1,"At","7d",0.18165555452854,0.910365102840275,10,100,543
"rbh_pls",1,"Pj","7d",3.46294145235862,2.07788679153193,43,100,1348
"rbh_pls",1,"At","wol",0.71070560414078,1.24147620753701,29,100,1242
"rbh_pls",1,"Pj","wol",0.341523829578339,1.69638218783525,1,100,30
"rbh_pls",1,"At","parasm",0.015856820989502,0.666584350409345,21,100,1418
"rbh_pls",1,"Pj","parasm",4.13069995237275,2.45880214146262,32,100,819
"rbh_pls",2,"At","1d",0.916557912828745,1.4439564257096,16,100,587
"rbh_pls",2,"Pj","1d",0.761775121067596,1.26490598690738,29,100,1225
"rbh_pls",2,"At","3d",0,0,0,100,5
"rbh_pls",2,"Pj","3d",0,0,0,100,36
"rbh_pls",2,"At","7d",0.18165555452854,0.910365102840275,10,100,543
"rbh_pls",2,"Pj","7d",3.46294145235862,2.07788679153193,43,100,1348
"rbh_pls",2,"At","wol",0.71070560414078,1.24147620753701,29,100,1242
"rbh_pls",2,"Pj","wol",0.341523829578339,1.69638218783525,1,100,30
"rbh_pls",2,"At","parasm",0.015856820989502,0.666584350409345,21,100,1418
"rbh_pls",2,"Pj","parasm",4.13069995237275,2.45880214146262,32,100,819
"rbh_pls",3,"At","1d",0.916557912828745,1.4439564257096,16,100,587
"rbh_pls",3,"Pj","1d",0.761775121067596,1.26490598690738,29,100,1225
"rbh_pls",3,"At","3d",0,0,0,100,5
"rbh_pls",3,"Pj","3d",0,0,0,100,36
"rbh_pls",3,"At","7d",0.18165555452854,0.910365102840275,10,100,543
"rbh_pls",3,"Pj","7d",3.46294145235862,2.07788679153193,43,100,1348
"rbh_pls",3,"At","wol",0.71070560414078,1.24147620753701,29,100,1242
"rbh_pls",3,"Pj","wol",0.341523829578339,1.69638218783525,1,100,30
"rbh_pls",3,"At","parasm",0.015856820989502,0.666584350409345,21,100,1418
"rbh_pls",3,"Pj","parasm",4.13069995237275,2.45880214146262,32,100,819
"rbh_pls",4,"At","1d",0.916557912828745,1.4439564257096,16,100,587
"rbh_pls",4,"Pj","1d",0.761775121067596,1.26490598690738,29,100,1225
"rbh_pls",4,"At","3d",0,0,0,100,5
"rbh_pls",4,"Pj","3d",0,0,0,100,36
"rbh_pls",4,"At","7d",0.18165555452854,0.910365102840275,10,100,543
"rbh_pls",4,"Pj","7d",3.46294145235862,2.07788679153193,43,100,1348
"rbh_pls",4,"At","wol",0.71070560414078,1.24147620753701,29,100,1242
"rbh_pls",4,"Pj","wol",0.341523829578339,1.69638218783525,1,100,30
"rbh_pls",4,"At","parasm",0.015856820989502,0.666584350409345,21,100,1418
"rbh_pls",4,"Pj","parasm",4.13069995237275,2.45880214146262,32,100,819
"guided_pca",1,"At","1d",0.000317238712670835,0.426860096181117,11,200,587
"guided_pca",1,"Pj","1d",8.05225860594567,2.37252055069646,85,200,1225
"guided_pca",1,"At","3d",0,0,0,200,5
"guided_pca",1,"Pj","3d",5.09375430427368,8.32142730973163,9,200,36
"guided_pca",1,"At","7d",2.82750257391053e-06,0.245563512023947,6,200,543
"guided_pca",1,"Pj","7d",0.959303153244522,1.22763495812536,62,200,1348
"guided_pca",1,"At","wol",44.932594666134,8.44394212637403,143,200,1242
"guided_pca",1,"Pj","wol",0.934234523814556,2.69119685728889,3,200,30
"guided_pca",1,"At","parasm",19.6103648929735,3.87301993100978,118,200,1418
"guided_pca",1,"Pj","parasm",151.037888669008,216.27244669176,194,200,819
"guided_pca",2,"At","1d",27.3506349594778,6.0430521984818,83,200,587
"guided_pca",2,"Pj","1d",107.73909624658,77.2255823668398,191,200,1225
"guided_pca",2,"At","3d",0.733544182063496,6.01962920967915,1,200,5
"guided_pca",2,"Pj","3d",0.371145037313013,1.41578958600186,2,200,36
"guided_pca",2,"At","7d",19.280259892593,4.80467257956499,69,200,543
"guided_pca",2,"Pj","7d",97.4990895134413,59.7091766876357,190,200,1348
"guided_pca",2,"At","wol",15.9436953798802,3.41194597313293,103,200,1242
"guided_pca",2,"Pj","wol",1.52077930031031,3.74502402240141,4,200,30
"guided_pca",2,"At","parasm",15.181802386611,3.26190486758105,110,200,1418
"guided_pca",2,"Pj","parasm",1.01541747390036,1.29036465193065,40,200,819
"guided_pca",3,"At","1d",34.7991521889265,7.40259513334358,92,200,587
"guided_pca",3,"Pj","1d",8.83478090760201,2.47698654654474,87,200,1225
"guided_pca",3,"At","3d",0,0,0,200,5
"guided_pca",3,"Pj","3d",25.2335097402819,54.1274479197338,24,200,36
"guided_pca",3,"At","7d",38.6502677472048,8.39505717256973,93,200,543
"guided_pca",3,"Pj","7d",1.08131902480098,1.25785775620903,63,200,1348
"guided_pca",3,"At","wol",7.74839281566701,2.32682033565188,85,200,1242
"guided_pca",3,"Pj","wol",2.21225574418501,4.89371619304351,5,200,30
"guided_pca",3,"At","parasm",3.95668479908373,1.76274957019103,81,200,1418
"guided_pca",3,"Pj","parasm",10.3595844876823,2.91145990148345,70,200,819
"guided_pca",4,"At","1d",4.36926791806139,2.14233000112881,43,200,587
"guided_pca",4,"Pj","1d",10.5087021117927,2.69830201466965,91,200,1225
"guided_pca",4,"At","3d",7.01071061217044,Inf,5,200,5
"guided_pca",4,"Pj","3d",2.56701490963327,4.91368064897391,6,200,36
"guided_pca",4,"At","7d",0.870420415734767,1.29566312272283,27,200,543
"guided_pca",4,"Pj","7d",3.01124768737901,1.62527812275718,74,200,1348
"guided_pca",4,"At","wol",1.58338746766083,1.3781902818014,62,200,1242
"guided_pca",4,"Pj","wol",21.0433948744091,53.107852743936,20,200,30
"guided_pca",4,"At","parasm",14.6693494001934,3.1935140165836,109,200,1418
"guided_pca",4,"Pj","parasm",15.5553199630209,3.66219221815655,80,200,819
"guided_pca",5,"At","1d",18.0016840425008,4.45882784488921,70,200,587
"guided_pca",5,"Pj","1d",1.10430269105685,1.27148903838875,58,200,1225
"guided_pca",5,"At","3d",3.22614590043188,36.4157850153043,3,200,5
"guided_pca",5,"Pj","3d",0.112838095784058,0.684174458798197,1,200,36
"guided_pca",5,"At","7d",11.2764945713371,3.4428132246408,56,200,543
"guided_pca",5,"Pj","7d",1.82374788797099,1.41656076557098,68,200,1348
"guided_pca",5,"At","wol",2.10868579462813,1.48195196200125,65,200,1242
"guided_pca",5,"Pj","wol",5.82110849271304,10.7057537269769,9,200,30
"guided_pca",5,"At","parasm",5.97959691357024,2.04967410921764,88,200,1418
"guided_pca",5,"Pj","parasm",72.579168563672,16.1228019054796,145,200,819
"guided_pca",6,"At","1d",0.398011484121049,1.07728091580239,25,200,587
"guided_pca",6,"Pj","1d",30.6117193194403,5.60359174744431,125,200,1225
"guided_pca",6,"At","3d",1.83272766911139,16.1211541376796,2,200,5
"guided_pca",6,"Pj","3d",2.56701490963327,4.91368064897391,6,200,36
"guided_pca",6,"At","7d",1.39900732042043,1.47457897461727,30,200,543
"guided_pca",6,"Pj","7d",26.2250987714857,4.87223504816029,125,200,1348
