"method","species","K","precision","recall","f1","gold_size","tp","auroc"
"guided_pls","At",100,0.02,0.00276243093922652,0.00485436893203883,724,2,NA
"guided_pls","Pj",100,0,0,0,53,0,NA
"guided_pls","At",200,0.04,0.0110497237569061,0.0173160173160173,724,8,NA
"guided_pls","Pj",200,0.015,0.0566037735849057,0.0237154150197628,53,3,NA
"guided_pls","At",500,0.054,0.037292817679558,0.0441176470588235,724,27,NA
"guided_pls","Pj",500,0.016,0.150943396226415,0.0289330922242315,53,8,NA
"guided_pls","At",NA,NA,NA,NA,724,NA,0.402774834745128
"guided_pls","Pj",NA,NA,NA,NA,53,NA,0.532077760106182
"rbh_pls","At",100,0.22,0.0303867403314917,0.0533980582524272,724,22,NA
"rbh_pls","Pj",100,0.22,0.415094339622642,0.287581699346405,53,22,NA
"rbh_pls","At",200,0.22,0.0303867403314917,0.0533980582524272,724,22,NA
"rbh_pls","Pj",200,0.22,0.415094339622642,0.287581699346405,53,22,NA
"rbh_pls","At",500,0.22,0.0303867403314917,0.0533980582524272,724,22,NA
"rbh_pls","Pj",500,0.22,0.415094339622642,0.287581699346405,53,22,NA
"rbh_pls","At",NA,NA,NA,NA,724,NA,0.587995337995338
"rbh_pls","Pj",NA,NA,NA,NA,53,NA,0.596153846153846
"guided_pca","At",100,0.11,0.0151933701657459,0.0266990291262136,724,11,NA
"guided_pca","Pj",100,0.02,0.0377358490566038,0.0261437908496732,53,2,NA
"guided_pca","At",200,0.125,0.0345303867403315,0.0541125541125541,724,25,NA
"guided_pca","Pj",200,0.01,0.0377358490566038,0.0158102766798419,53,2,NA
"guided_pca","At",500,0.136,0.0939226519337017,0.111111111111111,724,68,NA
"guided_pca","Pj",500,0.016,0.150943396226415,0.0289330922242315,53,8,NA
"guided_pca","At",NA,NA,NA,NA,724,NA,0.53570810226938
"guided_pca","Pj",NA,NA,NA,NA,53,NA,0.571144699856212
"pca","At",100,0.16,0.0220994475138122,0.0388349514563107,724,16,NA
"pca","Pj",100,0.01,0.0188679245283019,0.0130718954248366,53,1,NA
"pca","At",200,0.13,0.0359116022099447,0.0562770562770563,724,26,NA
"pca","Pj",200,0.01,0.0377358490566038,0.0158102766798419,53,2,NA
"pca","At",500,0.15,0.103591160220994,0.122549019607843,724,75,NA
"pca","Pj",500,0.018,0.169811320754717,0.0325497287522604,53,9,NA
"pca","At",NA,NA,NA,NA,724,NA,0.559985322163017
"pca","Pj",NA,NA,NA,NA,53,NA,0.59439111182306
