"method","deg_condition","best_dim_At","jaccard_At","best_dim_Pj","jaccard_Pj"
"guided_pls","1d+","Dim2-",0.355013550135501,"Dim2-",0.466275659824047
"guided_pls","1d-","Dim2+",0.278772378516624,"Dim2+",0.305483028720627
"guided_pls","3d+","Dim4+",0.305483028720627,"Dim4+",0.239157372986369
"guided_pls","3d-","Dim4-",0.305483028720627,"Dim4-",0.280409731113956
"guided_pls","7d+","Dim2+",0.315789473684211,"Dim2+",0.400560224089636
"guided_pls","7d-","Dim2-",0.324503311258278,"Dim2-",0.410437235543018
"guided_pls","wol+","Dim1-",0.273885350318471,"Dim1-",0.17096018735363
"guided_pls","wol-","Dim3+",0.193317422434368,"Dim3+",0.189060642092747
"guided_pls","parasm+","Dim1-",0.436781609195402,"Dim1-",0.17096018735363
"guided_pls","parasm-","Dim1+",0.160092807424594,"Dim1+",0.329787234042553
"guided_pls","MEAN_BEST","",0.29491219604087,"",0.296309150312021
"guided_pls","N_DISTINCT_DIMS","7",NA,"7",NA
"rbh_pls","1d+","Dim1+",0.5,"Dim2-",0.421052631578947
"rbh_pls","1d-","Dim3-",0.285714285714286,"Dim2+",0.4
"rbh_pls","3d+","Dim2-",0.277777777777778,"Dim2+",0.133333333333333
"rbh_pls","3d-","Dim1+",0.470588235294118,"Dim2-",0.210526315789474
"rbh_pls","7d+","Dim3-",0.3,"Dim1+",0.375
"rbh_pls","7d-","Dim2-",0.307692307692308,"Dim2-",0.296296296296296
"rbh_pls","wol+","Dim1+",0.428571428571429,"Dim3-",0.176470588235294
"rbh_pls","wol-","Dim2+",0.15,"Dim2-",0.428571428571429
"rbh_pls","parasm+","Dim2+",0.357142857142857,"Dim1-",0.222222222222222
"rbh_pls","parasm-","Dim2-",0.583333333333333,"Dim2-",0.5
"rbh_pls","MEAN_BEST","",0.366082022552611,"",0.3163472816027
"rbh_pls","N_DISTINCT_DIMS","4",NA,"5",NA
"guided_pca","1d+","Dim3-",0.310615989515072,"Dim2-",0.587301587301587
"guided_pca","1d-","Dim3+",0.273885350318471,"Dim2+",0.564945226917058
"guided_pca","3d+","Dim4+",0.347708894878706,"Dim3-",0.321003963011889
"guided_pca","3d-","Dim4-",0.394700139470014,"Dim3+",0.321003963011889
"guided_pca","7d+","Dim2+",0.259445843828715,"Dim2+",0.488095238095238
"guided_pca","7d-","Dim3-",0.305483028720627,"Dim2-",0.631321370309951
"guided_pca","wol+","Dim1+",0.406469760900141,"Dim4+",0.196172248803828
"guided_pca","wol-","Dim1-",0.256281407035176,"Dim4-",0.283697047496791
"guided_pca","parasm+","Dim1+",0.36986301369863,"Dim1-",0.610305958132045
"guided_pca","parasm-","Dim2-",0.25,"Dim1+",0.574803149606299
"guided_pca","MEAN_BEST","",0.317445342836555,"",0.457864975268658
"guided_pca","N_DISTINCT_DIMS","8",NA,"8",NA
"pca","1d+","Dim4+",0.267427122940431,"Dim1+",0.41643059490085
"pca","1d-","Dim3-",0.264222503160556,"Dim1-",0.355013550135501
"pca","3d+","Dim3+",0.112347052280311,"Dim4-",0.189060642092747
"pca","3d-","Dim3-",0.145475372279496,"Dim4+",0.169590643274854
"pca","7d+","Dim3-",0.257861635220126,"Dim1-",0.424501424501425
"pca","7d-","Dim3+",0.221001221001221,"Dim1+",0.538461538461538
"pca","wol+","Dim1+",0.424501424501425,"Dim1-",0.133786848072562
"pca","wol-","Dim1-",0.239157372986369,"Dim2-",0.15606936416185
"pca","parasm+","Dim3-",0.351351351351351,"Dim2+",0.464128843338214
"pca","parasm-","Dim3+",0.347708894878706,"Dim2-",0.347708894878706
"pca","MEAN_BEST","",0.263105395059999,"",0.319475234381825
"pca","N_DISTINCT_DIMS","5",NA,"6",NA
